app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-56,9,41.012,31.973,369.108,287.757
expt-app-51,8,54.293,43.295,434.344,346.36
expt-app-15,10,45.183,30.752,451.83,307.52
expt-app-13,10,22.901,12.084,229.01,120.84
expt-app-25,8,47.541,32.648,380.328,261.184
expt-app-59,6,58.661,45.372,351.966,272.23199999999997
expt-app-3,9,39.665,25.846,356.985,232.614
expt-app-18,10,60.668,46.45,606.68,464.5
expt-app-8,8,43.642,32.425,349.136,259.4
expt-app-6,7,87.726,72.717,614.082,509.019
expt-app-30,9,78.673,68.841,708.057,619.569
expt-app-41,7,55.609,44.022,389.26300000000003,308.154
expt-app-37,5,105.28899999999999,89.987,526.4449999999999,449.93499999999995
expt-app-55,7,62.864000000000004,48.707,440.048,340.949
expt-app-54,10,65.959,56.033,659.59,560.33
expt-app-11,10,28.927,16.422,289.27,164.22
expt-app-7,8,43.159000000000006,30.522,345.27200000000005,244.176
expt-app-42,9,113.54599999999999,96.074,1021.914,864.6659999999999
expt-app-29,10,31.452,21.015,314.52000000000004,210.15
expt-app-49,5,55.977,46.17,279.885,230.85000000000002
