app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-11,10,30.119,15.744,301.19,157.44
expt-app-30,9,78.02199999999999,67.386,702.1979999999999,606.4739999999999
expt-app-25,8,44.056,33.917,352.448,271.336
expt-app-8,8,42.139,31.213,337.112,249.704
expt-app-55,7,63.705999999999996,50.223,445.94199999999995,351.561
expt-app-59,6,56.711999999999996,43.464,340.272,260.784
expt-app-7,8,45.894,32.2,367.152,257.6
expt-app-13,10,26.935000000000002,11.861,269.35,118.61000000000001
expt-app-49,5,57.804,45.545,289.02,227.72500000000002
expt-app-54,10,66.983,57.08,669.83,570.8
expt-app-41,7,54.077,44.152,378.539,309.064
expt-app-15,10,45.947,31.171,459.47,311.71
expt-app-56,9,38.14,26.639,343.26,239.751
expt-app-3,9,38.254000000000005,25.151,344.28600000000006,226.359
expt-app-37,5,96.57499999999999,85.498,482.87499999999994,427.49
expt-app-29,10,29.569000000000003,20.136,295.69000000000005,201.35999999999999
expt-app-51,8,55.059999999999995,41.953,440.47999999999996,335.624
expt-app-18,10,54.318,31.674,543.18,316.74
expt-app-42,9,96.079,85.319,864.7109999999999,767.871
expt-app-6,7,79.221,68.785,554.547,481.495
