app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-95,10,105.1,21.038,1051.0,210.38
expt-app-99,10,138.89000000000001,63.313,1388.9,633.13
expt-app-39,10,153.971,48.021,1539.71,480.21000000000004
expt-app-36,7,582.461,477.849,4077.227,3344.9429999999998
expt-app-33,9,104.27300000000001,95.864,938.4570000000001,862.7760000000001
expt-app-11,8,283.413,155.357,2267.304,1242.856
expt-app-64,10,131.218,19.495,1312.1799999999998,194.95000000000002
expt-app-6,8,173.64,162.192,1389.12,1297.536
expt-app-78,8,318.38899999999995,245.722,2547.1119999999996,1965.776
expt-app-65,10,27.038,23.575,270.38,235.75
expt-app-25,10,152.125,141.286,1521.25,1412.8600000000001
expt-app-20,9,327.436,198.658,2946.924,1787.9219999999998
expt-app-14,10,157.929,29.688,1579.29,296.88
expt-app-97,10,80.275,21.414,802.75,214.14000000000001
expt-app-18,6,205.60600000000002,138.745,1233.6360000000002,832.47
expt-app-79,10,48.147000000000006,43.813,481.47,438.13
expt-app-2,9,24.657,12.607,221.913,113.463
expt-app-60,9,240.394,128.954,2163.5460000000003,1160.586
expt-app-94,8,95.594,84.719,764.752,677.752
expt-app-81,9,76.901,10.335,692.1089999999999,93.01500000000001
expt-app-15,8,360.693,288.72,2885.544,2309.76
expt-app-51,9,149.65300000000002,9.726,1346.8770000000002,87.534
expt-app-23,9,150.613,76.337,1355.517,687.033
expt-app-44,8,245.507,179.113,1964.056,1432.904
expt-app-24,9,234.46800000000002,230.162,2110.212,2071.458
expt-app-63,3,146.372,25.587,439.11600000000004,76.761
expt-app-9,5,197.489,113.846,987.445,569.23
