app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-59,8,126.271,117.512,1010.168,940.096
expt-app-14,6,198.992,188.354,1193.952,1130.124
expt-app-52,8,68.478,37.725,547.824,301.8
expt-app-43,10,52.605,42.858,526.05,428.58
expt-app-6,6,207.348,197.007,1244.0880000000002,1182.042
expt-app-5,10,135.821,102.041,1358.21,1020.41
expt-app-53,8,89.328,72.033,714.624,576.264
expt-app-44,3,297.42,286.769,892.26,860.307
expt-app-30,5,116.595,107.25,582.975,536.25
expt-app-32,7,96.153,82.863,673.071,580.0409999999999
expt-app-2,4,198.022,187.521,792.088,750.084
expt-app-7,7,48.038,37.719,336.26599999999996,264.033
expt-app-17,2,431.745,422.729,863.49,845.458
expt-app-4,6,163.062,154.32,978.3720000000001,925.92
expt-app-31,4,642.7969999999999,634.266,2571.1879999999996,2537.064
expt-app-49,8,79.223,68.363,633.784,546.904
expt-app-35,7,20.23,13.027,141.61,91.189
expt-app-20,1,420.805,404.639,420.805,404.639
expt-app-18,9,69.351,56.472,624.159,508.248
expt-app-19,9,70.46900000000001,59.879,634.2210000000001,538.911
expt-app-55,3,429.257,419.363,1287.771,1258.089
expt-app-9,8,51.964000000000006,41.706,415.71200000000005,333.648
expt-app-51,5,210.338,202.148,1051.69,1010.74
expt-app-34,8,32.828,23.087,262.624,184.696
expt-app-54,5,326.699,315.859,1633.4950000000001,1579.2949999999998
expt-app-29,7,33.685,24.937,235.79500000000002,174.559
expt-app-47,3,168.6,160.296,505.79999999999995,480.888
expt-app-24,9,26.226,13.324,236.034,119.916
expt-app-12,8,178.725,168.124,1429.8,1344.992
expt-app-50,5,360.046,350.965,1800.23,1754.8249999999998
expt-app-26,2,368.747,358.361,737.494,716.722
expt-app-38,6,74.242,64.01,445.452,384.06000000000006
expt-app-22,6,316.915,304.286,1901.4900000000002,1825.716
expt-app-16,10,27.112000000000002,18.272,271.12,182.71999999999997
expt-app-46,2,231.81199999999998,217.993,463.62399999999997,435.986
expt-app-48,4,133.511,119.37,534.044,477.48
expt-app-57,5,182.06,171.86,910.3,859.3000000000001
expt-app-56,6,147.856,139.606,887.136,837.636
expt-app-21,7,118.242,106.979,827.6940000000001,748.853
expt-app-15,4,57.647,48.165,230.588,192.66
expt-app-11,5,254.04900000000004,243.814,1270.2450000000001,1219.07
expt-app-45,7,1112.231,56.286,7785.617,394.002
expt-app-40,5,217.668,203.754,1088.3400000000001,1018.77
expt-app-28,4,432.95,422.798,1731.8,1691.192
expt-app-37,8,96.11699999999999,87.013,768.9359999999999,696.104
