app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-16,3,262.54499999999996,251.008,787.6349999999999,753.024
expt-app-33,5,106.70599999999999,95.443,533.53,477.215
expt-app-11,8,112.319,89.462,898.552,715.696
expt-app-31,9,57.480999999999995,46.713,517.329,420.41700000000003
expt-app-42,5,246.666,237.903,1233.33,1189.5149999999999
expt-app-52,10,51.087,41.603,510.87,416.03000000000003
expt-app-10,6,112.18599999999999,100.388,673.116,602.328
expt-app-13,6,90.63799999999999,80.746,543.828,484.476
expt-app-45,8,89.45599999999999,76.283,715.6479999999999,610.264
expt-app-15,9,13.727,6.65,123.543,59.85
expt-app-48,9,57.526,46.276,517.734,416.48400000000004
expt-app-56,2,372.953,345.709,745.906,691.418
expt-app-5,2,235.157,226.907,470.314,453.814
expt-app-29,10,34.519,12.919,345.19,129.19
expt-app-51,10,34.131,21.323,341.31,213.23000000000002
expt-app-28,9,21.881999999999998,8.245,196.938,74.205
expt-app-50,6,80.643,59.922,483.858,359.532
expt-app-47,10,57.611000000000004,31.097,576.11,310.97
expt-app-53,4,135.06,126.871,540.24,507.484
expt-app-3,3,230.722,222.128,692.166,666.384
expt-app-43,10,136.149,129.373,1361.49,1293.73
expt-app-8,5,289.978,272.449,1449.89,1362.2450000000001
expt-app-1,4,335.804,324.944,1343.216,1299.776
expt-app-58,9,61.425,51.829,552.8249999999999,466.461
expt-app-57,5,84.885,60.685,424.425,303.425
expt-app-39,4,32.868,15.25,131.472,61.0
expt-app-37,9,34.347,20.806,309.123,187.25400000000002
expt-app-21,6,62.94800000000001,51.804,377.68800000000005,310.824
expt-app-49,5,274.10499999999996,263.595,1370.5249999999999,1317.9750000000001
expt-app-26,6,197.66400000000002,184.535,1185.9840000000002,1107.21
expt-app-19,9,19.357,12.029,174.213,108.261
expt-app-59,7,133.668,120.229,935.676,841.603
expt-app-25,8,129.91400000000002,118.925,1039.3120000000001,951.4
expt-app-23,2,406.786,394.251,813.572,788.502
expt-app-41,5,303.838,294.779,1519.19,1473.895
expt-app-40,5,155.352,143.597,776.76,717.985
expt-app-4,8,74.254,49.798,594.032,398.384
expt-app-54,9,33.761,23.107,303.84900000000005,207.963
expt-app-38,6,121.46,108.373,728.76,650.238
