app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-28,9,30.161,20.573,271.449,185.157
expt-app-50,5,212.728,202.465,1063.64,1012.325
expt-app-59,10,28.009,20.115,280.09000000000003,201.14999999999998
expt-app-42,9,64.38499999999999,55.379,579.4649999999999,498.411
expt-app-55,9,41.266,30.499,371.394,274.491
expt-app-11,6,20.601000000000003,10.89,123.60600000000002,65.34
expt-app-51,10,31.251,23.724,312.51,237.24
expt-app-21,4,86.949,77.347,347.796,309.388
expt-app-6,7,85.72399999999999,74.836,600.068,523.852
expt-app-40,7,36.006,24.185,252.042,169.295
expt-app-49,7,211.253,200.16,1478.771,1401.12
expt-app-37,6,37.785,27.768,226.70999999999998,166.608
expt-app-30,4,190.986,174.485,763.944,697.94
expt-app-58,6,195.822,186.175,1174.932,1117.0500000000002
expt-app-16,7,96.591,88.642,676.137,620.4939999999999
expt-app-25,8,151.208,141.793,1209.664,1134.344
expt-app-31,6,226.40099999999998,213.247,1358.406,1279.482
expt-app-2,9,168.496,158.495,1516.4640000000002,1426.455
expt-app-17,10,34.685,24.475,346.85,244.75
expt-app-52,7,76.25999999999999,68.61,533.8199999999999,480.27
expt-app-10,6,64.084,54.507,384.504,327.042
expt-app-36,7,177.49200000000002,169.222,1242.4440000000002,1184.554
expt-app-24,10,17.508,9.164,175.07999999999998,91.64
expt-app-34,9,118.762,109.801,1068.858,988.2090000000001
expt-app-41,6,25.933,18.089,155.598,108.53399999999999
expt-app-0,10,40.137,30.831,401.37,308.31
expt-app-39,6,118.559,109.515,711.354,657.09
expt-app-32,10,36.306,24.043,363.05999999999995,240.43
expt-app-38,6,35.878,24.427,215.268,146.562
expt-app-26,9,47.551,39.726,427.959,357.534
expt-app-45,6,129.28400000000002,116.421,775.7040000000002,698.5260000000001
expt-app-15,10,76.203,68.233,762.03,682.33
expt-app-43,7,59.26,45.606,414.82,319.242
expt-app-56,9,35.882,24.807,322.938,223.26299999999998
expt-app-7,8,26.457,18.244,211.656,145.952
expt-app-4,3,166.155,153.821,498.46500000000003,461.46299999999997
