app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,3,396.19599999999997,386.338,1188.588,1159.0140000000001
expt-app-56,9,67.266,58.618,605.394,527.562
expt-app-42,5,87.733,75.863,438.665,379.315
expt-app-30,7,93.744,84.382,656.208,590.674
expt-app-47,5,139.02200000000002,127.441,695.1100000000001,637.205
expt-app-38,9,47.111,38.396,423.99899999999997,345.564
expt-app-19,10,28.156,20.67,281.56,206.70000000000002
expt-app-22,4,310.112,300.155,1240.448,1200.62
expt-app-5,9,142.481,133.242,1282.329,1199.1779999999999
expt-app-18,8,150.605,140.524,1204.84,1124.192
expt-app-25,3,96.593,86.641,289.779,259.923
expt-app-32,5,97.17699999999999,87.831,485.885,439.15500000000003
expt-app-26,5,346.779,336.83,1733.895,1684.1499999999999
expt-app-17,9,95.911,83.087,863.1990000000001,747.783
expt-app-50,2,45.253,37.092,90.506,74.184
expt-app-57,6,1117.625,21.687,6705.75,130.122
expt-app-15,8,261.195,248.748,2089.56,1989.984
expt-app-45,7,260.341,252.244,1822.3870000000002,1765.708
expt-app-48,10,33.879,21.416,338.78999999999996,214.16
expt-app-11,5,109.372,99.786,546.86,498.93
expt-app-40,8,111.625,102.112,893.0,816.896
expt-app-44,2,228.146,216.55,456.292,433.1
expt-app-24,5,219.766,211.483,1098.83,1057.415
expt-app-43,4,597.5899999999999,585.783,2390.3599999999997,2343.132
expt-app-4,9,68.77900000000001,59.468,619.0110000000001,535.212
expt-app-41,6,288.511,280.333,1731.0660000000003,1681.998
expt-app-28,9,45.647,37.627,410.823,338.64300000000003
expt-app-14,10,40.348,31.239,403.48,312.39
expt-app-13,10,81.208,63.319,812.0799999999999,633.19
expt-app-10,10,64.426,53.306,644.26,533.06
expt-app-1,5,303.69800000000004,293.052,1518.4900000000002,1465.2600000000002
expt-app-53,8,194.129,183.098,1553.032,1464.784
expt-app-0,8,71.867,60.371,574.936,482.968
expt-app-35,9,71.7,63.107,645.3000000000001,567.963
expt-app-52,9,69.931,31.339,629.379,282.051
expt-app-59,5,66.97200000000001,49.898,334.86,249.49
expt-app-46,10,43.192,34.238,431.92,342.38
expt-app-21,9,71.286,62.406,641.5740000000001,561.654
expt-app-6,8,65.886,57.421,527.088,459.368
expt-app-20,6,107.24300000000001,97.332,643.4580000000001,583.992
expt-app-54,7,307.32,296.275,2151.24,2073.9249999999997
expt-app-27,6,186.468,177.37,1118.808,1064.22
expt-app-12,2,414.805,404.667,829.61,809.334
expt-app-8,9,66.081,54.399,594.729,489.591
