app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-41,6,264.841,254.55,1589.046,1527.3000000000002
expt-app-59,5,59.032000000000004,50.936,295.16,254.68
expt-app-17,9,87.047,79.329,783.423,713.9609999999999
expt-app-28,9,38.284,27.817,344.556,250.353
expt-app-48,10,32.389,20.456,323.89000000000004,204.56
expt-app-6,8,66.476,54.805,531.808,438.44
expt-app-27,6,281.416,271.149,1688.496,1626.894
expt-app-45,7,255.60500000000002,245.146,1789.2350000000001,1716.022
expt-app-46,10,44.08,34.796,440.79999999999995,347.96
expt-app-1,5,343.132,332.93,1715.66,1664.65
expt-app-52,9,41.631,33.48,374.679,301.32
expt-app-47,5,146.27100000000002,132.81,731.355,664.05
expt-app-26,5,218.903,209.614,1094.5149999999999,1048.07
expt-app-35,9,73.891,61.092,665.019,549.828
expt-app-14,10,24.855999999999998,13.895,248.55999999999997,138.95
expt-app-56,9,57.667,49.13,519.003,442.17
expt-app-18,8,130.54399999999998,118.164,1044.3519999999999,945.312
expt-app-54,7,243.98,235.063,1707.86,1645.4409999999998
expt-app-25,3,103.227,93.223,309.68100000000004,279.669
expt-app-15,8,198.91,190.421,1591.28,1523.368
expt-app-4,9,60.269000000000005,46.727,542.421,420.54299999999995
expt-app-38,9,48.300999999999995,37.436,434.70899999999995,336.924
expt-app-43,4,605.2220000000001,596.383,2420.8880000000004,2385.532
expt-app-11,5,98.73,89.084,493.65000000000003,445.42
expt-app-0,8,76.058,68.591,608.464,548.728
expt-app-42,5,119.34400000000001,107.219,596.72,536.095
expt-app-53,8,330.97900000000004,322.37,2647.8320000000003,2578.96
expt-app-40,8,139.725,131.609,1117.8,1052.872
expt-app-24,5,247.24099999999999,238.692,1236.205,1193.46
expt-app-8,9,41.057,30.087,369.51300000000003,270.783
expt-app-20,6,84.328,72.693,505.968,436.158
expt-app-5,9,232.104,220.199,2088.936,1981.7910000000002
expt-app-57,6,27.177,19.164,163.062,114.98400000000001
expt-app-32,5,129.262,116.89,646.31,584.45
expt-app-13,10,87.684,75.339,876.8399999999999,753.39
expt-app-10,10,39.54,31.588,395.4,315.88
expt-app-19,10,16.679,10.216,166.79,102.16
expt-app-21,9,62.733,53.725,564.597,483.52500000000003
expt-app-30,7,96.236,87.648,673.652,613.536
