app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-12,6,97.58500000000001,88.062,585.51,528.372
expt-app-42,9,75.917,65.88,683.253,592.92
expt-app-27,7,226.54399999999998,216.968,1585.808,1518.7759999999998
expt-app-55,7,45.333,35.665,317.331,249.655
expt-app-28,5,190.694,180.599,953.4699999999999,902.9949999999999
expt-app-13,10,21.685,9.359,216.85,93.59
expt-app-36,5,294.605,285.684,1473.025,1428.42
expt-app-4,4,477.71400000000006,465.119,1910.8560000000002,1860.476
expt-app-0,6,272.44,262.99,1634.6399999999999,1577.94
expt-app-2,9,177.543,165.345,1597.8870000000002,1488.105
expt-app-52,7,151.488,112.166,1060.416,785.162
expt-app-46,7,265.962,259.109,1861.734,1813.763
expt-app-54,10,33.417,23.829,334.17,238.29000000000002
expt-app-6,7,46.629999999999995,36.321,326.40999999999997,254.24699999999999
expt-app-57,8,1175.512,133.115,9404.096,1064.92
expt-app-26,7,88.34599999999999,68.715,618.4219999999999,481.005
expt-app-35,3,143.671,132.235,431.013,396.70500000000004
expt-app-47,9,205.087,184.412,1845.783,1659.708
expt-app-43,4,309.084,298.775,1236.336,1195.1
expt-app-24,6,111.872,100.059,671.232,600.354
expt-app-38,9,178.46699999999998,166.141,1606.203,1495.269
expt-app-16,5,330.04499999999996,320.972,1650.225,1604.86
expt-app-48,4,354.65799999999996,346.066,1418.6319999999998,1384.264
expt-app-30,9,46.738,36.367,420.642,327.303
expt-app-3,9,33.613,24.519,302.517,220.671
expt-app-8,8,34.826,24.321,278.608,194.568
expt-app-22,3,473.584,464.241,1420.752,1392.723
expt-app-59,6,80.49199999999999,69.218,482.95199999999994,415.308
expt-app-49,5,43.012,34.226,215.06,171.13
expt-app-51,8,35.056999999999995,23.711,280.45599999999996,189.688
expt-app-56,9,20.552999999999997,12.366,184.97699999999998,111.294
expt-app-29,10,33.177,22.313,331.77,223.13
expt-app-37,5,89.084,80.884,445.42,404.42
expt-app-1,7,97.876,87.699,685.1320000000001,613.893
expt-app-25,8,65.349,39.615,522.792,316.92
expt-app-11,10,22.186999999999998,10.344,221.86999999999998,103.44
expt-app-18,10,49.653999999999996,39.283,496.53999999999996,392.83000000000004
expt-app-10,6,95.93,44.819,575.58,268.914
expt-app-15,10,34.438,22.653,344.38,226.52999999999997
expt-app-41,7,36.716,25.647,257.012,179.529
expt-app-7,8,43.845,31.464,350.76,251.712
expt-app-45,7,363.67,352.88,2545.69,2470.16
