app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-56,9,21.209,12.936,190.881,116.424
expt-app-45,7,266.341,253.431,1864.3870000000002,1774.017
expt-app-57,8,180.94299999999998,171.223,1447.5439999999999,1369.784
expt-app-10,6,68.96900000000001,56.045,413.8140000000001,336.27
expt-app-37,5,95.067,78.414,475.335,392.07
expt-app-27,7,388.062,375.534,2716.434,2628.738
expt-app-6,7,42.577,33.907,298.039,237.349
expt-app-47,9,185.022,103.856,1665.1979999999999,934.704
expt-app-16,5,380.973,371.013,1904.865,1855.0649999999998
expt-app-52,7,98.37899999999999,86.1,688.6529999999999,602.6999999999999
expt-app-41,7,37.306,23.685,261.142,165.795
expt-app-59,6,59.788000000000004,50.328,358.728,301.968
expt-app-42,9,70.45899999999999,59.604,634.1309999999999,536.436
expt-app-11,10,30.158,13.82,301.58000000000004,138.2
expt-app-12,6,100.175,86.402,601.05,518.412
expt-app-26,7,52.393,41.95,366.751,293.65000000000003
expt-app-0,6,299.539,287.073,1797.234,1722.4379999999999
expt-app-13,10,27.43,13.07,274.3,130.7
expt-app-24,6,88.08399999999999,74.422,528.5039999999999,446.532
expt-app-18,10,44.058,29.29,440.58,292.9
expt-app-7,8,45.193,33.293,361.544,266.344
expt-app-3,9,36.626,25.732,329.63399999999996,231.588
expt-app-36,5,250.332,241.68,1251.6599999999999,1208.4
expt-app-25,8,53.167,40.435,425.336,323.48
expt-app-28,5,171.42499999999998,158.2,857.1249999999999,791.0
expt-app-15,10,49.612,22.77,496.12,227.7
expt-app-30,9,28.891,18.336,260.019,165.024
expt-app-2,9,268.672,255.911,2418.0480000000002,2303.199
expt-app-54,10,46.695,32.996,466.95,329.96000000000004
expt-app-55,7,67.308,49.575,471.15600000000006,347.02500000000003
expt-app-29,10,29.276,17.145,292.76,171.45
expt-app-51,8,26.895,14.345,215.16,114.76
expt-app-49,5,44.242,31.306,221.20999999999998,156.53
expt-app-38,9,140.233,127.44,1262.097,1146.96
expt-app-46,7,369.67,357.06,2587.69,2499.42
expt-app-8,8,48.842000000000006,33.557,390.73600000000005,268.456
expt-app-1,7,101.54199999999999,87.406,710.7939999999999,611.8420000000001
expt-app-58,3,139.557,128.929,418.67099999999994,386.78700000000003
