app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-53,9,277.606,191.0,2498.4539999999997,1719.0
expt-app-17,5,416.106,349.497,2080.5299999999997,1747.4850000000001
expt-app-44,8,107.71799999999999,68.792,861.7439999999999,550.336
expt-app-2,4,777.8000000000001,681.775,3111.2000000000003,2727.1
expt-app-12,6,352.91,296.238,2117.46,1777.4279999999999
expt-app-63,10,238.58499999999998,156.452,2385.85,1564.52
expt-app-46,10,123.693,40.712,1236.93,407.12
expt-app-27,4,373.162,331.44,1492.648,1325.76
expt-app-91,6,244.32899999999998,149.23,1465.974,895.3799999999999
expt-app-59,7,197.923,102.167,1385.461,715.169
expt-app-35,8,183.238,171.184,1465.904,1369.472
expt-app-97,8,150.99,119.794,1207.92,958.352
expt-app-6,7,593.536,510.177,4154.7519999999995,3571.239
expt-app-52,2,999.159,886.353,1998.318,1772.706
expt-app-0,10,85.524,19.942,855.24,199.42000000000002
expt-app-90,4,1429.4869999999999,341.319,5717.947999999999,1365.276
expt-app-83,4,628.85,573.843,2515.4,2295.372
expt-app-23,6,452.685,397.262,2716.11,2383.572
expt-app-71,9,88.08399999999999,48.385,792.7559999999999,435.465
expt-app-45,10,126.057,27.462,1260.57,274.62
expt-app-84,4,306.108,251.449,1224.432,1005.796
expt-app-38,4,531.01,462.582,2124.04,1850.328
expt-app-81,9,241.004,171.524,2169.036,1543.716
expt-app-16,1,1050.132,928.041,1050.132,928.041
expt-app-18,10,198.2,111.445,1982.0,1114.4499999999998
expt-app-24,6,380.224,284.322,2281.344,1705.932
expt-app-67,10,121.44000000000001,23.209,1214.4,232.09
expt-app-10,7,482.969,412.532,3380.783,2887.7239999999997
expt-app-75,5,236.49200000000002,181.384,1182.46,906.92
expt-app-41,3,410.657,371.15,1231.971,1113.4499999999998
expt-app-89,6,197.913,155.585,1187.478,933.51
expt-app-3,5,493.317,437.927,2466.585,2189.635
expt-app-70,2,616.9,585.461,1233.8,1170.922
expt-app-42,7,172.85500000000002,76.174,1209.9850000000001,533.2180000000001
expt-app-37,7,552.7800000000001,497.579,3869.4600000000005,3483.053
expt-app-85,8,155.523,101.249,1244.184,809.992
expt-app-72,10,44.968,4.156,449.68000000000006,41.559999999999995
expt-app-31,8,158.67700000000002,129.031,1269.4160000000002,1032.248
expt-app-64,9,329.957,264.454,2969.613,2380.0860000000002
expt-app-93,9,149.909,95.693,1349.181,861.237
expt-app-57,9,136.39000000000001,82.317,1227.5100000000002,740.853
expt-app-30,9,91.266,62.704,821.394,564.336
expt-app-96,5,193.433,139.035,967.165,695.175
expt-app-1,8,158.42800000000003,129.224,1267.4240000000002,1033.792
expt-app-77,10,48.729,19.944,487.28999999999996,199.44
expt-app-43,8,186.141,131.237,1489.128,1049.896
expt-app-26,10,21.457,11.05,214.57,110.5
expt-app-58,10,144.975,78.431,1449.75,784.31
expt-app-80,9,439.692,398.567,3957.228,3587.103
expt-app-55,10,133.522,49.138,1335.2199999999998,491.38
expt-app-25,8,119.212,90.697,953.696,725.576
expt-app-22,10,60.721,32.787,607.2099999999999,327.87
expt-app-60,9,71.82600000000001,30.733,646.4340000000001,276.597
expt-app-56,7,514.4889999999999,485.59,3601.4229999999993,3399.1299999999997
expt-app-74,9,72.005,41.552,648.045,373.968
expt-app-11,8,340.96,275.087,2727.68,2200.696
expt-app-8,10,146.10899999999998,34.135,1461.0899999999997,341.34999999999997
expt-app-13,4,289.92,248.269,1159.68,993.076
