app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-38,7,688.901,546.533,4822.307,3825.731
expt-app-87,7,983.001,978.693,6881.007,6850.851
expt-app-40,10,29.425,25.141,294.25,251.40999999999997
expt-app-45,8,132.351,58.459,1058.808,467.672
expt-app-83,7,738.973,728.132,5172.811,5096.924
expt-app-68,5,4933.469,4854.488,24667.345,24272.440000000002
expt-app-12,4,4334.795,4185.706,17339.18,16742.824
expt-app-61,7,499.029,395.039,3493.203,2765.273
expt-app-21,1,3918.2329999999997,3813.188,3918.2329999999997,3813.188
expt-app-55,8,207.167,201.756,1657.336,1614.048
expt-app-93,8,390.298,233.98,3122.384,1871.84
expt-app-63,8,167.343,32.39,1338.744,259.12
expt-app-16,6,1252.151,1247.29,7512.906000000001,7483.74
expt-app-41,5,642.317,537.423,3211.585,2687.115
expt-app-97,6,3665.181,3586.352,21991.086,21518.112
expt-app-9,9,185.993,50.578,1673.937,455.202
expt-app-43,1,2322.839,2256.25,2322.839,2256.25
expt-app-73,6,2091.118,2078.97,12546.707999999999,12473.82
expt-app-72,5,4072.8179999999998,3994.395,20364.09,19971.975
expt-app-59,9,133.346,20.953,1200.114,188.577
expt-app-53,6,1949.509,1897.344,11697.054,11384.064
expt-app-23,7,1362.7069999999999,1357.692,9538.948999999999,9503.844000000001
expt-app-54,6,2319.8340000000003,2171.002,13919.004,13026.011999999999
expt-app-96,6,1763.633,1758.348,10581.798,10550.088
expt-app-27,8,369.977,242.328,2959.816,1938.624
expt-app-65,6,4106.175,4001.196,24637.050000000003,24007.176
expt-app-18,6,3779.236,3673.922,22675.415999999997,22043.532
expt-app-86,10,134.208,5.976,1342.08,59.76
expt-app-7,7,634.4100000000001,629.661,4440.870000000001,4407.6269999999995
expt-app-11,6,777.005,765.451,4662.03,4592.706
expt-app-89,4,1229.621,1108.716,4918.484,4434.864
expt-app-66,8,449.504,300.177,3596.032,2401.416
expt-app-56,5,671.104,604.214,3355.5200000000004,3021.07
expt-app-37,8,451.11899999999997,339.272,3608.9519999999998,2714.176
expt-app-82,4,2324.2780000000002,2218.873,9297.112000000001,8875.492
expt-app-52,5,454.351,387.884,2271.755,1939.42
expt-app-95,10,106.10799999999999,39.915,1061.08,399.15
expt-app-88,10,117.477,38.319,1174.77,383.19000000000005
expt-app-79,3,5267.423,5146.368,15802.269,15439.104000000001
expt-app-74,4,2766.199,2761.715,11064.796,11046.86
expt-app-4,9,151.323,38.099,1361.9070000000002,342.89099999999996
expt-app-94,7,1975.7469999999998,1840.26,13830.229,12881.82
expt-app-50,7,348.027,290.42,2436.189,2032.94
expt-app-99,4,2513.804,2378.675,10055.216,9514.7
expt-app-64,8,91.41499999999999,25.597,731.3199999999999,204.776
expt-app-8,8,115.07199999999999,41.304,920.5759999999999,330.432
expt-app-5,8,696.221,629.384,5569.768,5035.072
expt-app-47,2,2587.127,2452.11,5174.254,4904.22
expt-app-46,5,968.9259999999999,834.015,4844.629999999999,4170.075
expt-app-77,10,167.405,18.193,1674.05,181.93
expt-app-6,5,685.7729999999999,531.452,3428.865,2657.26
expt-app-13,5,540.434,413.539,2702.17,2067.6949999999997
expt-app-78,10,87.213,1.122,872.1299999999999,11.22
expt-app-32,8,574.412,439.704,4595.296,3517.632
expt-app-30,9,156.666,51.866,1409.994,466.794
expt-app-71,7,1017.4559999999999,1012.405,7122.191999999999,7086.835
expt-app-67,8,327.399,222.502,2619.192,1780.016
expt-app-49,9,151.134,16.426,1360.206,147.83399999999997
expt-app-0,6,1766.728,1687.514,10600.368,10125.083999999999
expt-app-2,6,1925.121,1803.6,11550.726,10821.599999999999
expt-app-17,8,83.345,16.663,666.76,133.304
expt-app-35,6,4030.5,3950.914,24183.0,23705.484
expt-app-26,7,1204.6699999999998,1064.087,8432.689999999999,7448.609
expt-app-14,6,4422.624,4355.821,26535.744,26134.926
expt-app-15,8,228.727,224.204,1829.816,1793.632
expt-app-34,10,230.243,158.108,2302.43,1581.08
expt-app-90,2,4685.142,4680.727,9370.284,9361.454
expt-app-20,4,1101.877,960.3,4407.508,3841.2
expt-app-81,6,507.957,502.388,3047.742,3014.328
expt-app-76,7,897.6030000000001,818.387,6283.2210000000005,5728.709
expt-app-10,2,2595.8929999999996,2475.551,5191.785999999999,4951.102
expt-app-70,10,109.91,50.928,1099.1,509.28
expt-app-92,8,439.472,434.539,3515.776,3476.312
expt-app-57,5,4497.098,4361.777,22485.489999999998,21808.885000000002
expt-app-33,5,182.235,116.007,911.1750000000001,580.0350000000001
expt-app-80,9,228.351,161.51,2055.159,1453.59
expt-app-1,9,307.359,202.257,2766.2309999999998,1820.313
expt-app-24,7,1917.632,1840.047,13423.424,12880.329
