app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-88,10,126.631,5.882,1266.31,58.81999999999999
expt-app-33,5,121.265,68.528,606.325,342.64000000000004
expt-app-63,8,125.03200000000001,12.833,1000.2560000000001,102.664
expt-app-13,5,595.81,439.939,2979.0499999999997,2199.695
expt-app-15,8,108.875,48.798,871.0,390.384
expt-app-59,9,135.687,23.089,1221.183,207.801
expt-app-4,9,150.525,39.65,1354.7250000000001,356.84999999999997
expt-app-92,8,300.649,288.974,2405.192,2311.792
expt-app-66,8,184.947,118.281,1479.576,946.248
expt-app-49,9,74.167,15.986,667.503,143.874
expt-app-27,8,192.335,188.364,1538.68,1506.912
expt-app-93,8,336.777,195.525,2694.216,1564.2
expt-app-1,9,233.84199999999998,104.216,2104.578,937.944
expt-app-45,8,247.435,233.157,1979.48,1865.256
expt-app-67,8,166.55800000000002,87.56,1332.4640000000002,700.48
expt-app-40,10,142.191,7.05,1421.91,70.5
expt-app-9,9,151.339,38.16,1362.051,343.43999999999994
expt-app-17,8,96.41199999999999,8.216,771.2959999999999,65.728
expt-app-70,10,161.57399999999998,72.243,1615.7399999999998,722.43
expt-app-34,10,325.77,213.861,3257.7,2138.6099999999997
expt-app-30,9,169.015,54.222,1521.1349999999998,487.998
expt-app-64,8,190.57399999999998,33.143,1524.5919999999999,265.144
expt-app-78,10,109.628,4.933,1096.28,49.33
expt-app-86,10,99.64099999999999,20.52,996.4099999999999,205.2
expt-app-95,10,124.352,40.68,1243.52,406.8
expt-app-50,7,625.1510000000001,537.326,4376.057000000001,3761.282
expt-app-77,10,69.966,17.752,699.66,177.51999999999998
