app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,8,138.29,78.244,1106.32,625.952
expt-app-69,9,92.31200000000001,6.728,830.8080000000001,60.552
expt-app-65,10,105.059,32.477,1050.59,324.77
expt-app-59,10,153.257,67.376,1532.5700000000002,673.76
expt-app-85,9,175.299,32.673,1577.691,294.057
expt-app-13,10,161.988,76.414,1619.88,764.14
expt-app-76,9,81.10100000000001,7.245,729.9090000000001,65.205
expt-app-92,9,220.755,77.425,1986.795,696.8249999999999
expt-app-31,9,172.67499999999998,160.329,1554.0749999999998,1442.961
expt-app-72,10,142.621,16.495,1426.21,164.95000000000002
expt-app-52,8,25.895999999999997,11.576,207.16799999999998,92.608
expt-app-40,10,105.679,32.239,1056.79,322.39
expt-app-68,7,95.013,21.241,665.091,148.687
expt-app-42,8,312.711,199.189,2501.688,1593.512
expt-app-36,8,94.24000000000001,8.875,753.9200000000001,71.0
expt-app-60,9,128.782,55.852,1159.038,502.66799999999995
expt-app-53,9,23.562,11.732,212.05800000000002,105.588
