app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-66,8,488.833,410.396,3910.664,3283.168
expt-app-94,8,379.844,259.844,3038.752,2078.752
expt-app-57,3,401.637,323.328,1204.911,969.9839999999999
expt-app-40,10,97.841,31.603,978.41,316.03000000000003
expt-app-36,8,147.299,13.212,1178.392,105.696
expt-app-42,8,163.692,97.787,1309.536,782.296
expt-app-95,4,1080.0240000000001,975.53,4320.0960000000005,3902.12
expt-app-93,6,798.836,713.014,4793.016,4278.084
expt-app-83,4,273.733,222.216,1094.932,888.864
expt-app-8,4,1062.981,984.048,4251.924,3936.192
expt-app-48,5,412.07,291.652,2060.35,1458.26
expt-app-50,6,342.642,337.881,2055.852,2027.2859999999998
expt-app-45,8,488.92999999999995,422.754,3911.4399999999996,3382.032
expt-app-55,8,62.238,57.022,497.904,456.176
expt-app-34,9,396.109,330.242,3564.9809999999998,2972.1780000000003
expt-app-18,9,361.96099999999996,296.325,3257.6489999999994,2666.9249999999997
expt-app-59,10,84.136,71.725,841.3599999999999,717.25
expt-app-5,7,394.672,320.204,2762.704,2241.428
expt-app-60,9,156.476,21.608,1408.284,194.472
expt-app-6,5,569.035,503.646,2845.1749999999997,2518.23
expt-app-89,8,177.79600000000002,105.646,1422.3680000000002,845.168
expt-app-44,4,1298.878,1194.411,5195.512,4777.644
expt-app-51,4,1520.4569999999999,1385.493,6081.8279999999995,5541.972
expt-app-0,10,150.34900000000002,84.644,1503.4900000000002,846.44
expt-app-38,5,848.077,742.965,4240.385,3714.8250000000003
expt-app-90,9,288.524,222.229,2596.716,2000.0610000000001
expt-app-32,4,438.57099999999997,360.121,1754.2839999999999,1440.484
expt-app-1,8,399.462,333.835,3195.696,2670.68
expt-app-69,9,35.056999999999995,30.628,315.513,275.652
expt-app-19,1,361.967,295.852,361.967,295.852
expt-app-56,7,586.13,519.628,4102.91,3637.396
expt-app-16,6,1226.0420000000001,1140.261,7356.252,6841.566
expt-app-15,7,298.32399999999996,287.847,2088.2679999999996,2014.9289999999999
expt-app-37,7,472.416,406.157,3306.912,2843.0989999999997
expt-app-58,9,325.34000000000003,259.495,2928.0600000000004,2335.455
expt-app-3,5,1405.778,1270.091,7028.89,6350.455
expt-app-26,6,787.1270000000001,682.756,4722.762000000001,4096.536
expt-app-54,8,439.118,434.836,3512.944,3478.688
expt-app-22,7,1057.4699999999998,970.893,7402.289999999999,6796.251
expt-app-80,3,1116.584,1030.315,3349.7520000000004,3090.945
expt-app-52,8,23.292,12.08,186.336,96.64
expt-app-24,6,275.05600000000004,208.376,1650.3360000000002,1250.256
expt-app-76,9,147.968,42.547,1331.712,382.923
expt-app-72,10,198.846,64.037,1988.46,640.3700000000001
expt-app-96,4,619.21,540.659,2476.84,2162.636
expt-app-53,9,138.854,7.892,1249.6860000000001,71.028
expt-app-92,9,218.66,145.036,1967.94,1305.324
expt-app-41,6,319.927,242.01,1919.5620000000001,1452.06
expt-app-7,3,441.036,336.296,1323.108,1008.8879999999999
expt-app-85,9,83.632,32.09,752.6880000000001,288.81000000000006
expt-app-81,6,1136.63,1070.096,6819.780000000001,6420.576
expt-app-91,8,252.543,186.403,2020.344,1491.224
expt-app-67,9,177.612,117.155,1598.508,1054.395
expt-app-70,8,194.64999999999998,143.885,1557.1999999999998,1151.08
expt-app-30,9,271.341,212.072,2442.069,1908.6480000000001
expt-app-71,8,716.954,612.301,5735.632,4898.408
expt-app-77,10,180.948,177.058,1809.48,1770.58
expt-app-31,9,239.929,95.297,2159.361,857.673
expt-app-12,4,481.149,361.193,1924.596,1444.772
expt-app-99,8,501.98600000000005,416.7,4015.8880000000004,3333.6
expt-app-98,6,510.193,431.543,3061.158,2589.258
expt-app-17,7,205.482,153.771,1438.374,1076.397
expt-app-78,8,253.7,180.563,2029.6,1444.504
expt-app-13,10,151.142,76.633,1511.42,766.3299999999999
expt-app-65,10,123.737,58.481,1237.37,584.8100000000001
expt-app-75,7,864.2330000000001,728.375,6049.631,5098.625
expt-app-68,7,125.97900000000001,16.36,881.8530000000001,114.52
expt-app-9,8,336.353,332.22,2690.824,2657.76
