app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-12,5,899.321,763.638,4496.6050000000005,3818.19
expt-app-21,3,805.53,717.847,2416.59,2153.541
expt-app-28,8,467.808,363.62,3742.464,2908.96
expt-app-18,9,804.896,684.648,7244.063999999999,6161.832
expt-app-84,7,746.4960000000001,679.94,5225.472000000001,4759.58
expt-app-16,10,263.846,185.225,2638.46,1852.25
expt-app-44,4,1787.4460000000001,1631.404,7149.784000000001,6525.616
expt-app-1,8,311.299,298.421,2490.392,2387.368
expt-app-29,9,656.984,645.535,5912.856000000001,5809.815
expt-app-61,3,3341.3810000000003,3183.943,10024.143,9551.829000000002
expt-app-77,7,1170.42,1056.945,8192.94,7398.615
expt-app-76,5,1970.519,1903.285,9852.595,9516.425000000001
expt-app-67,5,1029.051,873.812,5145.254999999999,4369.06
expt-app-58,4,1336.241,1256.987,5344.964,5027.948
expt-app-40,6,1795.914,1659.452,10775.484,9956.712
expt-app-68,9,560.7950000000001,426.576,5047.155000000001,3839.184
expt-app-38,1,4509.792,4360.323,4509.792,4360.323
expt-app-49,10,184.01999999999998,117.689,1840.1999999999998,1176.8899999999999
expt-app-54,5,1164.24,1014.88,5821.2,5074.4
expt-app-26,9,796.38,717.405,7167.42,6456.6449999999995
expt-app-39,10,90.55499999999999,24.291,905.55,242.91
expt-app-22,8,906.6220000000001,771.502,7252.976000000001,6172.016
expt-app-72,4,2159.661,2038.902,8638.644,8155.608
expt-app-0,8,251.118,185.017,2008.944,1480.136
expt-app-86,8,650.905,636.253,5207.24,5090.024
expt-app-56,1,5241.482999999999,5174.659,5241.482999999999,5174.659
expt-app-50,7,1223.351,1170.817,8563.457,8195.719000000001
expt-app-59,6,1733.56,1612.151,10401.36,9672.906
expt-app-71,8,572.16,437.606,4577.28,3500.848
expt-app-91,4,1462.37,1383.341,5849.48,5533.364
expt-app-17,9,548.898,444.009,4940.082,3996.081
expt-app-15,10,244.536,240.68,2445.36,2406.8
expt-app-27,9,18.839000000000002,14.682,169.55100000000002,132.138
expt-app-10,9,499.464,432.271,4495.176,3890.4390000000003
expt-app-3,7,1462.032,1357.404,10234.224,9501.828
expt-app-65,3,2204.846,2063.757,6614.5380000000005,6191.271000000001
expt-app-64,10,510.91200000000003,353.327,5109.120000000001,3533.27
expt-app-97,10,75.282,8.981,752.8199999999999,89.81
expt-app-98,10,127.82099999999998,23.82,1278.2099999999998,238.2
expt-app-81,7,834.742,756.226,5843.1939999999995,5293.582
expt-app-48,6,785.077,732.275,4710.4619999999995,4393.65
expt-app-13,7,903.9209999999999,825.379,6327.446999999999,5777.653
expt-app-25,8,677.057,598.037,5416.456,4784.296
expt-app-70,6,1720.758,1716.95,10324.548,10301.7
expt-app-45,9,186.18,126.211,1675.6200000000001,1135.899
expt-app-7,8,348.17199999999997,344.49,2785.3759999999997,2755.92
expt-app-34,9,385.523,381.56,3469.7070000000003,3434.04
expt-app-5,2,2531.458,2426.017,5062.916,4852.034
expt-app-79,7,778.186,643.061,5447.302000000001,4501.427000000001
expt-app-73,1,2414.501,2355.491,2414.501,2355.491
expt-app-82,4,1943.741,1876.663,7774.964,7506.652
expt-app-33,9,402.703,259.138,3624.3269999999998,2332.2419999999997
expt-app-30,7,540.929,461.794,3786.5029999999997,3232.558
expt-app-31,6,733.054,666.124,4398.324,3996.744
expt-app-99,10,229.683,73.637,2296.83,736.37
expt-app-80,8,137.071,127.849,1096.568,1022.792
expt-app-93,10,109.617,30.764,1096.17,307.64
expt-app-14,9,407.183,271.154,3664.647,2440.386
expt-app-43,10,382.714,234.399,3827.14,2343.99
expt-app-66,8,732.2579999999999,648.095,5858.063999999999,5184.76
expt-app-55,5,2476.627,2356.074,12383.135,11780.37
expt-app-37,10,625.034,620.177,6250.34,6201.77
expt-app-24,10,134.75799999999998,55.778,1347.58,557.78
expt-app-19,5,744.544,670.315,3722.72,3351.5750000000003
expt-app-8,10,176.78,28.589,1767.8,285.89
expt-app-32,10,175.21200000000002,96.441,1752.1200000000001,964.4100000000001
expt-app-74,10,63.512,51.01,635.12,510.09999999999997
expt-app-41,6,830.1840000000001,709.921,4981.104,4259.526
expt-app-63,10,49.172,39.062,491.71999999999997,390.62
expt-app-57,6,1680.4730000000002,1575.45,10082.838000000002,9452.7
expt-app-60,8,407.83599999999996,303.097,3262.6879999999996,2424.776
expt-app-75,7,1553.156,1448.72,10872.092,10141.04
expt-app-85,10,230.589,95.386,2305.89,953.8599999999999
expt-app-78,10,305.882,253.058,3058.82,2530.58
