app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-32,10,161.154,85.58,1611.54,855.8
expt-app-39,10,183.178,41.17,1831.78,411.70000000000005
expt-app-27,9,142.236,14.457,1280.1239999999998,130.113
expt-app-74,10,173.841,45.35,1738.41,453.5
expt-app-43,10,201.211,139.898,2012.1100000000001,1398.98
expt-app-99,10,217.49099999999999,88.477,2174.91,884.77
expt-app-85,10,96.902,9.136,969.02,91.35999999999999
expt-app-63,10,103.836,18.18,1038.36,181.8
expt-app-98,10,95.122,8.185,951.22,81.85000000000001
expt-app-49,10,324.221,183.067,3242.21,1830.67
expt-app-80,8,145.01500000000001,132.474,1160.1200000000001,1059.792
expt-app-16,10,324.886,248.449,3248.86,2484.4900000000002
expt-app-24,10,100.566,41.587,1005.6600000000001,415.87
expt-app-8,10,185.685,29.352,1856.85,293.52
expt-app-97,10,157.046,14.079,1570.46,140.79000000000002
expt-app-93,10,84.77,26.238,847.6999999999999,262.38
