app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-44,9,49.345,45.577,444.105,410.193
expt-app-5,9,155.87,28.032,1402.83,252.288
expt-app-4,10,120.89,7.888,1208.9,78.88
expt-app-45,10,147.435,26.677,1474.35,266.77
expt-app-62,8,453.46,297.118,3627.68,2376.944
expt-app-26,8,193.767,119.291,1550.136,954.328
expt-app-38,9,113.338,3.1,1020.0419999999999,27.900000000000002
expt-app-66,9,152.88,17.358,1375.92,156.222
expt-app-1,9,117.848,6.114,1060.632,55.025999999999996
expt-app-16,8,199.041,55.521,1592.328,444.168
expt-app-81,9,129.209,15.838,1162.881,142.542
expt-app-42,10,116.51100000000001,64.083,1165.1100000000001,640.8299999999999
expt-app-80,9,26.712,17.58,240.408,158.21999999999997
expt-app-41,8,150.85899999999998,21.493,1206.8719999999998,171.944
expt-app-40,8,426.858,305.944,3414.864,2447.552
expt-app-14,10,14.706,4.007,147.06,40.06999999999999
expt-app-52,7,306.527,178.612,2145.689,1250.2839999999999
expt-app-69,8,163.797,9.022,1310.376,72.176
expt-app-51,9,381.805,233.072,3436.245,2097.648
expt-app-50,8,111.461,35.277,891.688,282.216
expt-app-49,8,164.399,111.499,1315.192,891.992
expt-app-88,8,254.772,127.192,2038.176,1017.536
expt-app-84,2,389.60699999999997,232.074,779.2139999999999,464.148
expt-app-37,10,66.25,14.441,662.5,144.41
expt-app-70,9,139.91600000000003,66.1,1259.2440000000001,594.9
expt-app-64,10,98.042,18.764,980.4200000000001,187.64
expt-app-43,9,91.934,16.768,827.406,150.912
