app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-27,2,1918.641,1839.544,3837.282,3679.088
expt-app-5,4,916.2810000000001,787.605,3665.1240000000003,3150.42
expt-app-90,7,919.026,852.096,6433.182,5964.6720000000005
expt-app-10,4,1599.508,1471.714,6398.032,5886.856
expt-app-89,7,147.58599999999998,68.295,1033.1019999999999,478.065
expt-app-22,9,239.437,160.511,2154.933,1444.599
expt-app-98,9,72.09500000000001,19.65,648.8550000000001,176.85
expt-app-53,9,111.996,44.864,1007.9639999999999,403.77599999999995
expt-app-67,8,1185.638,1180.383,9485.104,9443.064
expt-app-92,10,112.103,33.308,1121.03,333.08
expt-app-13,6,1006.934,954.839,6041.603999999999,5729.034000000001
expt-app-51,6,1522.102,1516.977,9132.612000000001,9101.862000000001
expt-app-42,1,1835.777,1715.258,1835.777,1715.258
expt-app-9,7,913.8870000000001,908.93,6397.209000000001,6362.509999999999
expt-app-55,8,598.164,470.959,4785.312,3767.672
expt-app-97,8,855.6510000000001,777.097,6845.2080000000005,6216.776
expt-app-8,6,1460.97,1325.908,8765.82,7955.447999999999
expt-app-15,8,186.444,181.512,1491.552,1452.096
expt-app-32,9,830.638,695.257,7475.742,6257.312999999999
expt-app-45,9,201.888,192.426,1816.992,1731.8339999999998
expt-app-40,5,1631.2230000000002,1496.234,8156.115000000001,7481.17
expt-app-54,7,1234.618,1129.58,8642.326,7907.0599999999995
expt-app-44,4,1878.633,1806.664,7514.532,7226.656
expt-app-57,4,2167.9249999999997,2088.673,8671.699999999999,8354.692
expt-app-91,7,1539.862,1535.436,10779.034,10748.052
expt-app-17,8,688.904,684.207,5511.232,5473.656
expt-app-88,10,245.449,123.293,2454.4900000000002,1232.93
expt-app-85,2,1458.915,1328.498,2917.83,2656.996
expt-app-1,5,1525.437,1451.243,7627.1849999999995,7256.215
expt-app-71,9,501.022,417.304,4509.198,3755.736
expt-app-74,10,124.815,45.721,1248.15,457.21
expt-app-33,4,1735.3670000000002,1630.258,6941.468000000001,6521.032
expt-app-73,2,3429.199,3318.689,6858.398,6637.378
expt-app-41,1,2809.635,2705.107,2809.635,2705.107
expt-app-99,5,1458.66,1378.869,7293.3,6894.344999999999
expt-app-48,7,1368.3700000000001,1263.762,9578.59,8846.333999999999
expt-app-78,9,324.5,204.116,2920.5,1837.044
expt-app-58,6,1334.4,1214.277,8006.400000000001,7285.662
expt-app-25,10,133.83999999999997,66.856,1338.3999999999996,668.56
expt-app-64,9,580.025,465.664,5220.224999999999,4190.976
expt-app-36,4,1587.729,1582.515,6350.916,6330.06
expt-app-30,8,268.22,164.506,2145.76,1316.048
expt-app-46,4,1105.244,920.006,4420.976,3680.024
expt-app-35,9,154.834,50.817,1393.506,457.353
expt-app-20,10,253.432,125.19,2534.3199999999997,1251.9
expt-app-37,8,536.8100000000001,401.704,4294.4800000000005,3213.632
expt-app-70,1,3744.594,3595.75,3744.594,3595.75
expt-app-83,10,87.603,20.482,876.03,204.82
expt-app-14,10,136.351,57.644,1363.51,576.4399999999999
expt-app-19,2,1352.622,1225.387,2705.244,2450.774
expt-app-11,3,2602.4790000000003,2516.472,7807.437000000001,7549.416000000001
expt-app-50,10,430.636,378.983,4306.360000000001,3789.83
expt-app-7,6,1500.8919999999998,1365.628,9005.351999999999,8193.768
expt-app-81,3,1835.108,1783.748,5505.324,5351.244000000001
expt-app-86,10,295.854,159.876,2958.54,1598.76
expt-app-94,9,587.699,438.437,5289.290999999999,3945.933
expt-app-49,6,1884.49,1749.061,11306.94,10494.366
expt-app-52,10,162.36800000000002,27.534,1623.6800000000003,275.34
expt-app-47,10,188.184,101.324,1881.84,1013.24
expt-app-93,9,128.33700000000002,7.849,1155.0330000000001,70.641
expt-app-21,10,106.068,38.377,1060.68,383.77000000000004
expt-app-43,9,154.305,101.995,1388.7450000000001,917.955
expt-app-34,3,1332.851,1183.814,3998.5530000000003,3551.442
expt-app-3,3,3114.352,3037.515,9343.056,9112.545
expt-app-12,8,450.05,444.815,3600.4,3558.52
expt-app-61,9,700.725,621.907,6306.525000000001,5597.1630000000005
expt-app-6,1,4414.076,4408.981,4414.076,4408.981
expt-app-38,6,569.994,449.874,3419.964,2699.244
expt-app-66,10,306.8,293.794,3068.0,2937.9399999999996
expt-app-87,7,1011.703,944.71,7081.921,6612.97
expt-app-79,5,1255.9830000000002,1126.76,6279.915000000001,5633.8
expt-app-16,8,376.08599999999996,303.902,3008.6879999999996,2431.216
expt-app-72,7,462.909,458.375,3240.363,3208.625
expt-app-62,10,113.338,47.226,1133.3799999999999,472.26
expt-app-2,8,535.676,475.579,4285.408,3804.632
expt-app-65,3,1835.26,1699.663,5505.78,5098.989
expt-app-68,10,141.11499999999998,36.394,1411.1499999999999,363.94
expt-app-24,2,3643.484,3522.572,7286.968,7045.144
expt-app-96,9,301.17,295.564,2710.53,2660.076
expt-app-82,8,414.812,329.924,3318.496,2639.392
expt-app-23,8,395.46999999999997,328.576,3163.7599999999998,2628.608
