app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-78,9,335.33299999999997,193.197,3017.997,1738.7730000000001
expt-app-89,7,132.946,19.945,930.622,139.615
expt-app-45,9,289.286,185.091,2603.574,1665.819
expt-app-68,10,191.665,49.777,1916.6499999999999,497.77
expt-app-88,10,155.67700000000002,34.911,1556.7700000000002,349.11
expt-app-30,8,238.65800000000002,226.292,1909.2640000000001,1810.336
expt-app-74,10,120.77,45.725,1207.7,457.25
expt-app-14,10,177.307,34.152,1773.07,341.52
expt-app-35,9,46.894,35.297,422.046,317.673
expt-app-98,9,149.648,19.144,1346.8319999999999,172.296
expt-app-50,10,391.287,306.766,3912.87,3067.6600000000003
expt-app-83,10,150.812,15.65,1508.1200000000001,156.5
expt-app-62,10,112.03699999999999,23.997,1120.37,239.97
expt-app-52,10,193.823,62.513,1938.23,625.13
expt-app-66,10,505.55799999999994,350.841,5055.579999999999,3508.41
expt-app-47,10,96.49199999999999,38.803,964.9199999999998,388.03
expt-app-53,9,185.62,50.534,1670.58,454.806
expt-app-12,8,486.74600000000004,412.378,3893.9680000000003,3299.024
expt-app-20,10,201.446,74.907,2014.46,749.0699999999999
expt-app-21,10,156.35399999999998,15.584,1563.54,155.84
expt-app-93,9,74.7,1.435,672.3000000000001,12.915000000000001
expt-app-92,10,74.272,7.664,742.72,76.64
expt-app-86,10,498.79,340.687,4987.900000000001,3406.87
