app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-15,8,97.863,13.644,782.904,109.152
expt-app-96,9,89.83099999999999,23.71,808.4789999999999,213.39000000000001
expt-app-61,1,1056.029,950.929,1056.029,950.929
expt-app-29,8,406.92699999999996,278.41,3255.4159999999997,2227.28
expt-app-79,5,590.5319999999999,441.842,2952.66,2209.21
expt-app-69,2,1098.724,1020.228,2197.448,2040.456
expt-app-33,1,1588.978,1509.769,1588.978,1509.769
expt-app-46,7,1213.627,1160.829,8495.389,8125.803
expt-app-19,6,551.417,416.317,3308.5020000000004,2497.902
expt-app-16,1,2038.6829999999998,1959.744,2038.6829999999998,1959.744
expt-app-25,9,233.97799999999998,167.53,2105.8019999999997,1507.77
expt-app-94,2,476.037,354.476,952.074,708.952
expt-app-91,10,174.29500000000002,30.694,1742.9500000000003,306.94
expt-app-14,9,289.569,211.362,2606.121,1902.258
expt-app-32,5,943.8109999999999,808.158,4719.054999999999,4040.79
expt-app-24,5,173.309,37.235,866.545,186.175
expt-app-22,1,2098.2419999999997,1943.081,2098.2419999999997,1943.081
expt-app-92,4,241.098,174.38,964.392,697.52
expt-app-0,5,783.949,704.926,3919.745,3524.63
expt-app-93,9,148.584,27.353,1337.256,246.17700000000002
expt-app-70,7,509.708,443.587,3567.956,3105.109
expt-app-43,1,995.4309999999999,872.754,995.4309999999999,872.754
expt-app-30,9,302.21500000000003,224.079,2719.9350000000004,2016.711
expt-app-4,7,409.60999999999996,281.658,2867.2699999999995,1971.6060000000002
expt-app-56,6,275.491,140.747,1652.946,844.4820000000001
expt-app-62,7,1157.9440000000002,1008.164,8105.608000000001,7057.148
expt-app-55,4,830.4580000000001,825.752,3321.8320000000003,3303.008
expt-app-98,6,606.2429999999999,594.3,3637.4579999999996,3565.7999999999997
expt-app-64,1,1987.894,1983.538,1987.894,1983.538
expt-app-36,9,434.698,285.895,3912.2819999999997,2573.055
expt-app-42,2,368.447,363.16,736.894,726.32
expt-app-85,1,4011.9480000000003,3882.376,4011.9480000000003,3882.376
expt-app-82,2,920.284,915.3,1840.568,1830.6
expt-app-80,4,455.861,388.866,1823.444,1555.464
expt-app-34,6,744.418,623.371,4466.508,3740.2259999999997
expt-app-48,2,1548.282,1418.536,3096.564,2837.072
expt-app-89,4,943.714,839.018,3774.856,3356.072
expt-app-28,3,1555.145,1550.419,4665.4349999999995,4651.2570000000005
expt-app-20,7,664.125,597.172,4648.875,4180.204
expt-app-58,9,48.497,44.306,436.473,398.75399999999996
expt-app-10,4,555.643,543.797,2222.572,2175.188
expt-app-45,10,105.367,52.553,1053.67,525.53
expt-app-65,7,1060.339,911.425,7422.373,6379.974999999999
expt-app-18,4,658.8629999999999,646.786,2635.4519999999998,2587.144
expt-app-99,6,282.486,277.829,1694.916,1666.9740000000002
expt-app-83,6,441.33099999999996,374.121,2647.986,2244.7259999999997
expt-app-50,7,542.026,393.742,3794.182,2756.194
expt-app-9,4,1436.9209999999998,1316.016,5747.683999999999,5264.064
expt-app-72,7,372.97400000000005,359.456,2610.818,2516.192
expt-app-51,4,1460.353,1455.205,5841.412,5820.82
expt-app-95,9,559.693,480.111,5037.237,4320.999
expt-app-97,8,198.37199999999999,49.942,1586.9759999999999,399.536
expt-app-86,10,190.016,40.569,1900.1599999999999,405.69000000000005
expt-app-11,6,737.827,652.597,4426.9619999999995,3915.582
expt-app-47,4,169.918,48.986,679.672,195.944
expt-app-78,8,377.536,372.09,3020.288,2976.72
expt-app-44,5,504.25699999999995,442.913,2521.285,2214.565
expt-app-84,2,963.844,842.908,1927.688,1685.816
expt-app-1,9,192.381,42.737,1731.429,384.63300000000004
expt-app-31,5,637.852,559.11,3189.2599999999998,2795.55
expt-app-81,9,175.324,53.702,1577.9160000000002,483.318
expt-app-8,8,321.05699999999996,316.197,2568.4559999999997,2529.576
expt-app-73,6,527.16,416.213,3162.96,2497.2780000000002
expt-app-3,9,463.101,320.723,4167.909,2886.507
expt-app-37,4,473.868,394.883,1895.472,1579.532
expt-app-63,10,99.273,32.704,992.73,327.04
expt-app-76,3,991.421,924.806,2974.263,2774.418
expt-app-49,3,1749.9769999999999,1614.348,5249.931,4843.044
expt-app-90,5,1267.58,1201.137,6337.9,6005.6849999999995
expt-app-35,1,1744.1390000000001,1685.753,1744.1390000000001,1685.753
expt-app-6,1,1957.295,1889.83,1957.295,1889.83
expt-app-77,8,170.86100000000002,50.116,1366.8880000000001,400.928
expt-app-57,6,245.642,95.539,1473.8519999999999,573.234
expt-app-67,10,148.292,13.132,1482.92,131.32
expt-app-12,10,219.91,141.116,2199.1,1411.16
expt-app-53,7,282.271,212.4,1975.8970000000002,1486.8
expt-app-7,3,769.999,682.919,2309.9970000000003,2048.757
expt-app-26,3,2166.2050000000004,2011.061,6498.615000000002,6033.183
expt-app-87,10,182.749,47.196,1827.49,471.96
expt-app-88,6,356.659,249.215,2139.9539999999997,1495.29
expt-app-27,2,1212.521,1207.507,2425.042,2415.014
expt-app-54,8,478.44399999999996,391.024,3827.5519999999997,3128.192
expt-app-52,2,1477.862,1410.913,2955.724,2821.826
expt-app-2,8,84.258,17.318,674.064,138.544
expt-app-23,4,768.137,632.956,3072.548,2531.824
