app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-87,10,160.548,40.022,1605.48,400.21999999999997
expt-app-1,9,103.649,37.017,932.841,333.153
expt-app-66,4,587.982,527.948,2351.928,2111.792
expt-app-94,2,306.916,302.577,613.832,605.154
expt-app-26,3,1464.305,1412.204,4392.915,4236.612
expt-app-62,7,1050.9489999999998,915.726,7356.642999999999,6410.082
expt-app-98,6,580.437,501.485,3482.6220000000003,3008.91
expt-app-81,9,167.159,47.184,1504.431,424.65599999999995
expt-app-96,9,143.101,22.421,1287.909,201.789
expt-app-84,2,1028.2340000000002,893.315,2056.4680000000003,1786.63
expt-app-6,1,2209.944,2074.805,2209.944,2074.805
expt-app-33,1,1351.603,1240.405,1351.603,1240.405
expt-app-25,9,141.982,138.256,1277.838,1244.304
expt-app-31,5,586.604,519.676,2933.0200000000004,2598.38
expt-app-59,4,2953.334,2817.255,11813.336,11269.02
expt-app-58,9,28.805,24.697,259.245,222.273
expt-app-44,5,437.70599999999996,361.839,2188.5299999999997,1809.195
expt-app-20,7,754.143,605.305,5279.001,4237.134999999999
expt-app-93,9,209.25900000000001,59.774,1883.3310000000001,537.966
expt-app-49,3,1111.904,1058.975,3335.712,3176.9249999999997
expt-app-42,2,499.243,420.878,998.486,841.756
expt-app-63,10,153.075,32.707,1530.75,327.07
expt-app-53,7,273.579,200.701,1915.053,1404.907
expt-app-64,1,1543.042,1490.182,1543.042,1490.182
expt-app-90,5,1230.211,1101.167,6151.055,5505.834999999999
expt-app-76,3,919.6450000000001,780.833,2758.9350000000004,2342.499
expt-app-32,5,803.473,667.92,4017.365,3339.6
expt-app-13,3,824.8,720.167,2474.3999999999996,2160.501
expt-app-0,5,901.867,757.631,4509.335,3788.1549999999997
expt-app-95,9,525.494,446.393,4729.446,4017.537
expt-app-80,4,487.76000000000005,421.11,1951.0400000000002,1684.44
expt-app-65,7,1003.545,854.4,7024.815,5980.8
expt-app-91,10,91.59,13.34,915.9000000000001,133.4
expt-app-4,7,287.182,281.982,2010.2740000000001,1973.8740000000003
expt-app-97,8,193.475,46.445,1547.8,371.56
expt-app-9,4,1808.499,1658.899,7233.996,6635.596
expt-app-7,3,716.1110000000001,636.683,2148.3330000000005,1910.049
expt-app-48,2,1104.006,1030.975,2208.012,2061.95
expt-app-11,6,875.829,789.032,5254.974,4734.192
expt-app-70,7,567.255,488.86,3970.785,3422.02
expt-app-67,10,142.068,7.123,1420.68,71.23
expt-app-86,10,101.265,34.224,1012.65,342.23999999999995
expt-app-19,6,353.598,233.525,2121.588,1401.15
expt-app-88,6,277.33200000000005,272.523,1663.9920000000002,1635.1380000000001
expt-app-36,9,256.305,251.495,2306.745,2263.455
expt-app-83,6,740.207,604.793,4441.242,3628.758
expt-app-22,1,1546.961,1541.457,1546.961,1541.457
expt-app-45,10,88.241,78.133,882.41,781.3299999999999
expt-app-34,6,583.521,463.023,3501.1259999999997,2778.138
expt-app-23,4,572.261,467.387,2289.044,1869.548
expt-app-46,7,1153.9859999999999,1018.475,8077.901999999999,7129.325
expt-app-78,8,554.72,419.429,4437.76,3355.432
expt-app-3,9,450.68399999999997,293.673,4056.156,2643.057
expt-app-2,8,101.615,35.003,812.92,280.024
expt-app-99,6,295.15599999999995,242.935,1770.9359999999997,1457.6100000000001
expt-app-79,5,601.263,488.428,3006.315,2442.14
expt-app-73,6,486.587,482.56,2919.522,2895.36
expt-app-10,4,520.81,509.155,2083.24,2036.62
expt-app-50,7,506.59299999999996,385.93,3546.151,2701.51
expt-app-77,8,204.148,54.678,1633.184,437.424
expt-app-29,8,465.977,361.005,3727.816,2888.04
expt-app-18,4,885.413,735.96,3541.652,2943.84
expt-app-15,8,152.04000000000002,26.669,1216.3200000000002,213.352
expt-app-17,4,1482.0120000000002,1414.864,5928.048000000001,5659.456
expt-app-51,4,1026.853,921.821,4107.412,3687.284
expt-app-56,6,409.286,274.244,2455.716,1645.4640000000002
expt-app-47,4,168.405,48.477,673.62,193.908
expt-app-89,4,907.103,902.273,3628.412,3609.092
expt-app-14,9,298.133,212.155,2683.1969999999997,1909.395
expt-app-57,6,153.91299999999998,75.681,923.4779999999998,454.086
expt-app-72,7,398.775,313.646,2791.4249999999997,2195.522
expt-app-16,1,1568.227,1489.445,1568.227,1489.445
expt-app-8,8,218.119,212.966,1744.952,1703.728
expt-app-35,1,1433.5169999999998,1354.933,1433.5169999999998,1354.933
expt-app-92,4,230.47,218.392,921.88,873.568
expt-app-68,1,2187.577,2052.432,2187.577,2052.432
expt-app-12,10,434.71700000000004,286.045,4347.17,2860.4500000000003
expt-app-40,4,2163.045,2058.123,8652.18,8232.492
expt-app-69,2,1086.307,975.749,2172.614,1951.498
expt-app-30,9,146.656,79.607,1319.904,716.463
expt-app-37,4,284.27200000000005,205.432,1137.0880000000002,821.728
expt-app-54,8,389.612,322.583,3116.896,2580.664
expt-app-55,4,990.2180000000001,922.643,3960.8720000000003,3690.572
expt-app-24,5,157.944,30.825,789.7199999999999,154.125
expt-app-43,1,1057.031,951.989,1057.031,951.989
