app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,4,1091.847,1086.543,4367.388,4346.172
expt-app-65,7,774.8530000000001,769.428,5423.9710000000005,5385.996
expt-app-54,8,490.668,423.739,3925.344,3389.912
expt-app-44,5,495.24,416.562,2476.2,2082.81
expt-app-30,9,226.93099999999998,83.13,2042.379,748.17
expt-app-36,9,205.756,139.127,1851.804,1252.143
expt-app-77,8,171.656,22.225,1373.248,177.8
expt-app-83,6,426.956,322.349,2561.736,1934.094
expt-app-10,4,1029.758,956.691,4119.032,3826.764
expt-app-62,7,1354.279,1287.196,9479.953,9010.372
expt-app-90,5,826.364,751.396,4131.82,3756.9799999999996
expt-app-26,3,1468.3,1401.658,4404.9,4204.974
expt-app-16,1,1174.257,1107.834,1174.257,1107.834
expt-app-91,10,111.545,6.467,1115.45,64.67
expt-app-19,6,295.059,159.709,1770.3540000000003,958.254
expt-app-1,9,171.231,21.381,1541.079,192.429
expt-app-94,2,319.641,199.191,639.282,398.382
expt-app-42,2,307.77700000000004,228.894,615.5540000000001,457.788
expt-app-20,7,308.618,241.681,2160.326,1691.767
expt-app-49,3,686.511,619.908,2059.533,1859.7240000000002
expt-app-18,4,508.717,388.422,2034.868,1553.688
expt-app-76,3,1186.821,1127.639,3560.4629999999997,3382.9169999999995
expt-app-86,10,156.54299999999998,21.509,1565.4299999999998,215.09
expt-app-79,5,367.559,247.102,1837.795,1235.51
expt-app-13,3,720.11,647.782,2160.33,1943.346
expt-app-51,4,521.066,468.905,2084.264,1875.62
expt-app-47,4,169.66,48.695,678.64,194.78
expt-app-23,4,746.498,667.831,2985.992,2671.324
expt-app-9,4,1691.332,1624.674,6765.328,6498.696
expt-app-88,6,378.644,298.016,2271.864,1788.096
expt-app-72,7,378.514,319.588,2649.598,2237.116
expt-app-98,6,212.778,159.857,1276.668,959.142
expt-app-87,10,176.987,48.286,1769.87,482.86
expt-app-81,9,124.833,20.336,1123.497,183.024
expt-app-82,2,788.106,705.49,1576.212,1410.98
expt-app-80,4,589.981,579.092,2359.924,2316.368
expt-app-99,6,247.1,126.104,1482.6,756.624
expt-app-58,9,135.963,31.163,1223.667,280.467
expt-app-8,8,400.989,335.312,3207.912,2682.496
expt-app-97,8,488.311,345.183,3906.488,2761.464
expt-app-84,2,502.42900000000003,497.183,1004.8580000000001,994.366
expt-app-24,5,96.97999999999999,30.767,484.9,153.835
expt-app-50,7,219.35399999999998,167.452,1535.4779999999998,1172.164
expt-app-95,9,267.971,193.852,2411.739,1744.6680000000001
expt-app-7,3,731.229,664.514,2193.687,1993.542
expt-app-53,7,607.885,526.812,4255.195,3687.684
expt-app-3,9,168.15800000000002,63.547,1513.422,571.923
expt-app-41,7,730.7289999999999,726.002,5115.102999999999,5082.013999999999
expt-app-68,1,1620.054,1542.029,1620.054,1542.029
expt-app-37,4,310.975,190.259,1243.9,761.036
expt-app-89,4,690.5949999999999,555.511,2762.3799999999997,2222.044
expt-app-25,9,158.73100000000002,53.784,1428.5790000000002,484.056
expt-app-4,7,308.586,229.288,2160.102,1605.016
expt-app-57,6,157.724,36.408,946.3439999999999,218.448
expt-app-32,5,351.401,278.022,1757.005,1390.11
expt-app-61,1,716.758,629.935,716.758,629.935
expt-app-43,1,526.069,405.492,526.069,405.492
expt-app-27,2,759.865,624.113,1519.73,1248.226
expt-app-14,9,169.52999999999997,64.25,1525.7699999999998,578.25
expt-app-78,8,232.009,127.183,1856.072,1017.464
expt-app-93,9,64.219,51.871,577.971,466.839
expt-app-69,2,820.8149999999999,747.79,1641.6299999999999,1495.58
expt-app-29,8,243.54799999999997,138.848,1948.3839999999998,1110.784
expt-app-34,6,917.15,849.876,5502.9,5099.255999999999
expt-app-48,2,580.928,519.001,1161.856,1038.002
expt-app-96,9,123.406,18.486,1110.654,166.374
expt-app-31,5,275.043,196.726,1375.2150000000001,983.63
expt-app-45,10,191.706,42.54,1917.06,425.4
expt-app-56,6,253.345,132.385,1520.07,794.31
expt-app-59,4,2068.9790000000003,1982.012,8275.916000000001,7928.048
expt-app-12,10,146.31,67.32,1463.1,673.1999999999999
expt-app-15,8,106.85300000000001,26.53,854.8240000000001,212.24
expt-app-70,7,661.055,655.624,4627.384999999999,4589.368
expt-app-92,4,238.26600000000002,110.482,953.0640000000001,441.928
expt-app-63,10,86.43,8.161,864.3000000000001,81.61
expt-app-0,5,923.631,856.978,4618.155,4284.889999999999
expt-app-22,1,1891.0059999999999,1823.901,1891.0059999999999,1823.901
expt-app-11,6,334.39799999999997,267.909,2006.388,1607.454
expt-app-2,8,52.193000000000005,38.085,417.54400000000004,304.68
expt-app-46,7,1107.906,1040.533,7755.342,7283.731
expt-app-40,4,1851.064,1707.842,7404.256,6831.368
expt-app-67,10,85.801,7.489,858.01,74.89
