app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-65,7,577.404,492.589,4041.828,3448.123
expt-app-43,1,629.007,493.51,629.007,493.51
expt-app-8,8,228.36,150.327,1826.88,1202.616
expt-app-15,8,167.94400000000002,10.865,1343.5520000000001,86.92
expt-app-32,5,374.142,269.019,1870.71,1345.095
expt-app-56,6,166.55900000000003,100.574,999.3540000000002,603.444
expt-app-98,6,336.584,231.735,2019.504,1390.41
expt-app-69,2,594.4359999999999,489.04,1188.8719999999998,978.08
expt-app-53,7,230.254,159.075,1611.778,1113.5249999999999
expt-app-42,2,133.163,129.013,266.326,258.026
expt-app-58,9,173.862,24.941,1564.758,224.469
expt-app-24,5,106.414,31.247,532.07,156.235
expt-app-92,4,112.456,108.349,449.824,433.396
expt-app-13,3,444.94800000000004,372.484,1334.844,1117.452
expt-app-36,9,252.054,131.287,2268.486,1181.583
expt-app-91,10,18.644000000000002,14.042,186.44000000000003,140.42
expt-app-11,6,445.923,379.253,2675.538,2275.518
expt-app-97,8,105.718,39.088,845.744,312.704
expt-app-45,10,186.116,42.563,1861.16,425.63
expt-app-70,7,310.554,231.668,2173.8779999999997,1621.676
expt-app-95,9,314.416,193.507,2829.744,1741.563
expt-app-40,4,1239.0520000000001,1134.069,4956.2080000000005,4536.276
expt-app-20,7,362.726,251.127,2539.082,1757.8890000000001
expt-app-80,4,519.3870000000001,384.128,2077.5480000000002,1536.512
expt-app-46,7,552.885,486.209,3870.1949999999997,3403.463
expt-app-72,7,252.76999999999998,186.483,1769.3899999999999,1305.381
expt-app-10,4,284.02,210.838,1136.08,843.352
expt-app-93,9,23.3,18.329,209.70000000000002,164.961
expt-app-99,6,268.113,147.644,1608.6779999999999,885.864
expt-app-28,3,977.3439999999999,856.144,2932.0319999999997,2568.432
expt-app-1,9,181.386,23.983,1632.474,215.847
expt-app-29,8,245.51899999999998,166.564,1964.1519999999998,1332.512
expt-app-23,4,429.23699999999997,362.46,1716.9479999999999,1449.84
expt-app-88,6,93.602,88.811,561.6120000000001,532.866
expt-app-44,5,461.6,326.652,2308.0,1633.26
expt-app-83,6,243.24,176.722,1459.44,1060.332
expt-app-77,8,172.023,22.216,1376.184,177.728
expt-app-67,10,108.10000000000001,3.58,1081.0,35.8
expt-app-18,4,507.887,366.374,2031.548,1465.496
expt-app-59,4,1841.039,1705.717,7364.156,6822.868
expt-app-26,3,866.261,862.367,2598.783,2587.1009999999997
expt-app-86,10,137.783,17.268,1377.83,172.68
expt-app-48,2,892.5300000000001,787.397,1785.0600000000002,1574.794
expt-app-49,3,817.009,712.111,2451.027,2136.333
expt-app-76,3,647.709,543.574,1943.127,1630.7219999999998
expt-app-9,4,839.4639999999999,754.574,3357.8559999999998,3018.296
expt-app-55,4,488.239,409.216,1952.956,1636.864
expt-app-7,3,496.062,429.782,1488.1860000000001,1289.346
expt-app-41,7,311.127,253.404,2177.889,1773.828
expt-app-34,6,307.85,228.945,1847.1000000000001,1373.67
expt-app-52,2,857.047,790.375,1714.094,1580.75
expt-app-2,8,119.824,35.027,958.592,280.216
expt-app-54,8,365.464,286.718,2923.712,2293.744
expt-app-50,7,342.629,237.863,2398.4030000000002,1665.041
expt-app-19,6,284.065,163.118,1704.3899999999999,978.708
expt-app-94,2,201.262,188.523,402.524,377.046
expt-app-4,7,284.81800000000004,206.364,1993.7260000000003,1444.548
expt-app-84,2,806.059,665.78,1612.118,1331.56
expt-app-31,5,328.325,224.289,1641.625,1121.445
expt-app-57,6,267.825,146.48,1606.9499999999998,878.8799999999999
expt-app-74,4,490.969,424.715,1963.876,1698.86
expt-app-90,5,579.019,500.754,2895.0950000000003,2503.77
expt-app-22,1,1105.439,969.779,1105.439,969.779
expt-app-30,9,203.131,74.885,1828.179,673.965
expt-app-39,7,341.919,337.007,2393.433,2359.049
expt-app-47,4,57.491,54.44,229.964,217.76
expt-app-68,1,1175.308,1040.116,1175.308,1040.116
expt-app-78,8,126.991,122.302,1015.928,978.416
expt-app-51,4,706.094,595.77,2824.376,2383.08
expt-app-81,9,26.186,21.57,235.674,194.13
expt-app-79,5,432.43399999999997,297.488,2162.17,1487.44
expt-app-12,10,219.203,143.479,2192.03,1434.7900000000002
expt-app-14,9,89.531,76.069,805.779,684.621
expt-app-16,1,1362.049,1225.731,1362.049,1225.731
expt-app-25,9,125.671,73.359,1131.039,660.231
expt-app-3,9,59.986,55.661,539.874,500.949
expt-app-87,10,74.492,22.044,744.9200000000001,220.44
expt-app-63,10,135.388,15.162,1353.88,151.62
expt-app-0,5,658.985,572.931,3294.925,2864.655
expt-app-89,4,517.657,439.785,2070.628,1759.14
expt-app-62,7,398.90799999999996,331.487,2792.3559999999998,2320.409
expt-app-96,9,162.016,27.865,1458.144,250.785
expt-app-37,4,441.704,336.804,1766.816,1347.216
