app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-2,6,266.277,188.079,1597.6619999999998,1128.4740000000002
expt-app-66,5,2303.4539999999997,2182.608,11517.269999999999,10913.04
expt-app-91,7,1154.383,1005.687,8080.6810000000005,7039.809
expt-app-74,4,3731.045,3652.585,14924.18,14610.34
expt-app-63,7,1294.723,1290.106,9063.061,9030.742
expt-app-40,8,177.574,41.107,1420.592,328.856
expt-app-67,8,107.19099999999999,28.581,857.5279999999999,228.648
expt-app-80,10,99.554,32.822,995.54,328.22
expt-app-52,9,390.76,260.775,3516.84,2346.975
expt-app-53,8,285.63,165.097,2285.04,1320.776
expt-app-41,4,479.0,412.273,1916.0,1649.092
expt-app-59,6,714.65,709.182,4287.9,4255.092000000001
expt-app-45,8,446.40000000000003,357.609,3571.2000000000003,2860.872
expt-app-17,5,2101.5739999999996,1996.293,10507.869999999999,9981.465
expt-app-36,10,166.548,45.277,1665.48,452.77
expt-app-34,10,204.071,76.754,2040.71,767.5400000000001
expt-app-85,3,4235.8820000000005,4222.81,12707.646,12668.43
expt-app-42,4,2668.92,2533.456,10675.68,10133.824
expt-app-3,10,86.092,82.093,860.92,820.9300000000001
expt-app-23,4,2842.8300000000004,2789.841,11371.320000000002,11159.364
expt-app-25,10,178.176,57.273,1781.7599999999998,572.73
expt-app-26,6,511.97499999999997,445.428,3071.85,2672.568
expt-app-79,5,494.03999999999996,419.594,2470.2,2097.97
expt-app-9,4,2480.388,2401.936,9921.552,9607.744
expt-app-15,4,682.96,533.878,2731.84,2135.512
expt-app-88,5,1175.799,1040.015,5878.995,5200.075000000001
expt-app-27,4,3695.071,3689.553,14780.284,14758.212
expt-app-51,6,760.772,616.401,4564.6320000000005,3698.406
expt-app-86,6,1902.188,1897.241,11413.128,11383.446
expt-app-33,6,542.0559999999999,406.454,3252.3359999999993,2438.724
expt-app-75,5,372.711,266.233,1863.555,1331.165
expt-app-49,10,349.07500000000005,204.332,3490.7500000000005,2043.32
expt-app-39,4,1522.322,1444.018,6089.288,5776.072
expt-app-50,4,437.986,333.089,1751.944,1332.356
expt-app-71,3,935.987,829.867,2807.961,2489.6009999999997
expt-app-0,3,1036.626,899.084,3109.8779999999997,2697.252
expt-app-10,10,375.466,330.781,3754.66,3307.81
expt-app-14,7,1396.1619999999998,1317.388,9773.133999999998,9221.716
expt-app-20,5,350.505,266.762,1752.525,1333.81
expt-app-28,8,455.218,334.684,3641.744,2677.472
expt-app-44,5,2326.3500000000004,2167.349,11631.750000000002,10836.745
expt-app-6,6,143.488,39.561,860.928,237.36599999999999
expt-app-8,7,961.087,856.374,6727.609,5994.618
expt-app-38,8,215.095,94.18,1720.76,753.44
expt-app-92,6,209.376,156.843,1256.256,941.058
expt-app-61,6,647.223,487.601,3883.3379999999997,2925.6059999999998
expt-app-95,4,1398.365,1393.606,5593.46,5574.424
expt-app-69,4,2923.886,2802.97,11695.544,11211.88
expt-app-47,9,111.603,7.253,1004.4269999999999,65.277
expt-app-18,10,151.198,29.983,1511.98,299.83
expt-app-55,10,139.72799999999998,35.091,1397.2799999999997,350.91
expt-app-99,6,210.517,158.039,1263.1019999999999,948.2339999999999
expt-app-32,5,562.6759999999999,419.752,2813.3799999999997,2098.76
expt-app-5,1,1836.317,1747.182,1836.317,1747.182
expt-app-97,8,489.23699999999997,410.77,3913.8959999999997,3286.16
expt-app-12,7,752.285,667.041,5265.995,4669.287
expt-app-77,3,851.448,784.378,2554.344,2353.134
expt-app-31,10,30.374000000000002,16.864,303.74,168.64000000000001
expt-app-16,5,271.583,192.708,1357.9150000000002,963.54
expt-app-73,8,467.541,399.772,3740.328,3198.176
expt-app-56,4,3512.906,3391.394,14051.624,13565.576
expt-app-13,4,1644.825,1508.909,6579.3,6035.636
expt-app-21,6,955.985,851.677,5735.91,5110.062
expt-app-82,9,336.26800000000003,208.679,3026.4120000000003,1878.111
expt-app-70,3,4630.116,4508.96,13890.348,13526.880000000001
expt-app-57,7,2285.416,2131.718,15997.912,14922.025999999998
expt-app-76,7,894.098,744.776,6258.686,5213.432
expt-app-24,8,575.455,426.331,4603.64,3410.648
expt-app-72,4,778.095,699.597,3112.38,2798.388
expt-app-46,10,73.342,7.136,733.42,71.36
expt-app-64,3,3889.1589999999997,3803.583,11667.476999999999,11410.749
expt-app-22,6,913.993,757.65,5483.9580000000005,4545.9
expt-app-11,8,747.148,680.258,5977.184,5442.064
expt-app-48,5,317.46799999999996,250.64,1587.3399999999997,1253.1999999999998
expt-app-83,8,268.339,201.812,2146.712,1614.496
expt-app-4,3,6395.53,6336.365,19186.59,19009.095
