app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-16,5,269.262,190.729,1346.31,953.6450000000001
expt-app-40,8,175.731,41.012,1405.848,328.096
expt-app-63,7,1116.481,1111.446,7815.367,7780.121999999999
expt-app-6,6,146.622,41.43,879.7320000000001,248.57999999999998
expt-app-73,8,479.97299999999996,413.157,3839.7839999999997,3305.256
expt-app-3,10,78.643,75.117,786.4300000000001,751.1700000000001
expt-app-17,5,1994.924,1890.139,9974.619999999999,9450.695
expt-app-99,6,186.393,133.966,1118.358,803.796
expt-app-74,4,3565.773,3487.263,14263.092,13949.052
expt-app-91,7,1168.3129999999999,1019.305,8178.190999999999,7135.134999999999
expt-app-82,9,325.791,205.882,2932.119,1852.938
expt-app-36,10,165.59699999999998,45.127,1655.9699999999998,451.27000000000004
expt-app-45,8,509.779,430.779,4078.232,3446.232
expt-app-4,3,5713.211,5660.676,17139.633,16982.028000000002
expt-app-18,10,149.92,28.358,1499.1999999999998,283.58
expt-app-33,6,505.9669999999999,370.585,3035.8019999999997,2223.5099999999998
expt-app-69,4,2752.738,2622.654,11010.952,10490.616
expt-app-59,6,720.4350000000001,708.443,4322.610000000001,4250.657999999999
expt-app-44,5,2132.844,1984.099,10664.220000000001,9920.494999999999
expt-app-75,5,374.64799999999997,269.738,1873.2399999999998,1348.69
expt-app-11,8,616.952,541.989,4935.616,4335.912
expt-app-24,8,700.706,544.996,5605.648,4359.968
expt-app-28,8,552.929,431.705,4423.432,3453.64
expt-app-51,6,816.671,681.642,4900.026,4089.8520000000003
expt-app-48,5,341.058,274.155,1705.29,1370.7749999999999
expt-app-14,7,1446.245,1359.345,10123.715,9515.415
expt-app-66,5,2507.93,2386.796,12539.65,11933.98
expt-app-42,4,2488.7690000000002,2354.008,9955.076000000001,9416.032
expt-app-12,7,802.96,723.853,5620.72,5066.971
expt-app-22,6,816.838,667.434,4901.028,4004.604
expt-app-83,8,570.065,470.633,4560.52,3765.064
expt-app-79,5,483.574,417.695,2417.87,2088.475
expt-app-39,4,1303.369,1225.197,5213.476,4900.788
expt-app-47,9,120.885,7.012,1087.9650000000001,63.108
expt-app-27,4,3937.069,3922.899,15748.276,15691.596
expt-app-57,7,2019.584,1869.973,14137.088,13089.811
expt-app-53,8,284.966,165.041,2279.728,1320.328
expt-app-13,4,1515.951,1380.56,6063.804,5522.24
expt-app-88,5,1240.039,1098.773,6200.195,5493.865
expt-app-72,4,908.203,820.075,3632.812,3280.3
expt-app-8,7,891.004,785.856,6237.028,5500.992
expt-app-86,6,1709.713,1699.777,10258.278,10198.662
expt-app-55,10,140.695,36.117,1406.9499999999998,361.16999999999996
expt-app-34,10,196.804,76.442,1968.04,764.42
expt-app-61,6,638.672,489.364,3832.032,2936.1839999999997
expt-app-10,10,297.43399999999997,293.361,2974.3399999999997,2933.6099999999997
expt-app-2,6,269.858,190.693,1619.1480000000001,1144.1580000000001
expt-app-21,6,983.433,879.556,5900.598,5277.336
expt-app-70,3,4887.968,4766.309,14663.903999999999,14298.927
expt-app-41,4,905.805,839.223,3623.22,3356.892
expt-app-56,4,3508.8210000000004,3387.858,14035.284000000001,13551.432
expt-app-71,3,945.1800000000001,840.662,2835.54,2521.986
expt-app-32,5,527.087,391.559,2635.435,1957.795
expt-app-77,3,865.4929999999999,799.261,2596.479,2397.783
expt-app-52,9,411.599,290.715,3704.391,2616.435
expt-app-80,10,106.759,32.976,1067.59,329.76
expt-app-23,4,2456.732,2397.114,9826.928,9588.456
expt-app-0,3,1046.5919999999999,910.794,3139.776,2732.382
expt-app-49,10,336.666,201.492,3366.66,2014.9199999999998
expt-app-26,6,557.647,491.474,3345.8820000000005,2948.844
expt-app-31,10,19.414,14.795,194.14000000000001,147.95
expt-app-9,4,2210.158,2123.5,8840.632,8494.0
expt-app-76,7,902.809,753.42,6319.663,5273.94
expt-app-15,4,1030.315,876.037,4121.26,3504.148
expt-app-64,3,3807.032,3719.67,11421.096000000001,11159.01
expt-app-97,8,505.36099999999993,419.533,4042.8879999999995,3356.264
expt-app-38,8,215.088,94.512,1720.704,756.096
expt-app-20,5,355.593,269.071,1777.9650000000001,1345.355
expt-app-85,3,3728.299,3724.038,11184.897,11172.114
expt-app-95,4,1593.3310000000001,1580.285,6373.3240000000005,6321.14
expt-app-5,1,1717.941,1639.416,1717.941,1639.416
expt-app-25,10,180.084,58.449,1800.8400000000001,584.49
expt-app-50,4,443.762,337.625,1775.048,1350.5
expt-app-46,10,74.57900000000001,8.054,745.7900000000001,80.54
expt-app-67,8,110.56299999999999,29.834,884.5039999999999,238.672
expt-app-92,6,216.872,155.445,1301.232,932.67
