app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-38,7,222.874,165.069,1560.118,1155.483
expt-app-87,9,137.222,25.638,1234.998,230.74200000000002
expt-app-51,9,263.096,154.128,2367.864,1387.1519999999998
expt-app-40,9,171.604,84.258,1544.4360000000001,758.322
expt-app-75,7,452.37899999999996,378.705,3166.653,2650.935
expt-app-9,10,116.46900000000001,32.466,1164.69,324.66
expt-app-43,9,78.71400000000001,17.468,708.4260000000002,157.212
expt-app-42,8,361.417,309.238,2891.336,2473.904
expt-app-1,10,158.54999999999998,49.124,1585.4999999999998,491.24
expt-app-86,10,92.806,8.26,928.06,82.6
expt-app-67,10,93.661,20.3,936.61,203.0
expt-app-30,8,418.891,344.595,3351.128,2756.76
expt-app-39,7,285.493,280.164,1998.451,1961.148
expt-app-37,8,94.121,18.75,752.968,150.0
expt-app-64,9,90.078,32.036,810.702,288.324
expt-app-13,9,92.904,87.503,836.136,787.527
expt-app-14,7,166.796,26.177,1167.572,183.239
expt-app-76,9,399.571,270.17,3596.139,2431.53
expt-app-41,6,450.839,366.163,2705.034,2196.978
expt-app-55,8,381.954,241.695,3055.632,1933.56
expt-app-78,10,272.647,168.086,2726.47,1680.8600000000001
expt-app-3,10,143.538,32.091,1435.38,320.91
