app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-3,10,143.986,34.051,1439.86,340.51
expt-app-86,10,86.23,7.831,862.3000000000001,78.31
expt-app-13,9,94.54799999999999,82.484,850.9319999999999,742.356
expt-app-67,10,93.433,18.738,934.33,187.38
expt-app-76,9,353.68699999999995,225.054,3183.1829999999995,2025.486
expt-app-55,8,377.62800000000004,234.85,3021.0240000000003,1878.8
expt-app-37,8,90.708,17.037,725.664,136.296
expt-app-43,9,74.184,17.968,667.656,161.712
expt-app-75,7,481.516,406.688,3370.612,2846.816
expt-app-38,7,215.431,155.693,1508.017,1089.851
expt-app-9,10,118.952,32.138,1189.52,321.38
expt-app-39,7,274.957,265.292,1924.699,1857.0439999999999
expt-app-51,9,278.33299999999997,165.443,2504.997,1488.987
expt-app-41,6,462.949,384.736,2777.694,2308.416
expt-app-40,9,171.743,84.451,1545.687,760.059
expt-app-64,9,92.204,31.762,829.8359999999999,285.858
expt-app-14,7,168.327,25.667,1178.289,179.669
expt-app-30,8,393.96,326.742,3151.68,2613.936
expt-app-87,9,125.133,20.052,1126.197,180.468
expt-app-78,10,283.174,170.776,2831.74,1707.7600000000002
expt-app-1,10,160.653,48.995,1606.53,489.95
expt-app-42,8,370.046,309.777,2960.368,2478.216
