app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-1,10,161.52700000000002,48.485,1615.2700000000002,484.85
expt-app-76,9,383.827,262.805,3454.443,2365.245
expt-app-9,10,109.57799999999999,31.566,1095.78,315.65999999999997
expt-app-64,9,91.137,32.478,820.233,292.302
expt-app-86,10,91.91000000000001,7.886,919.1000000000001,78.86
expt-app-51,9,267.79999999999995,154.951,2410.2,1394.559
expt-app-14,7,162.219,18.421,1135.533,128.947
expt-app-78,10,287.114,172.907,2871.14,1729.0700000000002
expt-app-39,7,278.44,265.531,1949.08,1858.717
expt-app-67,10,91.77499999999999,18.467,917.7499999999999,184.67
expt-app-75,7,476.797,404.918,3337.579,2834.426
expt-app-43,9,78.466,18.208,706.194,163.87199999999999
expt-app-87,9,133.545,21.334,1201.905,192.006
expt-app-40,9,169.579,83.542,1526.211,751.878
expt-app-30,8,397.195,330.347,3177.56,2642.776
expt-app-41,6,394.767,308.752,2368.602,1852.5120000000002
expt-app-37,8,90.654,17.05,725.232,136.4
expt-app-38,7,226.40099999999998,166.028,1584.8069999999998,1162.196
expt-app-3,10,142.755,33.27,1427.55,332.70000000000005
expt-app-42,8,350.397,298.333,2803.176,2386.664
expt-app-55,8,377.03999999999996,234.718,3016.3199999999997,1877.744
expt-app-13,9,90.769,79.409,816.921,714.681
