app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-30,8,198.556,146.743,1588.448,1173.944
expt-app-84,6,928.2,823.452,5569.200000000001,4940.7119999999995
expt-app-34,4,836.1769999999999,768.521,3344.7079999999996,3074.084
expt-app-40,9,93.96799999999999,88.758,845.7119999999999,798.822
expt-app-20,6,342.943,208.114,2057.658,1248.684
expt-app-45,5,800.644,785.267,4003.2200000000003,3926.335
expt-app-27,3,284.803,279.703,854.409,839.1089999999999
expt-app-55,8,233.422,154.207,1867.376,1233.656
expt-app-74,7,683.407,604.708,4783.849,4232.956
expt-app-11,4,1344.0330000000001,1188.808,5376.1320000000005,4755.232
expt-app-53,6,788.168,721.336,4729.008,4328.016
expt-app-72,8,714.8520000000001,594.064,5718.816000000001,4752.512
expt-app-54,6,1159.562,1082.897,6957.371999999999,6497.382
expt-app-70,1,4446.6720000000005,4310.873,4446.6720000000005,4310.873
expt-app-65,9,285.286,206.422,2567.574,1857.798
expt-app-37,8,157.50300000000001,22.809,1260.0240000000001,182.472
expt-app-13,9,244.221,87.985,2197.989,791.865
expt-app-32,5,625.519,491.015,3127.5950000000003,2455.075
expt-app-78,10,105.247,52.277,1052.47,522.77
expt-app-48,9,612.923,473.575,5516.307,4262.175
expt-app-56,8,370.219,366.007,2961.752,2928.056
expt-app-96,6,1259.246,1124.698,7555.476000000001,6748.188
expt-app-61,8,294.546,289.634,2356.368,2317.072
expt-app-95,10,212.148,132.914,2121.48,1329.1399999999999
expt-app-5,6,1002.2800000000001,928.177,6013.68,5569.062
expt-app-58,8,673.5219999999999,542.714,5388.1759999999995,4341.712
expt-app-90,4,900.967,788.059,3603.868,3152.236
expt-app-68,6,739.436,634.781,4436.616,3808.6859999999997
expt-app-16,6,501.66200000000003,439.286,3009.972,2635.716
expt-app-86,10,65.718,12.973,657.1800000000001,129.73000000000002
expt-app-85,7,670.0390000000001,603.743,4690.273000000001,4226.201
expt-app-47,4,2245.79,2096.115,8983.16,8384.46
expt-app-60,6,146.28,141.721,877.6800000000001,850.326
expt-app-22,9,204.191,189.548,1837.719,1705.932
expt-app-92,7,414.66999999999996,362.137,2902.6899999999996,2534.959
expt-app-18,2,4938.119000000001,4801.564,9876.238000000001,9603.128
expt-app-88,8,322.291,318.306,2578.328,2546.448
expt-app-8,6,649.671,514.364,3898.0260000000003,3086.184
expt-app-41,6,485.36899999999997,355.219,2912.214,2131.314
expt-app-38,7,251.868,109.144,1763.076,764.008
expt-app-67,10,103.119,24.055,1031.19,240.55
expt-app-66,8,375.971,271.586,3007.768,2172.688
expt-app-64,9,115.87400000000001,41.183,1042.866,370.647
expt-app-50,1,870.861,791.437,870.861,791.437
expt-app-42,8,193.981,189.671,1551.848,1517.368
expt-app-80,6,301.77700000000004,166.483,1810.6620000000003,998.898
expt-app-43,9,93.95100000000001,14.935,845.5590000000001,134.415
expt-app-1,10,48.372,34.841,483.72,348.41
expt-app-9,10,261.83099999999996,132.821,2618.3099999999995,1328.21
expt-app-75,7,640.067,505.091,4480.469,3535.637
expt-app-17,6,1332.383,1203.583,7994.298000000001,7221.4980000000005
expt-app-24,8,226.101,147.497,1808.808,1179.976
expt-app-91,3,711.597,576.912,2134.791,1730.736
expt-app-83,3,1330.589,1210.045,3991.767,3630.135
expt-app-36,9,346.229,231.934,3116.0609999999997,2087.406
expt-app-25,4,691.865,624.899,2767.46,2499.596
expt-app-87,9,115.05799999999999,10.711,1035.522,96.399
expt-app-2,2,400.34799999999996,322.238,800.6959999999999,644.476
expt-app-82,3,1031.108,942.821,3093.3239999999996,2828.463
expt-app-31,3,3238.968,3089.239,9716.903999999999,9267.717
expt-app-76,9,79.908,74.868,719.172,673.8119999999999
expt-app-39,7,406.943,340.403,2848.6009999999997,2382.821
expt-app-3,10,155.238,20.383,1552.38,203.82999999999998
expt-app-62,5,1237.3220000000001,1079.07,6186.610000000001,5395.349999999999
expt-app-71,4,1004.7159999999999,936.839,4018.8639999999996,3747.356
expt-app-97,3,325.102,257.571,975.3059999999999,772.7130000000001
expt-app-73,6,779.1510000000001,712.191,4674.906000000001,4273.146000000001
expt-app-51,9,161.471,126.495,1453.239,1138.455
expt-app-28,6,1818.016,1749.487,10908.096000000001,10496.922
expt-app-79,1,461.413,395.076,461.413,395.076
expt-app-44,6,1195.511,1190.438,7173.066,7142.628000000001
expt-app-19,2,752.178,617.324,1504.356,1234.648
expt-app-99,7,307.535,166.643,2152.7450000000003,1166.501
expt-app-33,2,1976.524,1872.017,3953.048,3744.034
expt-app-14,7,156.248,21.598,1093.7359999999999,151.18599999999998
expt-app-81,6,875.375,770.434,5252.25,4622.603999999999
expt-app-93,6,844.272,839.773,5065.6320000000005,5038.638
