app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-74,7,641.377,554.035,4489.638999999999,3878.245
expt-app-39,7,381.81399999999996,315.677,2672.698,2209.739
expt-app-45,5,918.086,913.466,4590.43,4567.33
expt-app-42,8,217.038,206.227,1736.304,1649.816
expt-app-87,9,115.335,10.63,1038.0149999999999,95.67
expt-app-73,6,709.592,642.869,4257.552,3857.214
expt-app-58,8,633.9390000000001,506.313,5071.512000000001,4050.504
expt-app-99,7,291.534,156.729,2040.7379999999998,1097.103
expt-app-25,4,667.271,600.883,2669.084,2403.532
expt-app-62,5,1259.64,1101.612,6298.200000000001,5508.06
expt-app-19,2,749.364,614.053,1498.728,1228.106
expt-app-83,3,1378.019,1257.504,4134.057,3772.5119999999997
expt-app-47,4,2237.395,2088.359,8949.58,8353.436
expt-app-2,2,422.694,344.288,845.388,688.576
expt-app-97,3,331.88800000000003,264.631,995.6640000000001,793.8929999999999
expt-app-16,6,471.782,411.827,2830.692,2470.962
expt-app-36,9,335.868,231.389,3022.812,2082.501
expt-app-41,6,444.60499999999996,324.305,2667.6299999999997,1945.83
expt-app-60,6,145.315,140.825,871.89,844.9499999999999
expt-app-56,8,447.383,435.326,3579.064,3482.608
expt-app-96,6,1320.0130000000001,1184.643,7920.078000000001,7107.858
expt-app-24,8,236.33,157.179,1890.64,1257.432
expt-app-91,3,709.843,574.314,2129.529,1722.942
expt-app-34,4,770.8660000000001,703.815,3083.4640000000004,2815.26
expt-app-37,8,166.203,23.396,1329.624,187.168
expt-app-66,8,376.821,272.216,3014.568,2177.728
expt-app-70,1,4425.01,4288.978,4425.01,4288.978
expt-app-55,8,255.763,169.54,2046.104,1356.32
expt-app-82,3,1059.9650000000001,980.737,3179.8950000000004,2942.211
expt-app-30,8,261.481,209.958,2091.848,1679.664
expt-app-11,4,1259.125,1109.714,5036.5,4438.856
expt-app-31,3,3228.611,3078.896,9685.832999999999,9236.688
expt-app-1,10,100.33699999999999,88.396,1003.3699999999999,883.96
expt-app-17,6,1289.512,1160.663,7737.072,6963.978
expt-app-65,9,266.239,178.586,2396.151,1607.2740000000001
expt-app-79,1,489.817,423.059,489.817,423.059
expt-app-40,9,99.76400000000001,87.461,897.8760000000001,787.149
expt-app-81,6,923.221,817.932,5539.326,4907.592000000001
expt-app-50,1,866.3629999999999,787.341,866.3629999999999,787.341
expt-app-28,6,1882.063,1814.956,11292.378,10889.735999999999
expt-app-75,7,544.6419999999999,409.711,3812.4939999999997,2867.977
expt-app-67,10,102.60900000000001,23.96,1026.0900000000001,239.60000000000002
expt-app-72,8,715.174,594.656,5721.392,4757.248
expt-app-38,7,236.625,101.404,1656.375,709.828
expt-app-27,3,265.258,254.31,795.7739999999999,762.9300000000001
expt-app-32,5,657.664,522.544,3288.3199999999997,2612.72
expt-app-51,9,146.513,132.621,1318.617,1193.5890000000002
expt-app-95,10,209.219,130.178,2092.19,1301.78
expt-app-84,6,901.726,796.468,5410.356,4778.808
expt-app-13,9,237.82600000000002,89.045,2140.434,801.405
expt-app-85,7,764.918,698.104,5354.426,4886.728
expt-app-22,9,249.10999999999999,237.68,2241.99,2139.12
expt-app-92,7,449.202,396.338,3144.4139999999998,2774.366
expt-app-8,6,631.3720000000001,496.037,3788.2320000000004,2976.2219999999998
expt-app-71,4,953.422,886.196,3813.688,3544.784
expt-app-86,10,64.402,12.253,644.02,122.53
expt-app-93,6,859.441,855.133,5156.646000000001,5130.798000000001
expt-app-64,9,106.647,40.55,959.8230000000001,364.95
expt-app-54,6,1077.873,1011.596,6467.238,6069.576
expt-app-90,4,898.061,786.348,3592.244,3145.392
expt-app-68,6,711.069,606.548,4266.414,3639.288
expt-app-43,9,93.08,15.065,837.72,135.585
expt-app-20,6,373.78499999999997,238.929,2242.71,1433.574
expt-app-53,6,792.44,725.647,4754.64,4353.8820000000005
expt-app-5,6,860.769,793.458,5164.614,4760.748
expt-app-44,6,1320.5690000000002,1308.424,7923.414000000001,7850.544
expt-app-80,6,316.41799999999995,181.242,1898.5079999999998,1087.452
expt-app-88,8,300.062,295.849,2400.496,2366.792
expt-app-48,9,507.741,387.232,4569.669,3485.088
expt-app-14,7,159.745,17.064,1118.2150000000001,119.44800000000001
expt-app-33,2,2062.15,1956.688,4124.3,3913.376
expt-app-9,10,260.716,140.501,2607.16,1405.01
expt-app-76,9,144.353,140.117,1299.1770000000001,1261.0529999999999
expt-app-78,10,103.5,51.508,1035.0,515.08
expt-app-18,2,4921.831,4786.231,9843.662,9572.462
expt-app-3,10,153.62300000000002,18.227,1536.2300000000002,182.27
expt-app-61,8,372.97999999999996,361.211,2983.8399999999997,2889.688
