app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-59,8,371.101,361.181,2968.808,2889.448
expt-app-26,8,140.995,44.412,1127.96,355.296
expt-app-36,3,473.60799999999995,463.342,1420.8239999999998,1390.0259999999998
expt-app-10,10,120.145,25.198,1201.45,251.98000000000002
expt-app-1,5,170.623,137.249,853.115,686.245
expt-app-13,9,125.21,31.47,1126.8899999999999,283.23
expt-app-25,8,476.35499999999996,384.124,3810.8399999999997,3072.992
expt-app-9,4,1108.079,1011.094,4432.316,4044.376
expt-app-51,6,328.852,239.332,1973.1119999999999,1435.992
expt-app-42,9,373.745,280.27,3363.705,2522.43
expt-app-28,7,61.594,30.3,431.158,212.1
expt-app-38,4,336.236,265.112,1344.944,1060.448
expt-app-5,10,104.071,33.302,1040.71,333.02
expt-app-46,5,502.57099999999997,412.897,2512.855,2064.485
expt-app-19,2,430.999,358.897,861.998,717.794
expt-app-39,8,73.568,42.065,588.544,336.52
expt-app-24,6,846.043,747.614,5076.258,4485.684
expt-app-55,6,150.43300000000002,117.75,902.5980000000002,706.5
expt-app-56,7,852.58,822.061,5968.06,5754.427000000001
expt-app-43,3,1173.353,50.743,3520.059,152.229
expt-app-31,5,498.12800000000004,429.052,2490.6400000000003,2145.26
expt-app-40,6,997.479,925.521,5984.874,5553.126
expt-app-45,8,114.05,22.928,912.4,183.424
expt-app-16,8,680.465,589.28,5443.72,4714.24
expt-app-15,6,1033.924,964.853,6203.544,5789.1179999999995
expt-app-54,5,360.644,290.886,1803.22,1454.43
expt-app-18,4,447.938,356.281,1791.752,1425.124
expt-app-50,10,90.874,16.418,908.74,164.18
expt-app-37,7,1001.663,909.531,7011.641,6366.717
expt-app-57,6,531.532,500.758,3189.192,3004.548
expt-app-2,6,471.09299999999996,458.67,2826.558,2752.02
expt-app-3,9,365.687,295.175,3291.183,2656.5750000000003
expt-app-23,9,103.993,70.411,935.9369999999999,633.6990000000001
expt-app-33,9,572.665,500.806,5153.985,4507.254
expt-app-21,9,168.69600000000003,96.998,1518.2640000000001,872.9820000000001
expt-app-27,10,163.795,68.163,1637.9499999999998,681.63
expt-app-58,9,258.96599999999995,164.904,2330.6939999999995,1484.136
expt-app-11,10,84.948,53.156,849.4799999999999,531.56
expt-app-52,10,30.942999999999998,17.694,309.42999999999995,176.94
expt-app-47,3,270.887,178.155,812.6610000000001,534.465
expt-app-22,4,895.969,824.824,3583.876,3299.296
expt-app-12,8,208.611,196.444,1668.888,1571.552
