app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-5,1,978.78,969.349,978.78,969.349
expt-app-13,6,112.903,102.95,677.418,617.7
expt-app-33,4,431.089,381.63,1724.356,1526.52
expt-app-29,4,62.309999999999995,49.613,249.23999999999998,198.452
expt-app-30,7,47.765,36.882,334.355,258.174
expt-app-43,6,129.5,117.861,777.0,707.166
expt-app-19,10,46.617,36.208,466.16999999999996,362.08
expt-app-18,4,79.0,63.6,316.0,254.4
expt-app-39,6,36.13,26.625,216.78000000000003,159.75
expt-app-54,3,433.321,419.568,1299.9630000000002,1258.704
expt-app-10,5,164.75,147.701,823.75,738.505
expt-app-14,3,1074.335,1063.614,3223.005,3190.842
expt-app-28,4,119.17,107.617,476.68,430.468
expt-app-35,3,172.58499999999998,161.566,517.7549999999999,484.698
expt-app-42,9,190.296,178.215,1712.664,1603.935
expt-app-9,7,78.361,57.683,548.527,403.781
expt-app-38,2,227.03799999999998,149.195,454.07599999999996,298.39
expt-app-27,9,121.567,109.319,1094.1029999999998,983.871
expt-app-53,7,112.253,98.604,785.771,690.228
expt-app-23,2,701.3810000000001,689.845,1402.7620000000002,1379.69
expt-app-32,10,22.352,11.806,223.52,118.05999999999999
expt-app-6,9,84.275,74.878,758.475,673.902
expt-app-0,7,23.616999999999997,7.834,165.319,54.837999999999994
expt-app-41,7,89.245,79.072,624.715,553.504
expt-app-26,2,706.692,692.771,1413.384,1385.542
expt-app-21,9,23.505000000000003,12.92,211.54500000000002,116.28
expt-app-37,6,238.698,224.081,1432.188,1344.4859999999999
expt-app-40,9,123.393,88.533,1110.537,796.797
expt-app-46,3,886.634,859.503,2659.902,2578.509
expt-app-52,5,194.25,183.153,971.25,915.765
expt-app-59,1,235.394,199.145,235.394,199.145
expt-app-16,7,32.279,18.972,225.95300000000003,132.804
expt-app-49,5,48.319,35.565,241.59500000000003,177.825
expt-app-3,8,23.029999999999998,11.629,184.23999999999998,93.032
expt-app-15,9,70.821,55.386,637.389,498.47400000000005
expt-app-51,3,883.621,873.092,2650.863,2619.276
expt-app-34,5,196.631,186.17,983.155,930.8499999999999
expt-app-56,10,119.897,106.126,1198.97,1061.26
expt-app-25,5,439.08799999999997,369.57,2195.4399999999996,1847.85
expt-app-2,6,1181.5059999999999,160.233,7089.035999999999,961.398
expt-app-45,7,137.671,127.809,963.6969999999999,894.663
expt-app-57,8,88.608,52.002,708.864,416.016
expt-app-8,5,133.099,105.542,665.4949999999999,527.71
