app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-11,6,1156.5140000000001,1051.369,6939.084000000001,6308.214
expt-app-28,5,715.054,661.838,3575.27,3309.1899999999996
expt-app-13,9,435.122,324.645,3916.098,2921.805
expt-app-73,4,1186.95,1120.419,4747.8,4481.676
expt-app-6,10,133.374,29.458,1333.74,294.58
expt-app-53,6,746.5509999999999,606.195,4479.306,3637.17
expt-app-87,10,181.46699999999998,42.605,1814.6699999999998,426.04999999999995
expt-app-44,3,1505.9119999999998,1384.3,4517.735999999999,4152.9
expt-app-60,9,489.328,384.192,4403.951999999999,3457.728
expt-app-90,4,1033.863,954.845,4135.452,3819.38
expt-app-35,3,760.815,756.251,2282.445,2268.7529999999997
expt-app-36,4,824.791,740.465,3299.164,2961.86
expt-app-19,3,2004.246,1925.438,6012.738,5776.314
expt-app-8,5,798.49,649.755,3992.45,3248.775
expt-app-10,7,227.443,161.137,1592.101,1127.959
expt-app-16,4,750.3870000000001,602.14,3001.5480000000002,2408.56
expt-app-26,7,540.216,465.705,3781.512,3259.935
expt-app-41,10,175.85600000000002,97.103,1758.5600000000002,971.03
expt-app-27,3,385.22299999999996,264.313,1155.6689999999999,792.939
expt-app-46,6,246.587,174.727,1479.522,1048.362
expt-app-57,5,1351.667,1272.771,6758.334999999999,6363.855
expt-app-78,10,16.188000000000002,11.978,161.88000000000002,119.78
expt-app-49,2,1121.836,986.687,2243.672,1973.374
expt-app-0,2,926.721,873.374,1853.442,1746.748
expt-app-81,8,75.92699999999999,9.371,607.4159999999999,74.968
expt-app-97,3,1688.149,1683.16,5064.447,5049.4800000000005
expt-app-4,3,721.278,654.713,2163.834,1964.139
expt-app-72,1,1066.646,917.819,1066.646,917.819
expt-app-50,3,1883.889,1830.711,5651.6669999999995,5492.133
expt-app-83,1,1218.728,1152.064,1218.728,1152.064
expt-app-47,9,219.619,132.885,1976.571,1195.965
expt-app-33,7,933.9929999999999,812.894,6537.950999999999,5690.258
expt-app-42,7,541.24,405.621,3788.6800000000003,2839.3469999999998
expt-app-58,9,277.086,204.2,2493.7740000000003,1837.8
expt-app-65,8,502.138,347.266,4017.104,2778.128
expt-app-92,8,180.314,175.708,1442.512,1405.664
expt-app-30,8,497.068,392.527,3976.544,3140.216
expt-app-77,2,1345.8300000000002,1266.499,2691.6600000000003,2532.998
expt-app-1,10,105.512,26.849,1055.12,268.49
expt-app-17,6,610.816,606.361,3664.896,3638.166
expt-app-74,5,700.759,696.062,3503.795,3480.31
expt-app-68,5,617.5070000000001,460.327,3087.5350000000003,2301.635
expt-app-61,5,635.7080000000001,486.845,3178.5400000000004,2434.2250000000004
expt-app-70,3,734.831,682.409,2204.493,2047.2269999999999
expt-app-15,2,1372.565,1267.932,2745.13,2535.864
expt-app-85,2,2513.627,2357.972,5027.254,4715.944
expt-app-76,6,342.549,263.842,2055.294,1583.052
expt-app-82,3,613.7,478.252,1841.1000000000001,1434.756
expt-app-5,8,119.824,52.713,958.592,421.704
expt-app-56,6,120.722,34.746,724.332,208.476
expt-app-31,7,252.34699999999998,186.048,1766.4289999999999,1302.336
expt-app-94,7,478.91499999999996,399.871,3352.4049999999997,2799.0969999999998
expt-app-63,9,189.683,123.105,1707.147,1107.945
expt-app-3,6,711.193,606.75,4267.157999999999,3640.5
expt-app-80,4,700.406,595.408,2801.624,2381.632
expt-app-14,4,549.9960000000001,414.406,2199.9840000000004,1657.624
expt-app-88,4,1040.767,905.874,4163.068,3623.496
expt-app-7,9,129.946,77.506,1169.514,697.554
expt-app-52,4,1110.0339999999999,1031.074,4440.1359999999995,4124.296
expt-app-12,5,350.508,219.718,1752.54,1098.59
expt-app-37,9,230.742,155.85,2076.678,1402.6499999999999
expt-app-40,10,90.042,16.483,900.4200000000001,164.83
expt-app-2,1,1379.574,1374.403,1379.574,1374.403
expt-app-29,5,880.049,827.734,4400.245,4138.67
expt-app-54,7,504.18300000000005,425.095,3529.2810000000004,2975.665
expt-app-64,6,949.2969999999999,814.114,5695.781999999999,4884.684
expt-app-62,3,1432.855,1344.628,4298.5650000000005,4033.884
expt-app-67,4,623.834,556.858,2495.336,2227.432
expt-app-89,3,1186.957,1133.807,3560.871,3401.4210000000003
expt-app-93,3,1041.817,1037.517,3125.451,3112.5510000000004
expt-app-25,3,1794.903,1715.51,5384.709,5146.53
expt-app-55,9,205.541,128.839,1849.869,1159.551
expt-app-91,4,493.428,357.733,1973.712,1430.932
expt-app-98,9,237.534,171.078,2137.806,1539.702
expt-app-59,8,474.019,325.588,3792.152,2604.704
expt-app-34,10,276.481,170.397,2764.81,1703.9699999999998
expt-app-79,5,136.27,22.639,681.35,113.195
expt-app-18,9,459.97700000000003,324.661,4139.793000000001,2921.949
expt-app-9,10,204.624,126.01,2046.24,1260.1000000000001
expt-app-38,2,1037.629,962.446,2075.258,1924.892
expt-app-75,1,2481.456,2414.801,2481.456,2414.801
expt-app-95,3,1452.798,1317.82,4358.394,3953.46
expt-app-21,10,177.185,56.893,1771.85,568.9300000000001
expt-app-20,4,576.809,508.783,2307.236,2035.132
