app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-1,10,20.462,6.385,204.62,63.849999999999994
expt-app-32,10,95.374,86.447,953.74,864.47
expt-app-14,1,122.392,112.545,122.392,112.545
expt-app-40,10,38.244,27.232,382.44,272.32
expt-app-10,10,30.425,18.999,304.25,189.98999999999998
expt-app-35,10,46.193999999999996,34.354,461.93999999999994,343.53999999999996
expt-app-53,8,93.72800000000001,83.368,749.8240000000001,666.944
expt-app-37,9,19.955000000000002,11.662,179.59500000000003,104.95800000000001
expt-app-19,9,32.942,22.239,296.478,200.151
expt-app-9,10,31.576,19.5,315.76,195.0
expt-app-38,8,36.540000000000006,27.327,292.32000000000005,218.616
expt-app-28,8,60.851,50.894,486.808,407.152
expt-app-43,4,18.718,7.377,74.872,29.508
expt-app-25,7,105.461,93.393,738.227,653.751
expt-app-11,7,62.835,51.066,439.845,357.462
expt-app-23,3,121.58099999999999,112.223,364.74299999999994,336.669
expt-app-4,7,31.363000000000003,18.281,219.54100000000003,127.96699999999998
