app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-12,10,44.012,31.846,440.12,318.46
expt-app-29,4,51.239,41.531,204.956,166.124
expt-app-9,9,21.95,11.995,197.54999999999998,107.955
expt-app-54,10,81.883,63.472,818.8299999999999,634.72
expt-app-7,10,126.14200000000001,116.607,1261.42,1166.07
expt-app-49,7,12.054,3.563,84.378,24.941000000000003
expt-app-45,2,36.609,25.609,73.218,51.218
expt-app-32,10,17.869,7.481,178.69,74.81
expt-app-51,6,65.399,53.356,392.394,320.136
expt-app-14,1,133.17100000000002,120.387,133.17100000000002,120.387
expt-app-30,9,120.88300000000001,111.443,1087.9470000000001,1002.987
expt-app-15,8,87.669,77.043,701.352,616.344
expt-app-18,10,112.467,100.521,1124.67,1005.21
expt-app-59,3,36.66,27.764,109.97999999999999,83.292
expt-app-20,9,42.615,33.476,383.535,301.284
expt-app-1,10,24.339,14.678,243.39,146.78
expt-app-44,8,95.832,84.391,766.656,675.128
expt-app-28,8,115.59800000000001,69.748,924.7840000000001,557.984
expt-app-52,9,117.99,88.887,1061.9099999999999,799.983
expt-app-39,7,127.85499999999999,114.396,894.9849999999999,800.772
expt-app-57,10,19.798,11.379,197.98,113.78999999999999
expt-app-40,9,28.047,14.143,252.423,127.287
expt-app-6,9,48.744,38.347,438.696,345.123
