app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-79,9,190.60399999999998,146.495,1715.436,1318.455
expt-app-40,8,390.21,304.065,3121.68,2432.52
expt-app-9,9,124.148,94.291,1117.3319999999999,848.6189999999999
expt-app-62,10,36.622,8.082,366.22,80.82000000000001
expt-app-63,10,196.495,126.325,1964.95,1263.25
expt-app-66,6,816.583,752.125,4899.498,4512.75
expt-app-30,8,186.21099999999998,141.543,1489.6879999999999,1132.344
expt-app-91,10,35.681,5.839,356.80999999999995,58.39
expt-app-84,8,472.59299999999996,445.946,3780.7439999999997,3567.568
expt-app-74,10,40.901,19.259,409.01000000000005,192.59
expt-app-71,10,43.897,2.642,438.96999999999997,26.419999999999998
expt-app-42,10,456.818,413.97,4568.18,4139.700000000001
expt-app-23,9,69.42099999999999,11.798,624.789,106.182
expt-app-25,10,132.207,29.438,1322.07,294.38
expt-app-96,9,275.019,205.914,2475.1710000000003,1853.2259999999999
expt-app-75,9,101.563,61.039,914.067,549.351
expt-app-61,10,69.679,38.704,696.79,387.04
expt-app-87,9,330.836,255.709,2977.5240000000003,2301.381
expt-app-15,10,268.427,196.132,2684.2700000000004,1961.3200000000002
expt-app-49,9,191.586,125.624,1724.2740000000001,1130.616
expt-app-16,9,292.094,204.181,2628.846,1837.6290000000001
