app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-96,9,283.262,213.38,2549.358,1920.42
expt-app-75,9,99.826,60.985,898.434,548.865
expt-app-71,10,46.14,3.041,461.4,30.41
expt-app-30,8,204.77,164.298,1638.16,1314.384
expt-app-16,9,292.354,206.986,2631.1859999999997,1862.8739999999998
expt-app-40,8,390.304,304.227,3122.432,2433.816
expt-app-87,9,324.926,258.202,2924.334,2323.818
expt-app-15,10,1292.602,173.378,12926.02,1733.7799999999997
expt-app-9,9,118.695,86.86,1068.2549999999999,781.74
expt-app-66,6,838.307,780.649,5029.842000000001,4683.894
expt-app-79,9,189.84300000000002,143.664,1708.5870000000002,1292.9759999999999
expt-app-84,8,431.768,403.553,3454.144,3228.424
expt-app-49,9,201.682,126.537,1815.138,1138.833
expt-app-61,10,54.661,39.976,546.61,399.76
expt-app-23,9,65.243,9.311,587.1869999999999,83.799
expt-app-74,10,36.184,19.898,361.84,198.98
expt-app-62,10,40.001000000000005,8.266,400.01000000000005,82.66
expt-app-25,10,137.59799999999998,29.292,1375.9799999999998,292.92
expt-app-63,10,188.673,120.189,1886.73,1201.8899999999999
expt-app-91,10,34.601,6.363,346.01,63.63
expt-app-42,10,416.40700000000004,377.008,4164.070000000001,3770.08
