app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,9,142.67,130.347,1284.03,1173.123
expt-app-15,8,80.66199999999999,69.488,645.2959999999999,555.904
expt-app-52,9,141.239,128.992,1271.151,1160.9279999999999
expt-app-10,10,48.584,37.083,485.84000000000003,370.83
expt-app-45,2,54.802,45.137,109.604,90.274
expt-app-58,4,281.081,271.287,1124.324,1085.148
expt-app-11,6,131.198,121.314,787.1880000000001,727.884
expt-app-18,10,77.792,66.892,777.9200000000001,668.92
expt-app-29,4,49.084999999999994,39.758,196.33999999999997,159.032
expt-app-7,10,92.614,78.578,926.1400000000001,785.78
expt-app-27,10,43.888000000000005,34.911,438.88000000000005,349.11
expt-app-53,4,255.737,245.863,1022.948,983.452
expt-app-26,7,86.08300000000001,75.342,602.5810000000001,527.394
expt-app-48,6,120.19000000000001,110.134,721.1400000000001,660.804
expt-app-57,10,22.398999999999997,11.736,223.98999999999998,117.36000000000001
expt-app-33,4,201.429,191.633,805.716,766.532
expt-app-16,4,470.034,461.263,1880.136,1845.052
expt-app-17,6,77.742,69.014,466.452,414.08399999999995
expt-app-30,9,76.038,64.481,684.342,580.329
expt-app-12,10,22.834,11.309,228.34,113.08999999999999
expt-app-24,3,385.142,375.29,1155.426,1125.8700000000001
expt-app-19,8,33.525,22.985,268.2,183.88
expt-app-23,9,96.313,86.501,866.817,778.509
expt-app-14,1,141.465,132.173,141.465,132.173
expt-app-2,1,269.52799999999996,260.455,269.52799999999996,260.455
expt-app-31,1,522.828,512.621,522.828,512.621
expt-app-20,9,27.996,19.307,251.964,173.76299999999998
expt-app-51,6,46.087999999999994,36.487,276.52799999999996,218.92200000000003
expt-app-54,10,36.33,27.792,363.29999999999995,277.92
expt-app-46,2,354.303,344.45,708.606,688.9
expt-app-50,5,207.85500000000002,197.505,1039.275,987.525
expt-app-6,9,37.064,26.11,333.576,234.99
expt-app-36,5,248.636,236.879,1243.18,1184.395
expt-app-47,2,190.26999999999998,179.551,380.53999999999996,359.102
expt-app-35,4,297.993,287.866,1191.972,1151.464
expt-app-4,8,225.167,211.567,1801.336,1692.536
expt-app-59,3,38.317,29.061,114.951,87.18299999999999
expt-app-32,10,18.088,6.748,180.88,67.48
expt-app-21,4,268.495,259.132,1073.98,1036.528
expt-app-8,3,400.674,388.451,1202.022,1165.353
expt-app-0,10,55.019,43.961,550.1899999999999,439.61
expt-app-13,1,399.106,388.345,399.106,388.345
expt-app-9,9,20.688000000000002,9.908,186.192,89.172
expt-app-1,10,25.424,15.2,254.24,152.0
expt-app-41,7,200.61200000000002,188.287,1404.284,1318.009
