app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-85,2,1401.136,1396.131,2802.272,2792.262
expt-app-90,4,657.775,578.753,2631.1,2315.012
expt-app-14,4,309.01800000000003,242.963,1236.0720000000001,971.852
expt-app-87,10,298.20799999999997,145.56,2982.08,1455.6
expt-app-38,2,737.2570000000001,632.16,1474.5140000000001,1264.32
expt-app-41,10,171.00099999999998,26.634,1710.0099999999998,266.34000000000003
expt-app-93,3,596.273,592.137,1788.819,1776.4109999999998
expt-app-20,4,524.995,457.873,2099.98,1831.492
expt-app-3,6,233.797,219.689,1402.782,1318.134
expt-app-77,2,884.1999999999999,748.831,1768.3999999999999,1497.662
expt-app-92,8,174.364,57.286,1394.912,458.288
expt-app-68,5,521.635,416.903,2608.175,2084.5150000000003
expt-app-15,2,1016.7250000000001,881.325,2033.4500000000003,1762.65
expt-app-6,10,117.895,10.615,1178.95,106.15
expt-app-47,9,129.81400000000002,41.233,1168.3260000000002,371.097
expt-app-82,3,737.0210000000001,588.265,2211.063,1764.795
expt-app-0,2,998.632,849.448,1997.264,1698.896
expt-app-17,6,399.83299999999997,320.969,2398.9979999999996,1925.8139999999999
expt-app-55,9,242.21699999999998,137.611,2179.953,1238.4989999999998
expt-app-24,3,381.279,314.563,1143.837,943.689
expt-app-9,10,218.225,83.375,2182.25,833.75
expt-app-37,9,178.22,111.64,1603.98,1004.76
expt-app-81,8,137.62,8.639,1100.96,69.112
expt-app-30,8,209.70600000000002,143.067,1677.6480000000001,1144.536
expt-app-25,3,1206.1589999999999,1061.273,3618.477,3183.8189999999995
expt-app-89,3,728.3969999999999,607.596,2185.191,1822.788
expt-app-12,5,215.10299999999998,94.601,1075.5149999999999,473.005
expt-app-40,10,120.76,7.527,1207.6000000000001,75.27
expt-app-11,6,720.121,584.431,4320.726,3506.5860000000002
expt-app-74,5,454.94800000000004,349.441,2274.7400000000002,1747.205
expt-app-1,10,93.044,13.68,930.4399999999999,136.8
expt-app-21,10,96.512,29.643,965.12,296.43
expt-app-28,5,334.82,322.085,1674.1,1610.425
expt-app-33,7,403.231,282.696,2822.617,1978.8720000000003
expt-app-13,9,154.65599999999998,88.61,1391.9039999999998,797.49
expt-app-95,3,967.73,832.041,2903.19,2496.123
expt-app-16,4,391.168,270.614,1564.672,1082.456
expt-app-8,5,300.148,294.517,1500.7400000000002,1472.585
expt-app-98,9,219.59799999999998,99.117,1976.3819999999998,892.053
expt-app-72,1,448.24199999999996,433.577,448.24199999999996,433.577
expt-app-60,9,419.277,297.695,3773.493,2679.255
expt-app-56,6,172.38,21.746,1034.28,130.476
expt-app-65,8,148.951,96.959,1191.608,775.672
expt-app-7,9,177.934,72.877,1601.406,655.8929999999999
expt-app-18,9,236.25,225.304,2126.25,2027.736
expt-app-31,7,136.034,69.482,952.2379999999999,486.374
expt-app-67,4,440.784,374.05,1763.136,1496.2
expt-app-88,4,662.939,610.841,2651.756,2443.364
expt-app-97,3,1459.331,1309.839,4377.9929999999995,3929.517
expt-app-52,4,736.389,684.899,2945.556,2739.596
expt-app-58,9,380.544,260.248,3424.8959999999997,2342.232
expt-app-78,10,89.227,10.201,892.27,102.01
expt-app-54,7,251.94100000000003,198.936,1763.5870000000002,1392.5520000000001
expt-app-5,8,36.896,32.429,295.168,259.432
expt-app-27,3,484.693,349.633,1454.079,1048.899
expt-app-53,6,312.40000000000003,307.908,1874.4,1847.448
expt-app-61,5,306.603,179.787,1533.015,898.9350000000001
expt-app-44,3,1113.173,977.471,3339.5190000000002,2932.413
expt-app-76,6,395.189,327.977,2371.134,1967.8619999999999
expt-app-63,9,167.874,82.369,1510.866,741.321
expt-app-64,6,417.314,338.67,2503.884,2032.02
expt-app-34,10,114.178,47.465,1141.78,474.65000000000003
expt-app-42,7,244.93,166.121,1714.51,1162.847
expt-app-86,3,211.342,195.606,634.0260000000001,586.818
expt-app-10,7,215.841,80.927,1510.8870000000002,566.489
expt-app-94,7,285.029,225.992,1995.203,1581.944
expt-app-80,4,270.601,191.935,1082.404,767.74
expt-app-19,3,1212.703,1107.333,3638.109,3321.9990000000003
expt-app-62,3,817.429,696.721,2452.287,2090.163
expt-app-73,4,910.691,775.24,3642.764,3100.96
expt-app-59,8,289.819,154.566,2318.552,1236.528
expt-app-91,4,333.129,266.469,1332.516,1065.876
expt-app-26,7,249.197,174.779,1744.379,1223.453
expt-app-29,5,636.5260000000001,584.977,3182.63,2924.8849999999998
expt-app-50,3,1577.848,1428.809,4733.544,4286.427
expt-app-79,5,183.006,53.979,915.03,269.895
expt-app-36,4,492.94500000000005,483.203,1971.7800000000002,1932.812
expt-app-46,6,425.152,358.95,2550.912,2153.7
