app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-53,6,300.654,295.405,1803.924,1772.4299999999998
expt-app-87,10,183.307,48.301,1833.07,483.01
expt-app-59,8,284.797,149.854,2278.376,1198.832
expt-app-94,7,257.277,205.169,1800.9389999999999,1436.183
expt-app-0,2,1131.168,981.587,2262.336,1963.174
expt-app-97,3,1369.903,1220.527,4109.709,3661.581
expt-app-14,4,453.91700000000003,386.672,1815.6680000000001,1546.688
expt-app-27,3,490.361,349.188,1471.083,1047.5639999999999
expt-app-80,4,273.899,195.071,1095.596,780.284
expt-app-7,9,161.494,57.113,1453.446,514.017
expt-app-67,4,482.603,415.747,1930.412,1662.988
expt-app-3,6,209.937,198.398,1259.622,1190.388
expt-app-44,3,1049.091,913.263,3147.2729999999997,2739.789
expt-app-37,9,180.876,115.127,1627.884,1036.143
expt-app-91,4,428.318,361.477,1713.272,1445.908
expt-app-76,6,304.654,229.971,1827.924,1379.826
expt-app-90,4,578.484,499.878,2313.936,1999.512
expt-app-82,3,572.763,418.125,1718.2890000000002,1254.375
expt-app-11,6,692.826,557.465,4156.956,3344.79
expt-app-50,3,1480.667,1321.921,4442.001,3965.763
expt-app-5,8,36.653,31.924,293.224,255.392
expt-app-17,6,390.608,311.476,2343.648,1868.856
expt-app-20,4,452.37300000000005,386.235,1809.4920000000002,1544.94
expt-app-89,3,723.949,603.66,2171.8469999999998,1810.98
expt-app-12,5,223.062,96.481,1115.31,482.405
expt-app-92,8,162.352,51.544,1298.816,412.352
expt-app-36,4,427.86999999999995,422.645,1711.4799999999998,1690.58
expt-app-47,9,117.055,38.123,1053.4950000000001,343.10699999999997
expt-app-29,5,574.8140000000001,514.606,2874.0700000000006,2573.0299999999997
expt-app-10,7,216.013,80.822,1512.0910000000001,565.754
expt-app-68,5,408.45300000000003,303.919,2042.265,1519.5949999999998
expt-app-6,10,122.431,10.617,1224.31,106.17000000000002
expt-app-85,2,1423.626,1419.015,2847.252,2838.03
expt-app-55,9,244.19299999999998,139.006,2197.737,1251.054
expt-app-60,9,394.762,274.217,3552.858,2467.953
expt-app-93,3,523.453,519.214,1570.359,1557.6420000000003
expt-app-18,9,235.21,223.566,2116.89,2012.094
expt-app-1,10,91.796,13.757,917.96,137.57
expt-app-24,3,358.867,292.322,1076.601,876.966
expt-app-52,4,744.499,692.413,2977.996,2769.652
expt-app-88,4,471.16799999999995,418.851,1884.6719999999998,1675.404
expt-app-41,10,170.618,26.1,1706.1799999999998,261.0
expt-app-34,10,114.203,47.691,1142.03,476.91
expt-app-19,3,1027.967,922.754,3083.9010000000003,2768.262
expt-app-62,3,873.567,751.836,2620.701,2255.508
expt-app-77,2,950.5310000000001,815.442,1901.0620000000001,1630.884
expt-app-86,3,193.17100000000002,187.899,579.513,563.697
expt-app-46,6,221.369,154.657,1328.214,927.942
expt-app-42,7,244.724,165.787,1713.068,1160.509
expt-app-74,5,518.749,414.318,2593.745,2071.59
expt-app-72,1,383.321,377.153,383.321,377.153
expt-app-13,9,141.61499999999998,66.163,1274.5349999999999,595.467
expt-app-15,2,1012.0409999999999,876.665,2024.0819999999999,1753.33
expt-app-38,2,753.706,649.043,1507.412,1298.086
expt-app-81,8,129.409,8.405,1035.272,67.24
expt-app-98,9,225.75300000000001,99.832,2031.777,898.4879999999999
expt-app-33,7,358.956,253.589,2512.692,1775.123
expt-app-78,10,88.87599999999999,10.366,888.7599999999999,103.66
expt-app-8,5,303.396,298.937,1516.98,1494.685
expt-app-31,7,138.36499999999998,62.309,968.5549999999998,436.163
expt-app-63,9,140.638,56.503,1265.742,508.527
expt-app-56,6,170.91899999999998,22.24,1025.514,133.44
expt-app-64,6,463.68199999999996,385.087,2782.0919999999996,2310.522
expt-app-25,3,1238.408,1102.836,3715.2239999999997,3308.508
expt-app-26,7,227.184,160.827,1590.288,1125.789
expt-app-21,10,95.988,29.771,959.88,297.71000000000004
expt-app-30,8,219.49099999999999,145.236,1755.9279999999999,1161.888
expt-app-73,4,957.488,821.716,3829.952,3286.864
expt-app-61,5,314.87,194.213,1574.35,971.0649999999999
expt-app-65,8,148.703,95.986,1189.624,767.888
expt-app-9,10,224.052,84.396,2240.52,843.96
expt-app-58,9,387.077,259.001,3483.693,2331.009
expt-app-28,5,305.948,301.381,1529.7399999999998,1506.9049999999997
expt-app-54,7,239.706,187.523,1677.942,1312.661
expt-app-40,10,118.927,14.34,1189.27,143.4
expt-app-79,5,157.999,29.413,789.995,147.065
expt-app-16,4,383.582,263.059,1534.328,1052.236
expt-app-95,3,834.637,699.567,2503.911,2098.701
