app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-6,10,122.949,10.204,1229.49,102.04
expt-app-28,5,364.144,315.713,1820.72,1578.565
expt-app-55,9,253.795,141.942,2284.1549999999997,1277.478
expt-app-62,3,868.73,747.568,2606.19,2242.7039999999997
expt-app-76,6,455.854,389.448,2735.124,2336.688
expt-app-33,7,386.942,282.195,2708.594,1975.365
expt-app-44,3,1056.257,920.902,3168.771,2762.706
expt-app-40,10,111.581,6.865,1115.81,68.65
expt-app-81,8,132.434,12.268,1059.472,98.144
expt-app-41,10,161.859,27.346,1618.5900000000001,273.46
expt-app-37,9,179.451,113.028,1615.059,1017.2520000000001
expt-app-11,6,726.587,590.761,4359.522,3544.566
expt-app-65,8,148.58599999999998,95.774,1188.6879999999999,766.192
expt-app-74,5,501.027,396.525,2505.1349999999998,1982.625
expt-app-60,9,355.425,234.894,3198.8250000000003,2114.0460000000003
expt-app-79,5,147.44,27.425,737.2,137.125
expt-app-58,9,291.392,163.112,2622.528,1468.008
expt-app-90,4,570.331,491.68,2281.324,1966.72
expt-app-13,9,139.27800000000002,66.395,1253.5020000000002,597.555
expt-app-46,6,327.132,251.759,1962.792,1510.5539999999999
expt-app-20,4,417.109,350.413,1668.436,1401.652
expt-app-72,1,474.994,469.876,474.994,469.876
expt-app-9,10,216.598,81.805,2165.98,818.0500000000001
expt-app-25,3,1185.338,1049.655,3556.014,3148.965
expt-app-12,5,226.58800000000002,104.345,1132.94,521.725
expt-app-92,8,155.21099999999998,50.607,1241.6879999999999,404.856
expt-app-42,7,243.893,165.843,1707.251,1160.9009999999998
expt-app-54,7,280.795,217.339,1965.565,1521.373
expt-app-19,3,1043.5890000000002,936.699,3130.7670000000007,2810.0969999999998
expt-app-98,9,322.03,201.302,2898.2699999999995,1811.7179999999998
expt-app-47,9,122.52300000000001,37.352,1102.707,336.16799999999995
expt-app-97,3,1347.556,1198.125,4042.668,3594.375
expt-app-30,8,190.538,124.235,1524.304,993.88
expt-app-80,4,278.089,192.288,1112.356,769.152
expt-app-36,4,347.431,342.708,1389.724,1370.832
expt-app-27,3,484.134,349.104,1452.402,1047.312
expt-app-14,4,352.585,276.732,1410.34,1106.928
expt-app-18,9,241.32899999999998,237.141,2171.961,2134.269
expt-app-67,4,329.916,263.084,1319.664,1052.336
expt-app-1,10,101.04,14.185,1010.4000000000001,141.85
expt-app-61,5,309.495,180.075,1547.475,900.375
expt-app-86,3,190.53,186.352,571.59,559.056
expt-app-91,4,266.247,199.398,1064.988,797.592
expt-app-7,9,168.078,63.443,1512.702,570.987
expt-app-53,6,355.601,350.904,2133.6059999999998,2105.424
expt-app-73,4,975.696,832.019,3902.784,3328.076
expt-app-93,3,652.822,647.583,1958.466,1942.7489999999998
expt-app-26,7,264.907,198.033,1854.349,1386.231
expt-app-88,4,536.236,484.667,2144.944,1938.668
expt-app-56,6,171.902,22.624,1031.4119999999998,135.744
expt-app-89,3,786.751,658.185,2360.2529999999997,1974.5549999999998
expt-app-78,10,88.28800000000001,9.928,882.8800000000001,99.28
expt-app-38,2,766.048,661.071,1532.096,1322.142
expt-app-0,2,1058.972,909.462,2117.944,1818.924
expt-app-63,9,133.466,54.873,1201.194,493.85699999999997
expt-app-59,8,282.214,146.784,2257.712,1174.272
expt-app-17,6,408.399,329.68,2450.3940000000002,1978.08
expt-app-8,5,318.167,305.546,1590.8349999999998,1527.73
expt-app-50,3,1446.461,1296.916,4339.383,3890.7479999999996
expt-app-82,3,571.928,423.162,1715.784,1269.4859999999999
expt-app-21,10,95.279,28.981,952.79,289.81
expt-app-24,3,360.23199999999997,293.274,1080.696,879.822
expt-app-15,2,1012.06,877.221,2024.12,1754.442
expt-app-87,10,201.639,48.406,2016.39,484.06
expt-app-34,10,115.84400000000001,49.433,1158.44,494.33
expt-app-64,6,414.185,334.882,2485.11,2009.292
expt-app-94,7,264.912,206.769,1854.3839999999998,1447.383
expt-app-16,4,508.77799999999996,381.787,2035.1119999999999,1527.148
expt-app-29,5,664.0,605.045,3320.0,3025.225
expt-app-10,7,218.89000000000001,84.169,1532.23,589.183
expt-app-31,7,173.69799999999998,102.414,1215.886,716.898
expt-app-3,6,195.986,191.707,1175.916,1150.242
expt-app-5,8,46.286,41.666,370.288,333.328
expt-app-52,4,617.429,564.994,2469.716,2259.976
expt-app-95,3,903.131,767.678,2709.393,2303.034
expt-app-85,2,1382.715,1378.105,2765.43,2756.21
expt-app-68,5,439.386,334.786,2196.9300000000003,1673.93
expt-app-77,2,892.83,750.541,1785.66,1501.082
