app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-56,10,493.38100000000003,338.041,4933.81,3380.41
expt-app-42,9,394.316,289.159,3548.8439999999996,2602.431
expt-app-6,8,378.303,243.067,3026.424,1944.536
expt-app-29,9,132.97500000000002,59.327,1196.775,533.943
expt-app-98,10,107.012,96.136,1070.12,961.3599999999999
expt-app-97,10,136.13500000000002,31.323,1361.3500000000001,313.23
expt-app-31,10,160.54,31.809,1605.3999999999999,318.09000000000003
expt-app-52,9,299.38,178.666,2694.42,1607.994
expt-app-82,10,91.786,18.563,917.86,185.63
expt-app-61,10,110.35300000000001,43.27,1103.5300000000002,432.70000000000005
expt-app-32,9,159.229,32.579,1433.0610000000001,293.211
expt-app-18,9,38.039,27.697,342.351,249.273
expt-app-40,9,363.51800000000003,277.634,3271.6620000000003,2498.706
expt-app-58,10,96.22,19.62,962.2,196.20000000000002
expt-app-43,9,79.112,18.801,712.0079999999999,169.20899999999997
expt-app-38,8,318.173,266.3,2545.384,2130.4
expt-app-62,10,94.411,15.615,944.11,156.15
expt-app-3,9,234.493,151.142,2110.437,1360.278
expt-app-4,10,189.912,45.325,1899.1200000000001,453.25
expt-app-24,8,288.81600000000003,176.717,2310.5280000000002,1413.736
expt-app-16,10,103.69399999999999,31.563,1036.9399999999998,315.63
expt-app-75,7,133.37099999999998,128.531,933.5969999999999,899.7170000000001
expt-app-7,9,19.314,15.092,173.826,135.828
expt-app-37,10,18.275,6.21,182.75,62.1
expt-app-94,9,281.63300000000004,168.244,2534.697,1514.196
expt-app-33,7,537.869,476.613,3765.083,3336.291
expt-app-41,10,416.107,288.914,4161.070000000001,2889.14
expt-app-80,8,366.359,362.676,2930.872,2901.408
