app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-31,10,160.43099999999998,31.801,1604.31,318.01
expt-app-4,10,195.91,60.167,1959.1,601.6700000000001
expt-app-94,9,301.529,197.283,2713.761,1775.5469999999998
expt-app-56,10,516.8340000000001,360.97,5168.34,3609.7000000000003
expt-app-18,9,42.491,26.061,382.419,234.549
expt-app-38,8,313.543,260.774,2508.344,2086.192
expt-app-41,10,440.685,312.854,4406.85,3128.54
expt-app-58,10,87.3,20.532,873.0,205.32
expt-app-24,8,283.059,178.373,2264.472,1426.984
expt-app-42,9,464.754,352.258,4182.786,3170.3219999999997
expt-app-98,10,105.625,93.977,1056.25,939.77
expt-app-52,9,309.212,181.804,2782.908,1636.236
expt-app-43,9,72.465,20.994,652.1850000000001,188.946
expt-app-62,10,99.377,15.487,993.77,154.87
expt-app-16,10,98.369,31.54,983.69,315.4
expt-app-33,7,551.99,492.176,3863.9300000000003,3445.232
expt-app-40,9,373.98199999999997,289.243,3365.8379999999997,2603.187
expt-app-80,8,367.404,352.902,2939.232,2823.216
expt-app-97,10,140.491,28.766,1404.91,287.65999999999997
expt-app-61,10,117.388,43.339,1173.88,433.39
expt-app-3,9,314.12800000000004,235.082,2827.1520000000005,2115.738
expt-app-29,9,132.047,59.185,1188.423,532.665
expt-app-75,7,135.365,131.113,947.5550000000001,917.7909999999999
expt-app-7,9,30.118,14.072,271.062,126.648
expt-app-32,9,159.438,32.581,1434.942,293.22900000000004
expt-app-6,8,399.935,257.654,3199.48,2061.232
expt-app-82,10,90.479,18.523,904.79,185.23
expt-app-37,10,12.023000000000001,7.597,120.23000000000002,75.97
