app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-55,10,82.54599999999999,8.432,825.4599999999999,84.32000000000001
expt-app-38,9,173.40800000000002,16.342,1560.672,147.07799999999997
expt-app-71,6,291.342,203.9,1748.052,1223.4
expt-app-94,9,144.113,83.361,1297.017,750.249
expt-app-90,8,142.708,29.846,1141.664,238.768
expt-app-34,8,446.413,435.417,3571.304,3483.336
expt-app-91,10,90.512,17.232,905.12,172.32
expt-app-2,10,95.607,8.682,956.0699999999999,86.82000000000001
expt-app-72,10,24.647,12.88,246.46999999999997,128.8
expt-app-63,8,353.037,232.267,2824.296,1858.136
expt-app-17,9,130.76,17.85,1176.84,160.65
expt-app-28,6,261.179,149.325,1567.0739999999998,895.9499999999999
expt-app-50,10,123.58,12.172,1235.8,121.72
expt-app-47,7,229.273,218.76,1604.911,1531.32
expt-app-14,8,30.151,26.047,241.208,208.376
expt-app-96,7,232.701,120.15,1628.907,841.0500000000001
expt-app-35,7,192.025,64.868,1344.175,454.07599999999996
expt-app-84,10,91.517,18.279,915.17,182.79
expt-app-59,7,161.676,33.791,1131.732,236.53699999999998
expt-app-37,9,149.074,63.911,1341.6660000000002,575.1990000000001
