app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-52,2,1889.34,1822.669,3778.68,3645.338
expt-app-11,6,242.37800000000001,238.137,1454.268,1428.8220000000001
expt-app-99,4,1058.9379999999999,1053.356,4235.7519999999995,4213.424
expt-app-41,2,3344.705,3223.133,6689.41,6446.266
expt-app-81,4,594.022,515.236,2376.088,2060.944
expt-app-70,6,567.155,488.883,3402.93,2933.298
expt-app-36,9,533.391,422.202,4800.518999999999,3799.818
expt-app-73,5,1717.904,1627.85,8589.52,8139.25
expt-app-39,7,895.478,829.032,6268.346,5803.224
expt-app-97,5,323.544,257.234,1617.7199999999998,1286.1699999999998
expt-app-7,5,1061.7920000000001,973.654,5308.960000000001,4868.27
expt-app-19,7,297.767,218.721,2084.369,1531.047
expt-app-94,9,147.439,80.982,1326.951,728.838
expt-app-44,6,947.264,941.938,5683.584,5651.628
expt-app-79,5,755.989,677.268,3779.945,3386.34
expt-app-84,10,167.402,23.982,1674.02,239.82
expt-app-2,10,155.82399999999998,51.054,1558.2399999999998,510.54
expt-app-38,9,112.983,46.951,1016.847,422.559
expt-app-4,6,739.919,660.254,4439.514,3961.5240000000003
expt-app-74,2,1308.316,1304.014,2616.632,2608.028
expt-app-69,5,604.519,537.268,3022.5950000000003,2686.34
expt-app-66,7,361.149,282.4,2528.043,1976.7999999999997
expt-app-35,7,144.327,65.63,1010.289,459.40999999999997
expt-app-31,2,2109.0840000000003,2042.212,4218.168000000001,4084.424
expt-app-60,8,612.737,507.54,4901.896,4060.32
expt-app-59,7,47.154,36.901,330.07800000000003,258.307
expt-app-91,10,90.569,18.059,905.69,180.59
expt-app-22,8,580.4390000000001,493.732,4643.512000000001,3949.856
expt-app-72,10,107.048,40.008,1070.48,400.08000000000004
expt-app-43,4,981.0600000000001,845.466,3924.2400000000002,3381.864
expt-app-80,2,2399.4390000000003,2331.851,4798.878000000001,4663.702
expt-app-78,8,476.24100000000004,340.585,3809.9280000000003,2724.68
expt-app-14,8,163.87699999999998,29.035,1311.0159999999998,232.28
expt-app-83,7,437.438,302.093,3062.066,2114.6510000000003
expt-app-34,8,206.618,202.279,1652.944,1618.232
expt-app-10,6,696.039,621.541,4176.234,3729.246
expt-app-93,10,290.465,212.125,2904.6499999999996,2121.25
expt-app-9,5,171.142,91.999,855.71,459.995
expt-app-98,7,396.113,310.371,2772.791,2172.5969999999998
expt-app-16,7,506.95500000000004,428.469,3548.6850000000004,2999.283
expt-app-17,9,137.666,33.23,1238.994,299.07
expt-app-26,5,781.4250000000001,645.857,3907.1250000000005,3229.285
expt-app-6,5,524.203,444.969,2621.015,2224.845
expt-app-76,6,565.9159999999999,431.315,3395.4959999999996,2587.89
expt-app-47,7,298.348,132.81,2088.436,929.6700000000001
expt-app-55,10,129.92600000000002,8.607,1299.2600000000002,86.07
expt-app-54,9,266.646,215.443,2399.8140000000003,1938.987
expt-app-77,5,2131.9300000000003,2056.045,10659.650000000001,10280.225
expt-app-21,8,171.40800000000002,119.246,1371.2640000000001,953.968
expt-app-28,6,163.523,158.473,981.1379999999999,950.8380000000001
expt-app-48,7,583.4240000000001,462.111,4083.9680000000008,3234.777
expt-app-90,8,173.49200000000002,30.666,1387.9360000000001,245.328
expt-app-58,4,841.34,736.913,3365.36,2947.652
expt-app-68,2,2455.352,2394.01,4910.704,4788.02
expt-app-64,7,710.508,605.958,4973.5560000000005,4241.706
expt-app-57,9,237.018,170.724,2133.162,1536.5159999999998
expt-app-15,7,609.303,478.887,4265.121,3352.209
expt-app-1,7,458.675,370.81,3210.725,2595.67
expt-app-37,9,137.64000000000001,64.273,1238.7600000000002,578.457
expt-app-12,9,463.332,335.912,4169.988,3023.2079999999996
expt-app-32,7,121.78999999999999,116.706,852.53,816.942
expt-app-65,6,728.469,605.013,4370.814,3630.0780000000004
expt-app-49,5,876.769,741.941,4383.845,3709.705
expt-app-56,9,220.001,85.273,1980.009,767.457
expt-app-63,8,148.097,81.466,1184.776,651.728
expt-app-62,9,358.35499999999996,223.118,3225.1949999999997,2008.062
expt-app-71,6,124.266,120.162,745.596,720.972
expt-app-24,6,599.467,464.58,3596.8019999999997,2787.48
expt-app-0,4,2156.896,2089.85,8627.584,8359.4
expt-app-8,9,222.091,169.141,1998.819,1522.269
expt-app-50,10,116.028,11.558,1160.28,115.58
expt-app-96,7,81.521,76.599,570.647,536.193
expt-app-33,4,1196.652,1111.729,4786.608,4446.916
expt-app-95,5,581.6179999999999,502.918,2908.0899999999997,2514.59
expt-app-25,6,1008.669,921.72,6052.014,5530.32
