app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-57,10,138.035,23.129,1380.35,231.29000000000002
expt-app-79,10,73.698,12.663,736.9799999999999,126.63
expt-app-73,10,262.817,150.44,2628.17,1504.4
expt-app-34,5,924.071,768.077,4620.3550000000005,3840.385
expt-app-97,10,35.2,21.364,352.0,213.64000000000001
expt-app-14,10,110.746,24.776,1107.46,247.76
expt-app-42,7,296.534,221.078,2075.738,1547.546
expt-app-56,7,355.537,215.472,2488.759,1508.304
expt-app-41,9,268.343,155.366,2415.087,1398.294
expt-app-67,9,69.83,16.842,628.47,151.57799999999997
expt-app-95,8,320.76300000000003,216.717,2566.1040000000003,1733.736
expt-app-96,9,25.731,13.962,231.579,125.658
expt-app-93,7,126.48200000000001,51.96,885.3740000000001,363.72
expt-app-36,5,301.362,188.525,1506.8100000000002,942.625
expt-app-87,5,351.02299999999997,230.252,1755.1149999999998,1151.26
expt-app-30,6,569.718,448.812,3418.308,2692.8720000000003
expt-app-18,10,296.15000000000003,168.369,2961.5000000000005,1683.69
expt-app-32,8,128.249,39.713,1025.992,317.704
expt-app-2,10,229.567,86.01,2295.67,860.1
expt-app-0,7,158.447,91.624,1109.129,641.3679999999999
expt-app-13,9,153.293,32.419,1379.6370000000002,291.77099999999996
expt-app-70,7,70.117,58.25,490.819,407.75
expt-app-46,9,169.304,33.965,1523.736,305.68500000000006
expt-app-12,8,317.064,312.076,2536.512,2496.608
expt-app-55,10,83.107,4.251,831.0699999999999,42.510000000000005
expt-app-65,9,450.869,329.932,4057.8210000000004,2969.388
expt-app-68,9,36.668,25.48,330.012,229.32
expt-app-54,7,240.863,166.571,1686.041,1165.997
