app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-50,5,592.1149999999999,587.761,2960.5749999999994,2938.805
expt-app-17,4,675.418,596.399,2701.672,2385.596
expt-app-40,10,148.37,43.233,1483.7,432.33
expt-app-58,4,2237.1910000000003,2158.334,8948.764000000001,8633.336
expt-app-6,6,589.588,584.827,3537.528,3508.962
expt-app-65,4,1077.7369999999999,992.793,4310.947999999999,3971.172
expt-app-74,9,754.688,604.821,6792.192,5443.389
expt-app-80,9,43.98,39.037,395.82,351.33299999999997
expt-app-98,10,142.87800000000001,37.73,1428.7800000000002,377.29999999999995
expt-app-44,5,1006.0649999999999,864.415,5030.325,4322.075
expt-app-20,10,182.483,61.829,1824.83,618.29
expt-app-99,5,982.005,841.41,4910.025,4207.05
expt-app-47,6,320.187,215.378,1921.122,1292.268
expt-app-15,9,286.587,219.593,2579.283,1976.337
expt-app-8,7,435.793,424.913,3050.551,2974.391
expt-app-29,2,3027.8160000000003,2960.079,6055.6320000000005,5920.158
expt-app-22,3,1312.259,1176.45,3936.777,3529.3500000000004
expt-app-7,6,137.838,132.905,827.028,797.4300000000001
expt-app-30,3,2557.821,2496.023,7673.463,7488.069
expt-app-12,7,599.3439999999999,463.806,4195.407999999999,3246.642
expt-app-66,4,820.1709999999999,734.2,3280.6839999999997,2936.8
expt-app-92,9,66.042,61.603,594.378,554.427
expt-app-87,5,484.43399999999997,397.2,2422.17,1986.0
expt-app-84,7,156.195,6.758,1093.365,47.306
expt-app-93,2,4337.111,4269.513,8674.222,8539.026
expt-app-75,7,615.606,511.322,4309.242,3579.254
expt-app-2,8,219.85399999999998,153.065,1758.8319999999999,1224.52
expt-app-91,1,2163.301,2012.93,2163.301,2012.93
expt-app-38,10,167.074,40.197,1670.7400000000002,401.97
expt-app-51,9,71.952,19.749,647.568,177.74099999999999
expt-app-60,5,1236.45,1101.171,6182.25,5505.8550000000005
expt-app-32,4,695.154,615.704,2780.616,2462.816
expt-app-24,8,257.246,137.181,2057.968,1097.448
expt-app-79,1,599.827,546.712,599.827,546.712
expt-app-59,10,348.532,227.847,3485.3199999999997,2278.4700000000003
expt-app-90,3,1024.707,1019.696,3074.121,3059.088
expt-app-39,4,74.053,21.086,296.212,84.344
expt-app-64,8,337.05,262.802,2696.4,2102.416
expt-app-86,8,368.042,300.828,2944.336,2406.624
expt-app-19,5,669.1049999999999,564.148,3345.5249999999996,2820.7400000000002
expt-app-21,9,373.452,312.889,3361.068,2816.001
expt-app-48,5,348.204,270.473,1741.02,1352.365
expt-app-11,10,158.202,22.754,1582.02,227.54000000000002
expt-app-96,10,221.26000000000002,147.101,2212.6000000000004,1471.01
expt-app-57,5,420.618,342.342,2103.09,1711.71
expt-app-27,8,571.838,484.407,4574.704,3875.256
expt-app-43,1,4163.8279999999995,4043.272,4163.8279999999995,4043.272
expt-app-49,5,580.492,514.041,2902.46,2570.2050000000004
expt-app-83,7,283.00199999999995,269.004,1981.0139999999997,1883.0280000000002
expt-app-52,1,2629.5009999999997,2493.942,2629.5009999999997,2493.942
expt-app-23,3,1742.38,1621.834,5227.14,4865.502
expt-app-37,3,1247.29,1097.763,3741.87,3293.2889999999998
expt-app-13,5,702.3960000000001,624.217,3511.9800000000005,3121.085
expt-app-4,9,12.923,8.172,116.307,73.548
expt-app-67,6,240.56900000000002,83.488,1443.4140000000002,500.928
expt-app-3,3,1037.628,932.104,3112.884,2796.312
expt-app-97,6,513.2719999999999,434.391,3079.6319999999996,2606.346
expt-app-16,5,1128.8400000000001,1076.352,5644.200000000001,5381.76
expt-app-33,9,397.561,248.331,3578.049,2234.979
expt-app-25,7,461.49800000000005,357.034,3230.4860000000003,2499.238
expt-app-34,4,960.532,820.321,3842.128,3281.284
expt-app-69,4,881.409,766.295,3525.636,3065.18
expt-app-10,2,2762.4460000000004,2674.895,5524.892000000001,5349.79
expt-app-41,7,510.41999999999996,361.382,3572.9399999999996,2529.674
expt-app-76,10,312.168,224.239,3121.6800000000003,2242.39
expt-app-35,8,233.319,82.297,1866.552,658.376
