app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-73,8,229.025,162.314,1832.2,1298.512
expt-app-42,6,168.47500000000002,153.272,1010.8500000000001,919.632
expt-app-14,4,831.606,696.205,3326.424,2784.82
expt-app-10,10,507.70400000000006,358.338,5077.040000000001,3583.38
expt-app-67,9,82.603,15.343,743.4269999999999,138.087
expt-app-63,3,2065.766,1960.673,6197.298000000001,5882.019
expt-app-11,1,975.8019999999999,970.766,975.8019999999999,970.766
expt-app-18,7,498.398,338.983,3488.786,2372.881
expt-app-53,8,422.48400000000004,286.779,3379.8720000000003,2294.232
expt-app-72,10,19.233,14.618,192.33,146.18
expt-app-3,5,1246.084,1110.67,6230.42,5553.35
expt-app-1,10,139.35,7.285,1393.5,72.85
expt-app-5,9,469.87800000000004,349.227,4228.902,3143.0429999999997
expt-app-52,3,1980.2269999999999,1875.421,5940.681,5626.263
expt-app-47,7,916.1460000000001,767.124,6413.022000000001,5369.868
expt-app-49,10,66.86200000000001,14.366,668.6200000000001,143.66
expt-app-56,4,1259.93,1130.018,5039.72,4520.072
expt-app-59,2,3960.207,3893.436,7920.414,7786.872
expt-app-68,5,1149.06,1028.232,5745.299999999999,5141.16
expt-app-50,5,967.5780000000001,915.423,4837.89,4577.115
expt-app-7,9,633.112,475.337,5698.008,4278.032999999999
expt-app-74,3,2021.0659999999998,1884.868,6063.197999999999,5654.603999999999
expt-app-76,10,132.928,66.021,1329.28,660.21
expt-app-41,7,704.7379999999999,563.717,4933.165999999999,3946.019
expt-app-71,2,1109.683,1056.69,2219.366,2113.38
expt-app-25,8,356.605,211.976,2852.84,1695.808
expt-app-6,7,581.587,446.442,4071.109,3125.094
expt-app-2,6,542.788,386.029,3256.728,2316.174
expt-app-77,9,213.211,78.716,1918.8990000000001,708.444
expt-app-62,3,3136.034,3069.418,9408.102,9208.254
expt-app-27,10,176.587,55.899,1765.87,558.99
expt-app-38,9,114.383,9.089,1029.447,81.801
expt-app-33,9,468.439,402.296,4215.951,3620.6639999999998
expt-app-82,4,1073.174,968.755,4292.696,3875.02
expt-app-46,10,363.70599999999996,258.828,3637.0599999999995,2588.2799999999997
expt-app-44,10,187.022,46.137,1870.2199999999998,461.37
expt-app-69,1,1341.1090000000002,1256.392,1341.1090000000002,1256.392
expt-app-86,7,426.06899999999996,276.702,2982.4829999999997,1936.914
expt-app-78,4,1114.727,979.35,4458.908,3917.4
expt-app-37,1,1841.267,1762.507,1841.267,1762.507
expt-app-80,9,180.577,53.429,1625.193,480.861
expt-app-81,7,622.201,617.613,4355.407,4323.291
expt-app-54,10,232.319,227.315,2323.19,2273.15
expt-app-75,4,1115.5539999999999,994.784,4462.215999999999,3979.136
expt-app-93,6,782.806,716.504,4696.836,4299.024
expt-app-43,7,752.706,748.0,5268.942,5236.0
expt-app-23,6,765.632,636.647,4593.7919999999995,3819.8820000000005
expt-app-28,8,641.9979999999999,521.304,5135.9839999999995,4170.432
expt-app-34,6,747.731,695.434,4486.386,4172.603999999999
expt-app-8,4,2114.191,2035.635,8456.764,8142.54
expt-app-29,1,1840.965,1827.574,1840.965,1827.574
expt-app-35,8,263.887,128.886,2111.096,1031.088
expt-app-66,9,170.72899999999998,103.637,1536.561,932.733
expt-app-9,10,163.797,90.679,1637.97,906.79
expt-app-60,10,128.20000000000002,54.42,1282.0000000000002,544.2
expt-app-4,7,907.5260000000001,840.716,6352.682000000001,5885.012
expt-app-15,4,2048.9289999999996,1937.061,8195.715999999999,7748.244
expt-app-95,4,1423.988,1357.009,5695.952,5428.036
expt-app-88,5,935.048,856.402,4675.24,4282.01
expt-app-26,6,1014.991,879.599,6089.946,5277.594
expt-app-40,4,1989.459,1910.623,7957.836,7642.492
expt-app-31,10,75.839,9.024,758.39,90.24
expt-app-39,8,136.983,69.834,1095.864,558.672
expt-app-16,8,484.096,404.587,3872.768,3236.696
expt-app-61,2,3178.11,3098.605,6356.22,6197.21
expt-app-12,6,1414.615,1346.811,8487.69,8080.866
expt-app-90,6,1547.72,1480.027,9286.32,8880.162
expt-app-21,7,854.629,775.18,5982.403,5426.259999999999
expt-app-48,5,720.715,715.58,3603.5750000000003,3577.9
expt-app-30,7,912.794,828.116,6389.558,5796.812
expt-app-55,4,2070.733,1995.816,8282.932,7983.264
