app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-92,10,128.661,55.267,1286.6100000000001,552.6700000000001
expt-app-81,4,1215.577,1210.33,4862.308,4841.32
expt-app-61,1,2087.578,2021.01,2087.578,2021.01
expt-app-8,1,866.4309999999999,788.55,866.4309999999999,788.55
expt-app-20,5,1291.112,1224.318,6455.56,6121.59
expt-app-53,2,2046.469,1967.923,4092.938,3935.846
expt-app-82,7,469.109,342.428,3283.763,2396.996
expt-app-25,9,159.74099999999999,24.758,1437.6689999999999,222.822
expt-app-84,10,159.365,92.947,1593.65,929.47
expt-app-21,1,1471.376,1392.713,1471.376,1392.713
expt-app-78,4,833.9459999999999,748.909,3335.7839999999997,2995.636
expt-app-6,5,627.043,478.039,3135.215,2390.1949999999997
expt-app-75,7,331.058,264.281,2317.406,1849.967
expt-app-57,6,626.736,548.662,3760.416,3291.972
expt-app-96,5,178.407,167.359,892.0350000000001,836.7950000000001
expt-app-37,7,196.198,129.616,1373.386,907.3120000000001
expt-app-14,8,392.878,281.641,3143.024,2253.128
expt-app-40,5,1840.147,1735.681,9200.735,8678.405
expt-app-7,5,1554.001,1449.589,7770.005,7247.945
expt-app-36,10,223.942,145.867,2239.42,1458.6699999999998
expt-app-2,5,1203.514,1082.511,6017.57,5412.555
expt-app-47,5,1140.64,1062.221,5703.200000000001,5311.105
expt-app-65,2,1648.007,1643.769,3296.014,3287.538
expt-app-48,5,791.297,706.834,3956.485,3534.1699999999996
expt-app-33,10,348.677,227.99,3486.7700000000004,2279.9
expt-app-90,5,639.539,481.453,3197.6949999999997,2407.265
expt-app-9,10,170.099,35.124,1700.9899999999998,351.24
expt-app-97,4,1713.0149999999999,1578.024,6852.0599999999995,6312.096
expt-app-86,1,639.327,560.445,639.327,560.445
expt-app-64,6,354.436,302.844,2126.616,1817.0639999999999
expt-app-22,8,56.632000000000005,46.804,453.05600000000004,374.432
expt-app-3,7,499.02000000000004,378.665,3493.1400000000003,2650.655
expt-app-0,3,1392.034,1235.762,4176.102000000001,3707.286
expt-app-73,5,1459.688,1392.534,7298.4400000000005,6962.67
expt-app-74,8,143.654,121.88,1149.232,975.04
expt-app-99,5,781.8340000000001,697.95,3909.17,3489.75
expt-app-35,1,2405.396,2339.244,2405.396,2339.244
expt-app-43,9,582.434,503.354,5241.906,4530.186
expt-app-49,5,458.84000000000003,391.403,2294.2000000000003,1957.015
expt-app-30,4,1976.424,1924.563,7905.696,7698.252
expt-app-54,4,563.471,496.921,2253.884,1987.684
expt-app-13,10,281.247,176.405,2812.4700000000003,1764.05
expt-app-80,10,416.556,274.666,4165.5599999999995,2746.66
expt-app-63,6,918.082,769.525,5508.492,4617.15
expt-app-60,10,73.755,22.004,737.55,220.04000000000002
expt-app-4,6,290.577,211.799,1743.462,1270.794
expt-app-52,6,394.886,389.918,2369.3160000000003,2339.508
expt-app-67,3,914.5020000000001,910.344,2743.5060000000003,2731.032
expt-app-56,8,299.254,247.454,2394.032,1979.632
expt-app-38,4,1300.655,1174.803,5202.62,4699.212
expt-app-44,7,204.027,69.256,1428.1889999999999,484.79200000000003
expt-app-10,6,923.99,788.666,5543.9400000000005,4731.996
expt-app-28,2,1880.4460000000001,1875.184,3760.8920000000003,3750.368
expt-app-77,7,516.023,429.528,3612.161,3006.696
expt-app-85,5,738.26,603.708,3691.3,3018.54
expt-app-62,5,1112.683,1109.108,5563.415,5545.54
expt-app-26,5,1651.959,1502.427,8259.795,7512.134999999999
expt-app-42,10,230.313,225.745,2303.13,2257.45
expt-app-45,8,358.055,222.668,2864.44,1781.344
expt-app-1,1,1547.0839999999998,1472.393,1547.0839999999998,1472.393
expt-app-16,2,1271.6940000000002,1150.37,2543.3880000000004,2300.74
expt-app-39,10,108.291,30.326,1082.9099999999999,303.26
expt-app-93,9,35.176,22.45,316.584,202.04999999999998
expt-app-24,3,1572.735,1462.148,4718.205,4386.4439999999995
expt-app-66,9,563.658,442.806,5072.9220000000005,3985.254
expt-app-34,10,496.469,417.795,4964.69,4177.95
expt-app-11,8,401.5,296.479,3212.0,2371.832
expt-app-32,2,1186.74,1065.862,2373.48,2131.724
expt-app-50,8,203.55300000000003,137.642,1628.4240000000002,1101.136
expt-app-5,8,153.168,10.859,1225.344,86.872
expt-app-19,5,1082.726,1078.698,5413.630000000001,5393.490000000001
expt-app-70,10,137.323,16.735,1373.23,167.35
expt-app-51,10,157.09,70.141,1570.9,701.4100000000001
expt-app-68,10,97.036,44.294,970.36,442.93999999999994
expt-app-69,8,301.531,291.001,2412.248,2328.008
expt-app-46,6,67.479,62.986,404.874,377.916
expt-app-72,9,131.47400000000002,11.282,1183.266,101.538
expt-app-59,3,2013.607,1864.09,6040.821,5592.2699999999995
expt-app-87,8,206.181,57.302,1649.448,458.416
expt-app-12,8,173.231,163.186,1385.848,1305.488
expt-app-71,10,370.599,319.303,3705.99,3193.0299999999997
expt-app-23,4,3722.1530000000002,3586.539,14888.612000000001,14346.156
