app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-92,10,121.264,54.855,1212.6399999999999,548.55
expt-app-0,3,1366.6970000000001,1217.402,4100.091,3652.206
expt-app-61,1,2207.821,2134.061,2207.821,2134.061
expt-app-63,6,930.6370000000001,781.374,5583.822,4688.244000000001
expt-app-30,4,1847.582,1795.438,7390.328,7181.752
expt-app-7,5,1570.002,1465.047,7850.01,7325.235000000001
expt-app-60,10,73.724,21.303,737.24,213.03
expt-app-75,7,336.526,264.008,2355.6820000000002,1848.0559999999998
expt-app-21,1,1471.848,1393.095,1471.848,1393.095
expt-app-97,4,1686.268,1551.236,6745.072,6204.944
expt-app-81,4,1218.029,1213.425,4872.116,4853.7
expt-app-47,5,1013.145,934.989,5065.725,4674.945
expt-app-49,5,518.642,443.96,2593.21,2219.7999999999997
expt-app-25,9,172.80599999999998,37.524,1555.254,337.716
expt-app-70,10,136.888,16.681,1368.88,166.81
expt-app-52,6,409.182,398.58,2455.092,2391.48
expt-app-28,2,1872.718,1868.04,3745.436,3736.08
expt-app-86,1,632.7669999999999,554.027,632.7669999999999,554.027
expt-app-6,5,735.2239999999999,586.045,3676.12,2930.225
expt-app-44,7,205.191,70.395,1436.337,492.765
expt-app-23,4,3604.596,3469.363,14418.384,13877.452
expt-app-57,6,640.772,553.566,3844.6320000000005,3321.396
expt-app-33,10,322.19,201.691,3221.9,2016.91
expt-app-84,10,159.416,92.647,1594.1599999999999,926.47
expt-app-43,9,567.428,488.359,5106.852,4395.231
expt-app-26,5,1630.3799999999999,1481.229,8151.9,7406.145
expt-app-46,6,73.89,63.084,443.34000000000003,378.504
expt-app-74,8,122.437,117.121,979.496,936.968
expt-app-1,1,1783.392,1716.056,1783.392,1716.056
expt-app-51,10,156.50300000000001,70.976,1565.0300000000002,709.76
expt-app-2,5,1280.174,1159.432,6400.87,5797.16
expt-app-34,10,500.409,421.389,5004.09,4213.89
expt-app-85,5,703.554,568.093,3517.77,2840.4649999999997
expt-app-22,8,57.68,45.435,461.44,363.48
expt-app-37,7,195.523,129.402,1368.661,905.8139999999999
expt-app-42,10,230.69899999999998,226.027,2306.99,2260.27
expt-app-67,3,891.167,879.911,2673.501,2639.7329999999997
expt-app-9,10,170.464,36.102,1704.6399999999999,361.02
expt-app-39,10,129.379,50.858,1293.79,508.58
expt-app-40,5,1837.634,1732.803,9188.17,8664.015000000001
expt-app-93,9,30.405,19.736,273.645,177.624
expt-app-16,2,1296.19,1175.277,2592.38,2350.554
expt-app-5,8,146.218,10.952,1169.744,87.616
expt-app-56,8,265.426,213.502,2123.408,1708.016
expt-app-45,8,359.634,223.694,2877.072,1789.552
expt-app-8,1,897.1329999999999,818.383,897.1329999999999,818.383
expt-app-72,9,131.73499999999999,10.981,1185.6149999999998,98.829
expt-app-82,7,470.90500000000003,342.037,3296.335,2394.259
expt-app-99,5,892.4499999999999,814.216,4462.25,4071.08
expt-app-13,10,281.746,176.753,2817.46,1767.5299999999997
expt-app-68,10,95.336,43.353,953.36,433.53000000000003
expt-app-69,8,392.314,387.912,3138.512,3103.296
expt-app-48,5,758.8040000000001,671.539,3794.0200000000004,3357.6949999999997
expt-app-90,5,634.473,485.307,3172.365,2426.535
expt-app-62,5,1109.018,1104.511,5545.09,5522.555
expt-app-66,9,569.8760000000001,441.765,5128.884000000001,3975.8849999999998
expt-app-53,2,1980.2630000000001,1901.837,3960.5260000000003,3803.674
expt-app-12,8,167.845,163.599,1342.76,1308.792
expt-app-77,7,505.56199999999995,427.018,3538.9339999999997,2989.1259999999997
expt-app-78,4,750.906,671.989,3003.624,2687.956
expt-app-71,10,370.099,318.407,3700.99,3184.0699999999997
expt-app-38,4,1236.582,1115.727,4946.328,4462.908
expt-app-54,4,563.1460000000001,496.723,2252.5840000000003,1986.892
expt-app-50,8,209.804,137.237,1678.432,1097.896
expt-app-24,3,1393.445,1288.858,4180.335,3866.5739999999996
expt-app-96,5,238.353,233.658,1191.765,1168.29
expt-app-19,5,1176.5710000000001,1165.209,5882.8550000000005,5826.045
expt-app-87,8,208.72199999999998,59.336,1669.7759999999998,474.688
expt-app-11,8,452.217,339.023,3617.736,2712.184
expt-app-20,5,1233.93,1167.669,6169.650000000001,5838.345
expt-app-3,7,508.38300000000004,379.468,3558.6810000000005,2656.2760000000003
expt-app-80,10,409.51300000000003,273.936,4095.13,2739.3599999999997
expt-app-32,2,1242.796,1122.093,2485.592,2244.186
expt-app-36,10,223.18699999999998,145.277,2231.87,1452.77
expt-app-59,3,1950.41,1800.627,5851.2300000000005,5401.880999999999
expt-app-4,6,320.338,233.871,1922.0280000000002,1403.226
expt-app-14,8,411.839,306.757,3294.712,2454.056
expt-app-10,6,869.826,734.863,5218.956,4409.178
expt-app-73,5,1496.3020000000001,1429.305,7481.51,7146.525000000001
expt-app-65,2,1673.442,1660.602,3346.884,3321.204
expt-app-35,1,2307.703,2241.061,2307.703,2241.061
expt-app-64,6,367.834,315.416,2207.004,1892.496
