app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-32,2,978.85,973.973,1957.7,1947.946
expt-app-52,6,841.647,762.268,5049.8820000000005,4573.608
expt-app-20,5,1419.975,1341.69,7099.875,6708.450000000001
expt-app-10,6,867.533,854.721,5205.198,5128.326
expt-app-99,5,530.386,463.364,2651.93,2316.8199999999997
expt-app-78,4,605.358,538.407,2421.432,2153.628
expt-app-96,5,626.6089999999999,513.065,3133.0449999999996,2565.3250000000003
expt-app-40,5,2235.97,2100.473,11179.849999999999,10502.365
expt-app-63,6,1071.8909999999998,1005.777,6431.346,6034.662
expt-app-4,6,607.556,472.242,3645.3360000000002,2833.452
expt-app-30,4,2116.083,2111.555,8464.332,8446.22
expt-app-33,10,425.351,305.145,4253.51,3051.45
expt-app-5,8,93.956,6.855,751.648,54.84
expt-app-6,5,538.4630000000001,459.234,2692.3150000000005,2296.17
expt-app-62,5,1376.147,1371.23,6880.735,6856.15
expt-app-24,3,1740.311,1590.642,5220.933,4771.926
expt-app-60,10,87.517,21.209,875.17,212.09
expt-app-22,8,145.901,34.09,1167.208,272.72
expt-app-92,10,128.37,61.769,1283.7,617.6899999999999
expt-app-75,7,297.843,219.51,2084.9010000000003,1536.57
expt-app-12,8,656.608,506.733,5252.864,4053.864
expt-app-13,10,436.91400000000004,280.966,4369.14,2809.66
expt-app-69,8,722.028,591.61,5776.224,4732.88
expt-app-72,9,108.848,4.628,979.632,41.652
expt-app-11,8,586.7470000000001,451.419,4693.976000000001,3611.352
expt-app-3,7,890.8810000000001,770.384,6236.167,5392.688
expt-app-71,10,467.80100000000004,340.518,4678.01,3405.18
expt-app-46,6,412.825,277.41,2476.95,1664.46
expt-app-87,8,149.998,37.676,1199.984,301.408
expt-app-45,8,140.607,62.956,1124.856,503.648
expt-app-81,4,1158.0649999999998,1090.543,4632.259999999999,4362.172
expt-app-38,4,1487.1589999999999,1382.407,5948.6359999999995,5529.628
expt-app-57,6,1003.92,845.551,6023.5199999999995,5073.3060000000005
expt-app-56,8,468.584,389.949,3748.672,3119.592
expt-app-43,9,981.117,845.465,8830.053,7609.185
expt-app-7,5,1628.045,1548.942,8140.225,7744.71
expt-app-14,8,200.316,139.933,1602.528,1119.464
expt-app-82,7,334.534,229.903,2341.738,1609.321
expt-app-76,3,1600.824,1533.61,4802.472,4600.83
expt-app-23,4,4465.694,4315.884,17862.776,17263.536
expt-app-77,7,249.082,237.151,1743.574,1660.057
expt-app-37,7,237.50199999999998,159.099,1662.514,1113.693
expt-app-86,1,1171.0069999999998,1035.153,1171.0069999999998,1035.153
expt-app-74,8,367.48900000000003,245.831,2939.9120000000003,1966.648
expt-app-53,2,2682.197,2532.96,5364.394,5065.92
expt-app-97,4,2206.314,2131.597,8825.256,8526.388
expt-app-80,10,466.19,345.805,4661.9,3458.05
expt-app-8,1,654.861,588.245,654.861,588.245
expt-app-85,5,873.481,794.64,4367.405,3973.2
expt-app-59,3,2074.442,2059.497,6223.326,6178.491
expt-app-19,5,1069.524,934.51,5347.619999999999,4672.55
expt-app-94,10,129.40699999999998,24.957,1294.0699999999997,249.57
expt-app-50,8,290.174,211.043,2321.392,1688.344
expt-app-34,10,501.38400000000007,449.47,5013.840000000001,4494.700000000001
expt-app-48,5,901.8230000000001,896.486,4509.115000000001,4482.43
expt-app-93,9,174.13899999999998,25.182,1567.2509999999997,226.63799999999998
expt-app-61,1,2356.405,2251.663,2356.405,2251.663
expt-app-54,4,733.529,728.737,2934.116,2914.948
expt-app-51,10,49.499,37.901,494.99,379.01000000000005
expt-app-36,10,255.96999999999997,150.772,2559.7,1507.7199999999998
expt-app-79,3,2118.141,2050.854,6354.423000000001,6152.562
expt-app-42,10,261.839,182.913,2618.39,1829.13
expt-app-90,5,660.6030000000001,656.334,3303.0150000000003,3281.6699999999996
expt-app-66,9,659.786,510.352,5938.074,4593.168
expt-app-47,5,862.906,784.1,4314.53,3920.5
expt-app-84,10,122.255,117.598,1222.55,1175.98
expt-app-16,2,1266.7379999999998,1187.348,2533.4759999999997,2374.696
expt-app-73,5,1816.754,1681.695,9083.77,8408.475
expt-app-18,9,785.538,656.157,7069.842000000001,5905.4130000000005
expt-app-25,9,195.49800000000002,45.559,1759.4820000000002,410.03099999999995
expt-app-9,10,135.515,14.827,1355.1499999999999,148.27
expt-app-44,7,119.313,40.452,835.191,283.164
expt-app-2,5,866.356,780.726,4331.78,3903.63
expt-app-70,10,157.32,22.562,1573.1999999999998,225.62
expt-app-39,10,143.487,64.545,1434.87,645.45
expt-app-67,3,1239.1499999999999,1076.772,3717.45,3230.316
expt-app-1,1,1671.878,1551.0,1671.878,1551.0
expt-app-26,5,1448.3980000000001,1387.891,7241.990000000001,6939.455
expt-app-49,5,608.152,555.538,3040.76,2777.69
expt-app-28,2,2492.333,2481.31,4984.666,4962.62
expt-app-68,10,78.367,25.665,783.6700000000001,256.65
