app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-1,3,1607.777,1472.568,4823.331,4417.704
expt-app-17,4,943.767,808.328,3775.068,3233.312
expt-app-21,5,274.175,208.034,1370.875,1040.17
expt-app-55,6,288.26,222.049,1729.56,1332.294
expt-app-19,3,163.59699999999998,42.602,490.79099999999994,127.80599999999998
expt-app-57,7,376.396,301.834,2634.772,2112.838
expt-app-83,9,156.417,51.887,1407.753,466.983
expt-app-35,9,218.674,63.385,1968.066,570.465
expt-app-70,6,627.745,623.852,3766.4700000000003,3743.112
expt-app-67,9,157.387,53.276,1416.483,479.48400000000004
expt-app-44,2,1844.272,1722.6,3688.544,3445.2
expt-app-25,3,512.0780000000001,507.347,1536.2340000000004,1522.041
expt-app-80,7,318.733,252.273,2231.131,1765.911
expt-app-99,10,133.813,12.316,1338.1299999999999,123.16000000000001
expt-app-10,4,377.816,265.4,1511.264,1061.6
expt-app-59,10,115.5,11.044,1155.0,110.44
expt-app-54,3,217.084,138.364,651.252,415.092
expt-app-27,10,219.978,141.018,2199.78,1410.18
expt-app-7,7,367.30600000000004,211.203,2571.1420000000003,1478.421
expt-app-37,5,641.875,507.074,3209.375,2535.37
expt-app-91,10,118.78,14.804,1187.8,148.04
expt-app-16,3,558.3050000000001,545.915,1674.9150000000002,1637.745
expt-app-36,10,222.246,156.15,2222.46,1561.5
expt-app-29,8,307.50699999999995,151.052,2460.0559999999996,1208.416
expt-app-0,4,1434.547,1299.461,5738.188,5197.844
expt-app-66,5,863.819,728.683,4319.094999999999,3643.415
expt-app-12,5,340.735,236.155,1703.6750000000002,1180.775
expt-app-68,2,1665.473,1535.994,3330.946,3071.988
expt-app-40,8,413.53000000000003,347.041,3308.2400000000002,2776.328
expt-app-46,8,23.529999999999998,18.745,188.23999999999998,149.96
expt-app-23,4,968.7909999999999,963.702,3875.1639999999998,3854.808
expt-app-2,10,271.60200000000003,204.528,2716.0200000000004,2045.28
expt-app-65,9,226.09799999999998,167.503,2034.8819999999998,1507.5269999999998
expt-app-14,10,114.885,36.094,1148.8500000000001,360.94
expt-app-60,2,1687.252,1566.303,3374.504,3132.606
expt-app-82,6,764.632,678.913,4587.7919999999995,4073.478
expt-app-13,4,744.582,732.144,2978.328,2928.576
expt-app-42,5,755.2330000000001,634.842,3776.1650000000004,3174.21
expt-app-47,5,844.7719999999999,695.794,4223.86,3478.97
expt-app-96,3,274.687,269.946,824.061,809.8380000000001
expt-app-38,10,181.79999999999998,61.383,1817.9999999999998,613.83
expt-app-87,5,264.432,186.246,1322.16,931.23
expt-app-97,6,500.304,351.578,3001.8239999999996,2109.468
expt-app-77,3,1387.562,1252.31,4162.686,3756.93
expt-app-18,5,113.871,54.097,569.355,270.485
expt-app-28,4,689.813,637.004,2759.252,2548.016
expt-app-84,3,1406.62,1270.716,4219.86,3812.1479999999997
expt-app-45,6,475.019,470.294,2850.114,2821.764
expt-app-34,8,27.265,17.312,218.12,138.496
expt-app-39,10,178.43,43.309,1784.3000000000002,433.09
expt-app-50,3,440.88300000000004,374.264,1322.6490000000001,1122.792
expt-app-75,2,3137.684,3063.933,6275.368,6127.866
expt-app-41,8,441.137,429.158,3529.096,3433.264
expt-app-93,5,537.138,532.957,2685.69,2664.785
expt-app-78,6,400.571,265.618,2403.4260000000004,1593.708
expt-app-31,10,159.592,24.996,1595.92,249.95999999999998
expt-app-62,9,175.224,61.367,1577.0159999999998,552.303
expt-app-95,4,1046.86,1042.399,4187.44,4169.596
expt-app-33,4,1217.704,1113.078,4870.816,4452.312
expt-app-53,10,159.908,81.229,1599.08,812.29
expt-app-48,3,771.202,636.311,2313.6059999999998,1908.933
expt-app-73,7,241.905,166.704,1693.335,1166.928
expt-app-11,6,78.22900000000001,74.224,469.3740000000001,445.34400000000005
expt-app-89,6,647.6129999999999,568.904,3885.678,3413.424
expt-app-9,7,560.1850000000001,481.089,3921.2950000000005,3367.623
expt-app-5,2,587.0,432.9,1174.0,865.8
expt-app-76,8,238.487,172.507,1907.896,1380.056
expt-app-26,7,387.249,320.404,2710.7430000000004,2242.828
expt-app-8,8,151.681,67.357,1213.448,538.856
expt-app-4,10,284.125,209.318,2841.25,2093.1800000000003
expt-app-81,7,265.685,213.002,1859.795,1491.0140000000001
expt-app-85,5,134.804,82.237,674.02,411.18499999999995
expt-app-88,4,359.97499999999997,355.427,1439.8999999999999,1421.708
expt-app-92,9,82.616,15.844,743.544,142.596
