app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-83,7,641.319,579.759,4489.233,4058.313
expt-app-47,7,638.812,563.121,4471.684,3941.8469999999998
expt-app-53,6,466.843,461.939,2801.058,2771.634
expt-app-35,4,1365.439,1286.304,5461.756,5145.216
expt-app-45,8,530.202,450.821,4241.616,3606.568
expt-app-52,5,738.0980000000001,603.706,3690.4900000000002,3018.53
expt-app-28,9,560.5250000000001,455.393,5044.725,4098.536999999999
expt-app-18,5,1445.3020000000001,1330.649,7226.51,6653.244999999999
expt-app-26,4,1940.352,1861.979,7761.408,7447.916
expt-app-55,7,927.685,848.686,6493.795,5940.802000000001
expt-app-15,9,321.494,254.434,2893.4460000000004,2289.906
expt-app-78,7,766.084,713.425,5362.588,4993.974999999999
expt-app-32,5,1149.751,993.925,5748.755,4969.625
expt-app-30,10,140.953,74.096,1409.53,740.96
expt-app-72,1,1579.703,1429.779,1579.703,1429.779
expt-app-61,3,451.399,446.615,1354.1970000000001,1339.845
expt-app-49,4,1535.8410000000001,1405.624,6143.3640000000005,5622.496
expt-app-71,9,332.656,216.739,2993.904,1950.651
expt-app-11,8,368.123,263.014,2944.984,2104.112
expt-app-93,7,661.6030000000001,582.763,4631.2210000000005,4079.3410000000003
expt-app-12,1,1459.832,1392.767,1459.832,1392.767
expt-app-66,8,262.683,258.219,2101.464,2065.752
expt-app-3,3,1830.103,1694.502,5490.309,5083.505999999999
expt-app-69,10,192.251,34.818,1922.51,348.17999999999995
expt-app-96,9,299.095,287.013,2691.8550000000005,2583.1169999999997
expt-app-5,10,126.45700000000001,6.143,1264.5700000000002,61.43
expt-app-39,8,113.68599999999999,9.387,909.4879999999999,75.096
expt-app-14,10,129.081,8.074,1290.81,80.74
expt-app-9,6,764.083,688.937,4584.498,4133.622
expt-app-46,3,1636.036,1556.63,4908.108,4669.89
expt-app-87,7,871.823,804.592,6102.7609999999995,5632.144
expt-app-44,5,719.544,570.444,3597.72,2852.22
expt-app-22,4,1786.4260000000002,1707.812,7145.704000000001,6831.248
expt-app-80,9,174.104,121.225,1566.9360000000001,1091.0249999999999
expt-app-58,8,192.075,56.435,1536.6,451.48
expt-app-38,5,1446.289,1386.341,7231.445,6931.705
expt-app-75,7,780.486,701.875,5463.402,4913.125
expt-app-42,1,837.1110000000001,731.906,837.1110000000001,731.906
expt-app-63,3,1549.4170000000001,1544.053,4648.251,4632.159000000001
expt-app-64,5,514.802,436.263,2574.01,2181.315
expt-app-59,6,689.3679999999999,636.227,4136.208,3817.362
expt-app-97,10,202.006,198.055,2020.06,1980.5500000000002
expt-app-36,4,657.6220000000001,583.055,2630.4880000000003,2332.22
expt-app-95,7,419.36,351.758,2935.52,2462.306
expt-app-60,6,1225.995,1121.037,7355.969999999999,6726.222
expt-app-79,3,1286.8980000000001,1234.627,3860.6940000000004,3703.881
expt-app-94,5,766.995,699.658,3834.975,3498.29
expt-app-10,7,405.09000000000003,399.938,2835.63,2799.566
expt-app-43,9,187.98000000000002,38.895,1691.8200000000002,350.055
expt-app-33,6,781.865,703.053,4691.1900000000005,4218.318
expt-app-67,3,940.6210000000001,819.454,2821.8630000000003,2458.362
expt-app-65,5,1178.532,1174.123,5892.66,5870.615
expt-app-77,8,185.12400000000002,28.799,1480.9920000000002,230.392
expt-app-23,9,363.288,228.215,3269.592,2053.935
expt-app-7,9,165.81099999999998,30.458,1492.2989999999998,274.12199999999996
expt-app-82,7,627.355,478.728,4391.485000000001,3351.096
expt-app-74,7,559.833,501.511,3918.8309999999997,3510.577
expt-app-85,6,416.414,289.622,2498.484,1737.732
expt-app-13,10,145.755,10.211,1457.55,102.11
expt-app-57,4,467.38,462.247,1869.52,1848.988
expt-app-51,10,16.005,12.047,160.04999999999998,120.47
expt-app-98,3,1622.6670000000001,1536.937,4868.001,4610.811
expt-app-54,7,1062.915,941.621,7440.405,6591.347
expt-app-62,6,1260.8319999999999,1194.298,7564.991999999999,7165.7880000000005
expt-app-81,8,454.679,449.365,3637.432,3594.92
expt-app-37,5,1823.5410000000002,1810.92,9117.705000000002,9054.6
expt-app-19,9,326.248,222.06,2936.232,1998.54
expt-app-8,4,713.132,646.604,2852.528,2586.416
expt-app-50,5,1070.912,966.259,5354.56,4831.295
expt-app-21,4,1891.87,1824.348,7567.48,7297.392
expt-app-4,7,929.9150000000001,772.454,6509.405000000001,5407.178
expt-app-99,9,564.4749999999999,443.056,5080.275,3987.504
expt-app-27,4,1961.575,1882.33,7846.3,7529.32
expt-app-76,3,1192.047,1056.083,3576.141,3168.2490000000003
expt-app-1,3,1546.875,1533.953,4640.625,4601.859
expt-app-25,9,144.739,65.943,1302.651,593.487
expt-app-0,6,374.828,239.961,2248.968,1439.766
expt-app-29,6,1115.005,979.675,6690.030000000001,5878.049999999999
