app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-12,1,1405.0149999999999,1330.011,1405.0149999999999,1330.011
expt-app-79,3,1386.831,1333.777,4160.4929999999995,4001.331
expt-app-85,6,415.205,293.604,2491.23,1761.6239999999998
expt-app-14,10,129.35399999999998,8.11,1293.54,81.1
expt-app-58,8,191.154,55.963,1529.232,447.704
expt-app-87,7,850.894,775.157,5956.258,5426.099
expt-app-46,3,1624.774,1545.831,4874.322,4637.4929999999995
expt-app-83,7,779.19,726.936,5454.33,5088.552000000001
expt-app-63,3,1856.141,1843.979,5568.423000000001,5531.937
expt-app-76,3,1159.792,1023.938,3479.3759999999997,3071.814
expt-app-1,3,1626.904,1621.55,4880.7119999999995,4864.65
expt-app-47,7,627.549,560.681,4392.843,3924.7670000000003
expt-app-44,5,781.606,630.251,3908.0299999999997,3151.255
expt-app-15,9,323.381,256.408,2910.4289999999996,2307.672
expt-app-94,5,723.5169999999999,656.411,3617.5849999999996,3282.055
expt-app-23,9,379.104,238.465,3411.9359999999997,2146.185
expt-app-21,4,2072.53,2005.096,8290.12,8020.384
expt-app-0,6,374.29400000000004,239.213,2245.764,1435.278
expt-app-30,10,147.895,74.992,1478.95,749.9200000000001
expt-app-4,7,925.4879999999999,774.331,6478.415999999999,5420.317
expt-app-64,5,526.649,438.424,2633.245,2192.12
expt-app-97,10,204.024,199.531,2040.24,1995.31
expt-app-71,9,321.17400000000004,216.16,2890.5660000000003,1945.44
expt-app-27,4,1755.844,1677.248,7023.376,6708.992
expt-app-81,8,452.53900000000004,440.075,3620.3120000000004,3520.6
expt-app-13,10,145.66899999999998,10.107,1456.6899999999998,101.07
expt-app-75,7,787.2620000000001,708.241,5510.834000000001,4957.687
expt-app-33,6,994.396,916.0,5966.376,5496.0
expt-app-9,6,874.278,799.243,5245.668,4795.4580000000005
expt-app-43,9,192.661,43.672,1733.949,393.048
expt-app-59,6,529.762,469.277,3178.5719999999997,2815.662
expt-app-55,7,1010.008,930.173,7070.0560000000005,6511.211
expt-app-96,9,293.397,289.028,2640.573,2601.2520000000004
expt-app-11,8,380.647,275.69,3045.176,2205.52
expt-app-74,7,777.385,691.014,5441.695,4837.098
expt-app-29,6,1133.754,998.417,6802.523999999999,5990.502
expt-app-57,4,465.704,460.858,1862.816,1843.432
expt-app-69,10,186.22,34.431,1862.2,344.30999999999995
expt-app-66,8,261.839,257.825,2094.712,2062.6
expt-app-19,9,311.556,206.608,2804.004,1859.472
expt-app-35,4,1469.105,1390.251,5876.42,5561.004
expt-app-3,3,1800.507,1658.29,5401.521000000001,4974.87
expt-app-65,5,1144.738,1140.233,5723.6900000000005,5701.165
expt-app-5,10,126.53800000000001,6.186,1265.38,61.86
expt-app-8,4,721.841,654.94,2887.364,2619.76
expt-app-7,9,163.138,27.98,1468.242,251.82
expt-app-51,10,16.422,11.608,164.22,116.08000000000001
expt-app-38,5,1243.0410000000002,1190.397,6215.205000000001,5951.985
expt-app-37,5,2138.441,2133.353,10692.204999999998,10666.765
expt-app-10,7,393.27,383.299,2752.89,2683.093
expt-app-62,6,1206.883,1139.913,7241.298000000001,6839.478
expt-app-39,8,114.177,9.598,913.416,76.784
expt-app-72,1,1817.536,1660.825,1817.536,1660.825
expt-app-67,3,1109.478,988.491,3328.434,2965.473
expt-app-28,9,548.625,443.502,4937.625,3991.518
expt-app-18,5,1422.135,1308.686,7110.675,6543.429999999999
expt-app-52,5,1077.906,935.916,5389.53,4679.58
expt-app-42,1,867.383,761.811,867.383,761.811
expt-app-61,3,452.518,447.132,1357.5539999999999,1341.396
expt-app-77,8,177.74499999999998,29.185,1421.9599999999998,233.48
expt-app-22,4,2248.5789999999997,2169.308,8994.315999999999,8677.232
expt-app-98,3,1483.935,1404.868,4451.805,4214.603999999999
expt-app-80,9,174.651,122.52,1571.8590000000002,1102.68
expt-app-93,7,667.2940000000001,582.021,4671.058000000001,4074.147
expt-app-32,5,813.606,664.672,4068.0299999999997,3323.36
expt-app-60,6,1346.042,1233.863,8076.2519999999995,7403.178
expt-app-99,9,598.073,442.29,5382.657,3980.61
expt-app-26,4,1780.8919999999998,1701.78,7123.567999999999,6807.12
expt-app-50,5,1237.689,1124.639,6188.445000000001,5623.195
expt-app-49,4,1709.889,1589.497,6839.556,6357.988
expt-app-36,4,637.617,570.731,2550.468,2282.924
expt-app-54,7,1060.54,939.481,7423.78,6576.367
expt-app-78,7,765.279,708.073,5356.9529999999995,4956.5109999999995
expt-app-95,7,419.31,352.027,2935.17,2464.189
expt-app-53,6,540.3520000000001,535.973,3242.1120000000005,3215.8379999999997
expt-app-25,9,145.103,66.121,1305.9270000000001,595.0889999999999
expt-app-82,7,625.531,476.042,4378.717,3332.294
expt-app-45,8,825.187,739.593,6601.496,5916.744
