app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-52,5,885.076,818.105,4425.38,4090.525
expt-app-57,4,224.761,162.897,899.044,651.588
expt-app-27,4,1909.146,1829.775,7636.584,7319.1
expt-app-82,7,192.37099999999998,187.751,1346.5969999999998,1314.257
expt-app-84,2,2091.855,1956.758,4183.71,3913.516
expt-app-76,3,1516.136,1380.317,4548.407999999999,4140.951
expt-app-74,7,741.65,628.444,5191.55,4399.108
expt-app-19,9,163.999,52.315,1475.991,470.835
expt-app-89,2,3105.372,2969.673,6210.744,5939.346
expt-app-24,2,1074.6109999999999,938.67,2149.2219999999998,1877.34
expt-app-80,9,88.79299999999999,85.608,799.137,770.472
expt-app-79,3,1092.33,1087.931,3276.99,3263.793
expt-app-35,4,914.318,828.663,3657.272,3314.652
expt-app-98,3,1394.584,1258.528,4183.752,3775.584
expt-app-45,8,765.323,685.873,6122.584,5486.984
expt-app-90,3,1536.2279999999998,1469.778,4608.683999999999,4409.334
expt-app-71,9,266.245,187.409,2396.205,1686.681
expt-app-55,7,677.969,624.52,4745.783,4371.639999999999
expt-app-97,10,90.636,86.741,906.3599999999999,867.41
expt-app-37,5,1721.431,1642.499,8607.155,8212.495
expt-app-33,6,1143.902,1058.813,6863.412,6352.878000000001
expt-app-99,9,254.96600000000004,251.423,2294.6940000000004,2262.807
expt-app-32,5,726.723,659.98,3633.615,3299.9
expt-app-9,6,683.384,616.924,4100.304,3701.544
expt-app-47,7,423.413,356.513,2963.891,2495.591
expt-app-28,9,399.353,294.209,3594.177,2647.881
expt-app-36,4,385.01099999999997,307.488,1540.0439999999999,1229.952
expt-app-12,1,960.801,956.14,960.801,956.14
expt-app-87,7,1061.273,940.516,7428.910999999999,6583.612
expt-app-23,9,168.903,101.976,1520.127,917.784
expt-app-38,5,1096.732,1085.623,5483.66,5428.115
expt-app-67,3,1444.482,1301.729,4333.446,3905.187
expt-app-83,7,977.337,910.66,6841.359,6374.62
expt-app-14,10,16.535999999999998,12.146,165.35999999999999,121.46000000000001
expt-app-13,10,84.277,5.386,842.77,53.86
expt-app-8,4,793.7429999999999,650.524,3174.9719999999998,2602.096
expt-app-3,3,1818.127,1750.975,5454.380999999999,5252.924999999999
expt-app-0,6,172.513,119.959,1035.078,719.754
expt-app-65,5,849.423,763.354,4247.115,3816.7700000000004
expt-app-5,10,116.232,5.896,1162.32,58.96
expt-app-77,8,270.12199999999996,157.075,2160.9759999999997,1256.6
expt-app-93,7,505.95900000000006,401.666,3541.7130000000006,2811.662
expt-app-66,8,342.404,221.67,2739.232,1773.36
expt-app-78,7,1086.958,1081.06,7608.706,7567.42
expt-app-60,6,701.221,634.092,4207.326,3804.5519999999997
expt-app-75,7,359.879,274.363,2519.1530000000002,1920.541
expt-app-29,6,1694.083,1557.997,10164.498,9347.982
expt-app-58,8,117.48400000000001,50.861,939.8720000000001,406.888
expt-app-39,8,110.197,43.686,881.576,349.488
expt-app-42,1,756.1379999999999,614.515,756.1379999999999,614.515
expt-app-91,2,3388.137,3320.083,6776.274,6640.166
expt-app-7,9,245.695,125.427,2211.255,1128.843
expt-app-46,3,1948.9,1813.347,5846.700000000001,5440.041
expt-app-72,1,1525.942,1521.472,1525.942,1521.472
expt-app-73,1,3970.886,3834.946,3970.886,3834.946
expt-app-96,9,350.95,245.654,3158.5499999999997,2210.886
expt-app-64,5,371.367,259.346,1856.835,1296.73
expt-app-22,4,1622.7849999999999,1535.058,6491.139999999999,6140.232
expt-app-53,6,318.68800000000005,252.227,1912.1280000000002,1513.362
expt-app-34,2,3089.555,3022.819,6179.11,6045.638
expt-app-51,10,85.453,6.295,854.53,62.95
expt-app-81,8,241.703,174.811,1933.624,1398.488
expt-app-4,7,477.543,401.08,3342.801,2807.56
expt-app-61,3,432.218,311.758,1296.654,935.2739999999999
expt-app-25,9,187.675,38.422,1689.075,345.798
expt-app-94,5,1043.577,907.61,5217.885,4538.05
expt-app-62,6,753.876,748.555,4523.255999999999,4491.33
expt-app-1,3,1333.067,1254.684,3999.201,3764.0519999999997
expt-app-10,7,456.52799999999996,336.305,3195.696,2354.135
expt-app-95,7,282.906,203.928,1980.342,1427.496
expt-app-18,5,1288.189,1235.08,6440.945000000001,6175.4
expt-app-49,4,1180.7240000000002,1093.174,4722.896000000001,4372.696
expt-app-63,3,1524.5120000000002,1445.94,4573.536,4337.82
expt-app-44,5,295.88599999999997,243.28,1479.4299999999998,1216.4
expt-app-43,9,137.853,16.94,1240.6770000000001,152.46
expt-app-26,4,2199.325,2077.772,8797.3,8311.088
expt-app-11,8,301.508,223.132,2412.064,1785.056
expt-app-30,10,244.551,85.955,2445.5099999999998,859.55
expt-app-69,10,177.365,33.465,1773.65,334.65000000000003
expt-app-59,6,899.6229999999999,820.807,5397.737999999999,4924.842000000001
expt-app-85,6,158.025,153.314,948.1500000000001,919.884
