app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-47,7,513.353,446.171,3593.4709999999995,3123.197
expt-app-80,9,91.345,87.542,822.105,787.878
expt-app-97,10,87.764,83.628,877.64,836.28
expt-app-63,3,1517.856,1439.012,4553.568,4317.036
expt-app-83,7,841.217,774.558,5888.519,5421.906
expt-app-96,9,347.10400000000004,242.416,3123.9360000000006,2181.744
expt-app-0,6,182.79500000000002,122.34,1096.77,734.04
expt-app-90,3,1587.193,1513.347,4761.579,4540.041
expt-app-45,8,517.237,436.174,4137.896,3489.392
expt-app-36,4,372.315,305.652,1489.26,1222.608
expt-app-28,9,435.03,316.946,3915.2699999999995,2852.514
expt-app-14,10,25.625,11.393,256.25,113.93
expt-app-59,6,772.38,693.893,4634.28,4163.358
expt-app-57,4,227.115,175.378,908.46,701.512
expt-app-49,4,1223.109,1144.02,4892.436,4576.08
expt-app-43,9,137.5,17.044,1237.5,153.39600000000002
expt-app-22,4,1770.937,1691.79,7083.748,6767.16
expt-app-73,1,3994.5409999999997,3851.723,3994.5409999999997,3851.723
expt-app-30,10,234.02700000000002,84.516,2340.27,845.1600000000001
expt-app-82,7,194.119,188.369,1358.833,1318.583
expt-app-89,2,2495.595,2360.496,4991.19,4720.992
expt-app-25,9,190.475,40.674,1714.2749999999999,366.066
expt-app-66,8,329.95799999999997,203.043,2639.6639999999998,1624.344
expt-app-46,3,1589.1889999999999,1453.712,4767.566999999999,4361.136
expt-app-61,3,432.50699999999995,311.88,1297.5209999999997,935.64
expt-app-99,9,270.823,265.541,2437.4069999999997,2389.869
expt-app-24,2,838.96,703.475,1677.92,1406.95
expt-app-27,4,2014.1619999999998,1925.887,8056.647999999999,7703.548
expt-app-10,7,457.123,335.993,3199.861,2351.951
expt-app-32,5,701.271,633.68,3506.3549999999996,3168.3999999999996
expt-app-67,3,1420.97,1285.958,4262.91,3857.8740000000003
expt-app-53,6,318.72499999999997,252.397,1912.35,1514.382
expt-app-69,10,175.264,33.866,1752.64,338.65999999999997
expt-app-77,8,123.477,44.865,987.816,358.92
expt-app-4,7,470.489,403.332,3293.423,2823.324
expt-app-37,5,2087.3759999999997,2008.3,10436.88,10041.5
expt-app-3,3,2034.8999999999999,1968.509,6104.7,5905.527
expt-app-55,7,993.754,941.751,6956.278,6592.257
expt-app-98,3,1692.875,1557.035,5078.625,4671.1050000000005
expt-app-78,7,1019.404,1014.352,7135.8279999999995,7100.464
expt-app-85,6,157.765,153.478,946.5899999999999,920.868
expt-app-1,3,1109.088,1023.439,3327.264,3070.317
expt-app-71,9,266.079,187.322,2394.7110000000002,1685.8980000000001
expt-app-23,9,176.804,102.195,1591.236,919.7549999999999
expt-app-51,10,93.024,6.405,930.24,64.05
expt-app-34,2,2449.013,2382.419,4898.026,4764.838
expt-app-18,5,1135.398,1082.693,5676.99,5413.465
expt-app-5,10,116.073,6.117,1160.73,61.17
expt-app-64,5,369.80600000000004,264.839,1849.0300000000002,1324.195
expt-app-26,4,1814.473,1693.457,7257.892,6773.828
expt-app-33,6,1223.485,1144.799,7340.91,6868.794
expt-app-29,6,1416.2939999999999,1273.843,8497.764,7643.058000000001
expt-app-81,8,242.809,175.79,1942.472,1406.32
expt-app-13,10,83.663,5.706,836.63,57.06
expt-app-72,1,1274.204,1269.736,1274.204,1269.736
expt-app-58,8,117.445,51.328,939.56,410.624
expt-app-87,7,1008.2260000000001,887.181,7057.582,6210.267
expt-app-74,7,1076.0510000000002,923.485,7532.357000000001,6464.395
expt-app-35,4,1070.625,991.774,4282.5,3967.096
expt-app-52,5,364.788,291.896,1823.94,1459.48
expt-app-93,7,513.8679999999999,402.36,3597.0759999999996,2816.52
expt-app-79,3,1218.812,1213.496,3656.4359999999997,3640.4880000000003
expt-app-62,6,815.2420000000001,810.077,4891.452,4860.4619999999995
expt-app-75,7,960.249,881.38,6721.743,6169.66
expt-app-94,5,967.154,830.638,4835.77,4153.1900000000005
expt-app-91,2,3287.7529999999997,3212.796,6575.505999999999,6425.592
expt-app-8,4,682.826,547.533,2731.304,2190.132
expt-app-39,8,110.02199999999999,43.42,880.1759999999999,347.36
expt-app-38,5,1377.653,1372.754,6888.265,6863.7699999999995
expt-app-11,8,301.066,222.554,2408.528,1780.432
expt-app-84,2,1928.493,1793.621,3856.986,3587.242
expt-app-60,6,1014.6790000000001,947.682,6088.0740000000005,5686.092000000001
expt-app-19,9,166.599,54.268,1499.3909999999998,488.41200000000003
expt-app-95,7,283.3,204.913,1983.1000000000001,1434.391
expt-app-76,3,1297.727,1162.586,3893.1810000000005,3487.758
expt-app-42,1,736.957,602.062,736.957,602.062
expt-app-9,6,882.4499999999999,812.775,5294.7,4876.65
expt-app-44,5,294.85299999999995,242.292,1474.2649999999999,1211.46
expt-app-65,5,930.643,842.113,4653.215,4210.5650000000005
expt-app-7,9,220.69,99.526,1986.21,895.7339999999999
expt-app-12,1,922.063,910.554,922.063,910.554
