app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-85,6,71.196,66.536,427.176,399.216
expt-app-22,4,1357.146,1214.928,5428.584,4859.712
expt-app-28,9,336.84,232.383,3031.56,2091.447
expt-app-63,3,914.49,835.146,2743.4700000000003,2505.438
expt-app-43,9,146.446,20.59,1318.014,185.31
expt-app-26,4,1067.622,1000.846,4270.488,4003.384
expt-app-15,9,241.096,154.527,2169.864,1390.743
expt-app-62,6,859.225,738.573,5155.35,4431.438
expt-app-66,8,193.319,126.775,1546.552,1014.2
expt-app-82,7,387.779,252.499,2714.453,1767.493
expt-app-71,9,247.87699999999998,142.593,2230.893,1283.337
expt-app-99,9,268.912,194.656,2420.2079999999996,1751.904
expt-app-24,2,390.23,324.118,780.46,648.236
expt-app-7,9,117.00099999999999,49.966,1053.009,449.694
expt-app-81,8,202.804,135.981,1622.432,1087.848
expt-app-49,4,755.734,688.957,3022.936,2755.828
expt-app-83,7,356.15200000000004,271.074,2493.0640000000003,1897.518
expt-app-25,9,190.87,41.953,1717.83,377.577
expt-app-94,5,320.042,241.544,1600.2099999999998,1207.72
expt-app-37,5,1079.919,1013.158,5399.595,5065.79
expt-app-64,5,315.882,180.18,1579.41,900.9000000000001
expt-app-52,5,422.964,355.641,2114.82,1778.2050000000002
expt-app-36,4,505.18399999999997,348.309,2020.7359999999999,1393.236
expt-app-29,6,841.0269999999999,712.114,5046.161999999999,4272.684
expt-app-96,9,296.902,191.817,2672.118,1726.353
expt-app-12,1,1109.225,987.658,1109.225,987.658
expt-app-74,7,298.576,246.345,2090.032,1724.415
expt-app-93,7,409.022,303.754,2863.154,2126.2780000000002
expt-app-11,8,302.56300000000005,190.661,2420.5040000000004,1525.288
expt-app-18,5,895.123,773.257,4475.615,3866.285
expt-app-5,10,74.91000000000001,23.209,749.1000000000001,232.09
expt-app-76,3,874.144,745.431,2622.432,2236.293
expt-app-14,10,65.57499999999999,13.7,655.7499999999999,137.0
expt-app-69,10,168.88500000000002,18.7,1688.8500000000001,187.0
expt-app-65,5,496.13800000000003,391.129,2480.69,1955.645
expt-app-78,7,355.567,302.869,2488.969,2120.083
expt-app-3,3,818.2040000000001,751.512,2454.612,2254.536
expt-app-0,6,238.536,103.386,1431.216,620.316
expt-app-8,4,356.21500000000003,352.014,1424.8600000000001,1408.056
expt-app-57,4,355.821,214.771,1423.284,859.084
expt-app-80,9,100.035,48.63,900.3149999999999,437.67
expt-app-72,1,1069.8229999999999,920.718,1069.8229999999999,920.718
expt-app-67,3,530.749,418.803,1592.247,1256.409
expt-app-97,10,123.09,56.119,1230.9,561.19
expt-app-79,3,713.707,634.568,2141.121,1903.704
expt-app-39,8,152.055,16.822,1216.44,134.576
expt-app-75,7,379.64,326.901,2657.48,2288.3070000000002
expt-app-61,3,102.98599999999999,97.824,308.95799999999997,293.472
expt-app-55,7,424.634,345.903,2972.438,2421.321
expt-app-13,10,145.883,3.226,1458.8300000000002,32.26
expt-app-4,7,387.248,375.542,2710.736,2628.794
expt-app-27,4,1421.231,1279.338,5684.924,5117.352
expt-app-46,3,996.606,917.813,2989.818,2753.439
expt-app-44,5,133.21099999999998,127.404,666.055,637.02
expt-app-58,8,23.76,18.864,190.08,150.912
expt-app-95,7,176.761,164.906,1237.327,1154.342
expt-app-47,7,316.189,311.685,2213.3230000000003,2181.795
expt-app-54,7,522.482,386.98,3657.374,2708.86
expt-app-1,3,1067.121,924.208,3201.3630000000003,2772.624
expt-app-33,6,579.683,475.168,3478.098,2851.008
expt-app-59,6,517.71,451.039,3106.26,2706.234
expt-app-38,5,1152.439,1031.219,5762.195000000001,5156.095
expt-app-42,1,432.495,427.249,432.495,427.249
expt-app-53,6,245.59,179.942,1473.54,1079.652
expt-app-60,6,617.683,496.616,3706.098,2979.696
expt-app-77,8,102.633,23.665,821.064,189.32
expt-app-9,6,420.466,362.23,2522.7960000000003,2173.38
expt-app-32,5,368.226,288.74,1841.13,1443.7
expt-app-35,4,769.667,691.206,3078.668,2764.824
expt-app-51,10,69.755,3.242,697.55,32.42
expt-app-30,10,220.183,79.396,2201.83,793.96
expt-app-19,9,171.77200000000002,93.701,1545.948,843.309
expt-app-87,7,465.95300000000003,461.528,3261.6710000000003,3230.696
expt-app-98,3,763.9359999999999,696.942,2291.808,2090.826
expt-app-10,7,352.207,246.725,2465.449,1727.075
expt-app-45,8,377.43100000000004,298.675,3019.4480000000003,2389.4
expt-app-23,9,129.39800000000002,62.544,1164.5820000000003,562.896
