app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-39,3,210.445,200.947,631.335,602.841
expt-app-30,7,85.125,74.138,595.875,518.966
expt-app-4,1,138.12800000000001,121.497,138.12800000000001,121.497
expt-app-5,4,162.996,151.827,651.984,607.308
expt-app-14,6,78.596,69.371,471.576,416.226
expt-app-12,5,51.843,41.075,259.21500000000003,205.375
expt-app-2,10,35.605,10.902,356.04999999999995,109.02
expt-app-31,3,219.001,210.313,657.003,630.939
expt-app-16,8,29.733,21.314,237.864,170.512
expt-app-32,6,111.915,101.816,671.49,610.896
expt-app-1,9,37.564,24.875,338.076,223.875
expt-app-54,9,23.724,15.867,213.516,142.803
expt-app-52,7,43.435,15.301,304.045,107.107
expt-app-21,5,69.123,57.832,345.615,289.16
expt-app-51,8,49.436,39.111,395.488,312.888
expt-app-43,6,82.842,71.057,497.052,426.342
expt-app-36,5,60.888999999999996,49.207,304.445,246.035
expt-app-10,3,86.08200000000001,75.9,258.24600000000004,227.70000000000002
expt-app-44,9,17.102,7.421,153.918,66.789
expt-app-59,3,230.048,220.046,690.144,660.1379999999999
expt-app-27,10,34.719,26.223,347.19,262.23
expt-app-47,7,157.322,143.693,1101.254,1005.8510000000001
expt-app-26,7,58.957,49.276,412.699,344.932
expt-app-25,9,20.691000000000003,11.285,186.21900000000002,101.565
expt-app-38,4,127.883,116.836,511.532,467.344
expt-app-53,8,58.663,48.75,469.304,390.0
expt-app-48,9,30.907,16.979,278.163,152.81099999999998
expt-app-23,4,98.78399999999999,90.611,395.13599999999997,362.444
expt-app-45,8,72.052,63.934,576.416,511.472
expt-app-17,2,255.537,245.103,511.074,490.206
expt-app-29,5,79.827,70.348,399.135,351.74
expt-app-13,4,183.053,170.679,732.212,682.716
expt-app-34,7,133.96,124.541,937.72,871.787
expt-app-46,9,28.405,15.316,255.645,137.844
expt-app-3,6,98.40400000000001,88.715,590.4240000000001,532.29
expt-app-24,5,64.025,54.35,320.125,271.75
expt-app-7,8,116.299,106.615,930.392,852.92
expt-app-28,10,18.54,11.167,185.39999999999998,111.67
expt-app-57,1,210.49599999999998,201.401,210.49599999999998,201.401
expt-app-58,8,65.706,55.609,525.648,444.872
expt-app-0,6,54.408,41.92,326.448,251.52
expt-app-8,9,44.117999999999995,34.833,397.06199999999995,313.49699999999996
expt-app-41,6,82.131,72.151,492.786,432.90599999999995
