app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-59,7,263.37,223.673,1843.5900000000001,1565.711
expt-app-81,9,644.803,540.975,5803.227,4868.775000000001
expt-app-85,3,955.502,928.106,2866.506,2784.318
expt-app-6,8,822.7379999999999,725.977,6581.9039999999995,5807.816
expt-app-22,3,1241.4160000000002,1157.552,3724.2480000000005,3472.656
expt-app-13,4,240.83599999999998,195.386,963.3439999999999,781.544
expt-app-47,10,134.407,80.598,1344.0700000000002,805.98
expt-app-90,6,1097.856,1067.839,6587.136,6407.034
expt-app-68,9,515.773,395.574,4641.957,3560.166
expt-app-12,9,606.149,564.445,5455.341,5080.005
expt-app-79,8,1028.918,971.484,8231.344,7771.872
expt-app-73,6,491.998,406.707,2951.988,2440.242
expt-app-61,8,366.696,283.371,2933.568,2266.968
expt-app-50,3,1270.733,1213.154,3812.1989999999996,3639.462
expt-app-91,7,949.379,853.703,6645.653,5975.921
expt-app-65,5,2777.6040000000003,2695.337,13888.02,13476.685
expt-app-34,4,728.763,698.507,2915.052,2794.028
expt-app-99,9,799.44,745.8,7194.960000000001,6712.2
expt-app-14,5,3661.183,3564.555,18305.915,17822.774999999998
expt-app-93,8,698.48,627.632,5587.84,5021.056
expt-app-31,9,497.618,454.392,4478.562,4089.528
expt-app-98,10,158.638,53.072,1586.38,530.72
expt-app-28,6,1287.009,1214.539,7722.054,7287.234
expt-app-3,3,2630.165,2614.285,7890.495,7842.855
expt-app-23,5,907.7239999999999,833.796,4538.62,4168.9800000000005
expt-app-7,8,554.817,444.941,4438.536,3559.528
expt-app-94,8,621.0980000000001,580.929,4968.784000000001,4647.432
expt-app-35,6,1940.161,1822.292,11640.966,10933.752
expt-app-58,4,1008.019,951.925,4032.076,3807.7
expt-app-20,5,963.157,896.778,4815.785,4483.89
expt-app-40,10,162.765,133.767,1627.6499999999999,1337.67
expt-app-44,7,1157.992,1044.324,8105.9439999999995,7310.268
expt-app-89,1,1103.905,1022.508,1103.905,1022.508
expt-app-53,8,873.491,775.498,6987.928,6203.984
expt-app-10,6,2667.489,2551.483,16004.934000000001,15308.898000000001
expt-app-75,7,1090.206,1062.154,7631.441999999999,7435.0779999999995
expt-app-32,10,425.15500000000003,385.35,4251.55,3853.5
expt-app-97,3,3702.3920000000003,3690.462,11107.176000000001,11071.386
expt-app-45,2,1223.72,1127.119,2447.44,2254.238
expt-app-43,4,463.942,398.497,1855.768,1593.988
expt-app-77,10,102.351,34.14,1023.51,341.4
expt-app-83,10,389.885,321.512,3898.85,3215.12
expt-app-72,4,1623.585,1590.623,6494.34,6362.492
expt-app-25,3,4422.062000000001,4358.088,13266.186000000002,13074.264
expt-app-71,7,785.164,744.355,5496.148,5210.485000000001
expt-app-88,9,108.774,9.983,978.966,89.84700000000001
expt-app-74,7,559.199,505.106,3914.3929999999996,3535.742
expt-app-84,9,175.28199999999998,146.694,1577.5379999999998,1320.2459999999999
expt-app-60,7,194.566,181.098,1361.962,1267.6860000000001
expt-app-69,2,1927.2069999999999,1844.888,3854.4139999999998,3689.776
expt-app-15,5,991.702,907.098,4958.51,4535.49
expt-app-82,8,945.788,880.388,7566.304,7043.104
expt-app-9,5,1194.577,1139.877,5972.885,5699.385
expt-app-18,10,42.338,26.697,423.38,266.96999999999997
expt-app-78,3,3893.681,3781.444,11681.043,11344.332
expt-app-17,9,244.327,204.005,2198.943,1836.045
expt-app-39,9,185.121,144.863,1666.0890000000002,1303.767
expt-app-56,7,719.211,689.034,5034.477,4823.238
expt-app-96,10,63.562999999999995,33.083,635.63,330.83
expt-app-5,4,2647.966,2546.342,10591.864,10185.368
expt-app-27,8,673.307,610.346,5386.456,4882.768
expt-app-1,8,515.86,433.198,4126.88,3465.584
expt-app-29,6,2304.4790000000003,2239.09,13826.874000000002,13434.54
expt-app-57,10,58.825,46.525,588.25,465.25
expt-app-0,3,1863.778,1767.008,5591.334,5301.024
expt-app-63,10,392.34400000000005,281.389,3923.4400000000005,2813.8900000000003
expt-app-49,9,145.238,46.976,1307.142,422.784
expt-app-21,9,168.631,115.608,1517.679,1040.472
expt-app-62,2,3857.564,3795.429,7715.128,7590.858
expt-app-41,4,417.471,351.331,1669.884,1405.324
expt-app-95,5,905.014,862.98,4525.07,4314.9
expt-app-70,6,1054.7820000000002,1022.512,6328.692000000001,6135.072
expt-app-87,8,547.98,504.1,4383.84,4032.8
expt-app-80,5,75.634,7.335,378.17,36.675
expt-app-38,8,239.132,195.602,1913.056,1564.816
expt-app-55,10,57.016,14.152,570.16,141.51999999999998
expt-app-51,5,1840.614,1828.502,9203.07,9142.51
expt-app-52,9,721.008,691.916,6489.072,6227.244000000001
expt-app-33,9,167.63400000000001,138.846,1508.7060000000001,1249.614
