app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-98,3,1780.876,1676.306,5342.628,5028.918
expt-app-55,5,250.76500000000001,172.074,1253.825,860.3700000000001
expt-app-10,9,163.14999999999998,43.029,1468.35,387.261
expt-app-0,6,152.98700000000002,100.659,917.9220000000001,603.9540000000001
expt-app-32,4,1127.003,1051.745,4508.012,4206.98
expt-app-73,10,208.286,58.966,2082.86,589.66
expt-app-78,1,2210.0170000000003,2074.461,2210.0170000000003,2074.461
expt-app-37,7,311.27,175.66,2178.89,1229.62
expt-app-48,5,1170.595,1014.784,5852.975,5073.92
expt-app-85,7,97.31099999999999,44.825,681.1769999999999,313.77500000000003
expt-app-80,7,932.542,853.232,6527.794,5972.624
expt-app-43,8,112.01700000000001,7.387,896.1360000000001,59.096
expt-app-24,3,1558.832,1472.755,4676.496,4418.265
expt-app-57,3,1260.562,1139.898,3781.6859999999997,3419.6939999999995
expt-app-59,5,1372.272,1237.085,6861.36,6185.425
expt-app-65,7,517.74,412.235,3624.1800000000003,2885.645
expt-app-42,7,401.007,389.202,2807.049,2724.4139999999998
expt-app-60,2,2059.906,1980.673,4119.812,3961.346
expt-app-19,6,518.5260000000001,513.666,3111.1560000000004,3081.996
expt-app-96,7,581.1840000000001,522.349,4068.2880000000005,3656.443
expt-app-66,8,89.423,22.535,715.384,180.28
expt-app-8,7,665.243,537.104,4656.701,3759.728
expt-app-16,8,83.012,78.155,664.096,625.24
expt-app-31,5,258.83299999999997,154.382,1294.165,771.9100000000001
expt-app-86,9,174.125,39.603,1567.125,356.427
expt-app-51,10,102.244,20.531,1022.44,205.31
expt-app-11,1,2210.132,2061.013,2210.132,2061.013
expt-app-87,8,87.30300000000001,82.223,698.4240000000001,657.784
expt-app-67,9,163.46099999999998,28.41,1471.149,255.69
expt-app-9,6,491.897,478.832,2951.382,2872.992
expt-app-61,2,837.524,692.254,1675.048,1384.508
expt-app-20,4,1702.565,1625.271,6810.26,6501.084
expt-app-83,4,682.159,603.961,2728.636,2415.844
expt-app-52,10,495.532,374.614,4955.32,3746.14
expt-app-62,9,325.96500000000003,247.677,2933.6850000000004,2229.093
expt-app-76,8,337.036,249.729,2696.288,1997.832
expt-app-45,9,90.093,85.98,810.837,773.82
expt-app-90,8,26.298,21.38,210.384,171.04
expt-app-53,7,945.827,795.649,6620.789,5569.543
expt-app-46,7,206.009,201.279,1442.0629999999999,1408.953
expt-app-41,7,141.358,81.367,989.5060000000001,569.5690000000001
expt-app-15,8,132.215,12.161,1057.72,97.288
expt-app-47,3,830.386,763.089,2491.158,2289.2670000000003
expt-app-70,7,648.786,527.989,4541.5019999999995,3695.9230000000002
expt-app-34,6,1061.8110000000001,987.873,6370.866000000001,5927.238
expt-app-25,6,885.029,764.398,5310.174,4586.388
expt-app-92,6,216.077,66.942,1296.462,401.65199999999993
expt-app-84,9,122.562,33.43,1103.058,300.87
expt-app-38,9,138.566,71.12,1247.094,640.08
expt-app-7,7,380.529,244.688,2663.703,1712.8159999999998
expt-app-21,6,414.277,347.538,2485.662,2085.228
expt-app-63,4,1573.5710000000001,1452.741,6294.284000000001,5810.964
expt-app-72,5,1144.059,994.531,5720.295,4972.655
expt-app-68,2,2363.7329999999997,2228.251,4727.465999999999,4456.502
expt-app-54,6,911.354,824.103,5468.124,4944.6179999999995
expt-app-50,8,328.038,193.414,2624.304,1547.312
expt-app-44,4,1523.5890000000002,1413.961,6094.356000000001,5655.844
expt-app-22,8,346.81,211.667,2774.48,1693.336
expt-app-81,7,206.69899999999998,86.261,1446.8929999999998,603.827
expt-app-3,7,246.097,179.845,1722.679,1258.915
expt-app-39,9,75.917,23.811,683.253,214.299
expt-app-79,5,826.985,691.767,4134.925,3458.835
expt-app-94,2,1862.715,1795.37,3725.43,3590.74
expt-app-5,9,104.718,25.973,942.462,233.757
expt-app-17,9,10.254,5.812,92.286,52.308
expt-app-82,6,714.507,648.174,4287.0419999999995,3889.044
expt-app-49,4,676.754,597.751,2707.016,2391.004
expt-app-77,5,1308.416,1181.86,6542.08,5909.299999999999
expt-app-97,6,1552.0620000000001,1432.18,9312.372000000001,8593.08
expt-app-33,4,1694.142,1538.235,6776.568,6152.94
expt-app-1,8,425.676,289.982,3405.408,2319.856
expt-app-88,5,526.887,458.693,2634.4349999999995,2293.465
expt-app-95,4,1663.443,1597.172,6653.772,6388.688
expt-app-75,8,97.634,38.566,781.072,308.528
expt-app-36,7,438.68600000000004,435.079,3070.802,3045.553
expt-app-4,7,117.842,34.377,824.894,240.639
expt-app-69,6,557.098,444.484,3342.5879999999997,2666.904
expt-app-71,4,1550.873,1430.308,6203.492,5721.232
