app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-43,8,140.993,26.119,1127.944,208.952
expt-app-50,8,304.57,199.49,2436.56,1595.92
expt-app-0,6,279.497,219.237,1676.982,1315.422
expt-app-39,9,90.932,24.403,818.388,219.62699999999998
expt-app-65,7,205.461,152.536,1438.227,1067.752
expt-app-70,7,298.74600000000004,288.314,2091.222,2018.198
expt-app-86,9,165.951,37.672,1493.559,339.048
expt-app-90,8,83.961,17.166,671.688,137.328
expt-app-81,7,170.014,29.229,1190.098,204.603
expt-app-22,8,228.707,161.713,1829.656,1293.704
expt-app-10,9,31.227,26.453,281.043,238.077
expt-app-5,9,74.881,22.299,673.929,200.691
expt-app-84,9,262.412,133.078,2361.7079999999996,1197.702
expt-app-51,10,181.54899999999998,25.244,1815.4899999999998,252.44
expt-app-55,5,527.602,406.997,2638.0099999999998,2034.9850000000001
expt-app-92,6,157.31,45.846,943.86,275.07599999999996
expt-app-85,7,133.603,66.842,935.221,467.894
expt-app-15,8,117.90100000000001,5.761,943.2080000000001,46.088
expt-app-38,9,138.707,17.725,1248.3629999999998,159.525
expt-app-3,7,97.64200000000001,84.191,683.494,589.337
expt-app-66,8,86.48400000000001,11.486,691.8720000000001,91.888
expt-app-17,9,145.374,9.917,1308.366,89.253
expt-app-67,9,105.2,17.248,946.8000000000001,155.232
expt-app-4,7,147.79700000000003,19.182,1034.5790000000002,134.274
expt-app-16,8,376.35400000000004,220.241,3010.8320000000003,1761.928
expt-app-1,8,493.936,350.531,3951.488,2804.248
expt-app-37,7,228.986,224.45,1602.902,1571.1499999999999
expt-app-75,8,141.711,54.98,1133.688,439.84
expt-app-73,10,102.752,28.424,1027.52,284.24
expt-app-41,7,220.494,210.53,1543.458,1473.71
