app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-16,4,1309.32,1298.283,5237.28,5193.132
expt-app-20,5,872.895,748.496,4364.475,3742.48
expt-app-27,1,959.191,838.33,959.191,838.33
expt-app-24,10,572.554,466.891,5725.54,4668.91
expt-app-0,9,1268.53,1134.168,11416.77,10207.511999999999
expt-app-79,10,187.882,53.388,1878.8200000000002,533.88
expt-app-39,6,135.152,30.759,810.9119999999999,184.554
expt-app-73,5,493.017,353.546,2465.085,1767.73
expt-app-19,5,1659.547,1581.515,8297.735,7907.575000000001
expt-app-8,10,411.826,291.549,4118.26,2915.49
expt-app-72,5,2028.6599999999999,1975.815,10143.3,9879.075
expt-app-68,2,2976.56,2971.484,5953.12,5942.968
expt-app-25,10,640.5079999999999,636.106,6405.079999999999,6361.0599999999995
expt-app-54,9,67.62400000000001,59.444,608.6160000000001,534.996
expt-app-18,10,400.446,265.635,4004.46,2656.35
expt-app-17,5,1892.463,1838.647,9462.315,9193.235
expt-app-70,5,1498.541,1419.459,7492.705,7097.295
expt-app-41,3,2586.567,2507.306,7759.701,7521.918
expt-app-34,8,500.748,389.777,4005.984,3118.216
expt-app-99,8,396.81,324.364,3174.48,2594.912
expt-app-55,9,349.88000000000005,277.422,3148.9200000000005,2496.7980000000002
expt-app-48,10,134.97400000000002,56.579,1349.7400000000002,565.79
expt-app-69,4,526.3679999999999,377.445,2105.4719999999998,1509.78
expt-app-85,8,527.257,391.937,4218.056,3135.496
expt-app-31,6,912.574,908.044,5475.4439999999995,5448.264
expt-app-58,6,1394.068,1327.723,8364.408,7966.338
expt-app-46,10,169.59199999999998,26.765,1695.9199999999998,267.65
expt-app-53,9,1068.7340000000002,990.408,9618.606000000002,8913.672
expt-app-78,8,968.978,848.587,7751.824,6788.696
expt-app-97,10,111.903,33.34,1119.03,333.40000000000003
expt-app-76,8,1248.6139999999998,1143.238,9988.911999999998,9145.904
expt-app-15,3,1358.282,1222.69,4074.8459999999995,3668.07
expt-app-67,10,501.52,483.409,5015.2,4834.09
expt-app-82,6,263.973,189.157,1583.8380000000002,1134.942
expt-app-12,2,1821.043,1700.6,3642.086,3401.2
expt-app-93,5,590.82,486.237,2954.1000000000004,2431.185
expt-app-28,10,274.276,139.266,2742.76,1392.6599999999999
expt-app-42,7,1091.1439999999998,1079.498,7638.007999999998,7556.486000000001
expt-app-74,9,543.3679999999999,464.947,4890.312,4184.523
expt-app-81,9,214.889,162.193,1934.0010000000002,1459.737
expt-app-32,9,1044.4869999999999,923.804,9400.382999999998,8314.235999999999
expt-app-49,3,2446.264,2441.514,7338.792,7324.542
expt-app-4,5,435.923,307.426,2179.615,1537.1299999999999
expt-app-21,2,1520.817,1385.934,3041.634,2771.868
expt-app-80,4,1121.758,1016.888,4487.032,4067.552
expt-app-5,7,198.34199999999998,77.837,1388.3939999999998,544.859
expt-app-75,5,820.283,745.771,4101.415,3728.8549999999996
expt-app-23,1,2232.046,2082.8,2232.046,2082.8
expt-app-92,3,1495.142,1490.188,4485.426,4470.564
expt-app-83,9,477.28999999999996,410.51,4295.61,3694.59
expt-app-91,6,1298.0,1162.713,7788.0,6976.278
expt-app-9,4,2348.3489999999997,2226.776,9393.395999999999,8907.104
expt-app-10,9,1471.633,1322.61,13244.697,11903.49
expt-app-95,9,181.424,128.501,1632.816,1156.509
expt-app-43,2,2907.946,2829.235,5815.892,5658.47
expt-app-13,5,2289.571,2216.293,11447.855,11081.465
expt-app-50,7,1440.017,1305.36,10080.119,9137.519999999999
expt-app-57,5,604.326,461.394,3021.63,2306.9700000000003
expt-app-59,8,124.436,20.404,995.488,163.232
expt-app-33,2,2638.8250000000003,2533.29,5277.650000000001,5066.58
expt-app-3,4,873.576,794.576,3494.304,3178.304
expt-app-2,9,156.755,68.64,1410.795,617.76
expt-app-60,4,1201.267,1134.427,4805.068,4537.708
expt-app-6,5,1115.818,1037.407,5579.09,5187.035
expt-app-66,4,1100.142,951.172,4400.568,3804.688
expt-app-89,5,586.8299999999999,428.895,2934.1499999999996,2144.475
expt-app-88,5,1659.383,1580.657,8296.915,7903.285
expt-app-30,6,96.449,21.762,578.694,130.572
expt-app-14,2,4418.533,4268.06,8837.066,8536.12
expt-app-38,7,1225.201,1120.019,8576.407,7840.133
expt-app-64,3,1497.325,1362.043,4491.975,4086.129
expt-app-40,8,141.392,19.934,1131.136,159.472
expt-app-26,7,640.738,567.767,4485.166,3974.3690000000006
expt-app-45,10,310.274,206.916,3102.74,2069.16
expt-app-36,10,683.697,541.371,6836.97,5413.71
expt-app-71,4,2774.151,2668.763,11096.604,10675.052
expt-app-7,2,1528.151,1522.957,3056.302,3045.914
expt-app-65,7,1289.28,1222.394,9024.96,8556.758
expt-app-52,6,1430.291,1355.908,8581.746,8135.447999999999
expt-app-44,5,1323.1399999999999,1244.049,6615.699999999999,6220.245
expt-app-62,7,387.61899999999997,283.153,2713.3329999999996,1982.0710000000001
expt-app-11,2,2642.712,2493.125,5285.424,4986.25
