app_name,priority,resp_time,resp_time_in_clouds,pri_wei_resp_time,pri_wei_resp_time_in_clouds
expt-app-57,5,315.05499999999995,236.112,1575.2749999999996,1180.56
expt-app-85,8,269.256,203.165,2154.048,1625.32
expt-app-22,1,736.611,669.506,736.611,669.506
expt-app-32,9,527.338,468.35,4746.0419999999995,4215.150000000001
expt-app-50,7,758.499,622.776,5309.493,4359.432
expt-app-25,10,287.106,220.795,2871.06,2207.95
expt-app-44,5,714.352,647.114,3571.7599999999998,3235.57
expt-app-8,10,256.932,182.989,2569.32,1829.89
expt-app-36,10,331.942,253.882,3319.42,2538.82
expt-app-41,3,1314.6219999999998,1235.88,3943.8659999999995,3707.6400000000003
expt-app-10,9,667.759,557.693,6009.831,5019.237
expt-app-89,5,320.699,316.677,1603.4950000000001,1583.3850000000002
expt-app-54,9,84.925,32.156,764.3249999999999,289.404
expt-app-86,4,468.96500000000003,463.236,1875.8600000000001,1852.944
expt-app-74,9,390.58500000000004,318.09,3515.2650000000003,2862.81
expt-app-30,6,19.175,14.726,115.05000000000001,88.35600000000001
expt-app-77,1,1599.5790000000002,1479.002,1599.5790000000002,1479.002
expt-app-81,9,223.76399999999998,144.84,2013.8759999999997,1303.56
expt-app-2,9,135.483,61.533,1219.347,553.797
expt-app-28,10,237.934,163.485,2379.34,1634.8500000000001
expt-app-80,4,435.495,356.927,1741.98,1427.708
expt-app-29,1,2611.255,2537.607,2611.255,2537.607
expt-app-95,9,169.981,103.036,1529.829,927.3240000000001
expt-app-52,6,1021.495,880.272,6128.97,5281.6320000000005
expt-app-66,4,343.19100000000003,264.269,1372.7640000000001,1057.076
expt-app-6,5,867.016,762.082,4335.08,3810.41
expt-app-67,10,458.26800000000003,311.111,4582.68,3111.1099999999997
expt-app-99,8,160.943,93.866,1287.544,750.928
expt-app-23,1,1043.031,990.466,1043.031,990.466
expt-app-55,9,334.298,267.377,3008.682,2406.393
expt-app-97,10,28.999,20.792,289.99,207.92000000000002
expt-app-1,1,803.4970000000001,683.044,803.4970000000001,683.044
expt-app-39,6,139.75099999999998,34.843,838.5059999999999,209.05800000000002
expt-app-49,3,1908.793,1803.38,5726.379,5410.14
expt-app-4,5,254.82,149.12,1274.1,745.6
expt-app-71,4,1175.813,1164.757,4703.252,4659.028
expt-app-93,5,582.0840000000001,503.115,2910.42,2515.575
expt-app-84,2,873.912,753.346,1747.824,1506.692
expt-app-82,6,268.298,201.336,1609.788,1208.016
expt-app-26,7,368.572,312.172,2580.004,2185.204
expt-app-5,7,106.01299999999999,53.073,742.0909999999999,371.511
expt-app-0,9,682.578,603.482,6143.201999999999,5431.338
expt-app-76,8,576.9499999999999,524.492,4615.599999999999,4195.936
expt-app-69,4,300.514,233.303,1202.056,933.212
expt-app-16,4,924.1080000000001,838.027,3696.4320000000002,3352.108
expt-app-40,8,120.691,15.863,965.528,126.904
expt-app-31,6,750.284,671.679,4501.704,4030.0739999999996
expt-app-24,10,324.87100000000004,258.815,3248.7100000000005,2588.15
expt-app-88,5,1606.17,1538.718,8030.85,7693.59
expt-app-64,3,781.237,660.597,2343.711,1981.791
expt-app-13,5,1517.635,1402.887,7588.175,7014.4349999999995
expt-app-70,5,558.485,552.989,2792.425,2764.945
expt-app-78,8,435.03700000000003,355.91,3480.2960000000003,2847.28
expt-app-15,3,910.924,805.684,2732.772,2417.0519999999997
expt-app-75,5,687.646,557.438,3438.2299999999996,2787.19
expt-app-48,10,93.53,41.298,935.3,412.98
expt-app-42,7,657.107,577.85,4599.749,4044.9500000000003
expt-app-21,2,798.439,793.518,1596.878,1587.036
expt-app-18,10,226.732,159.486,2267.32,1594.86
expt-app-53,9,422.68,344.174,3804.12,3097.566
expt-app-19,5,977.68,842.472,4888.4,4212.36
expt-app-27,1,384.581,317.794,384.581,317.794
expt-app-60,4,820.97,716.215,3283.88,2864.86
expt-app-91,6,832.215,697.464,4993.29,4184.784000000001
expt-app-3,4,547.194,426.152,2188.776,1704.608
expt-app-12,2,1153.729,1026.138,2307.458,2052.276
expt-app-33,2,1608.784,1541.707,3217.568,3083.414
expt-app-59,8,167.566,17.781,1340.528,142.248
expt-app-20,5,569.4540000000001,496.709,2847.2700000000004,2483.545
expt-app-14,2,1806.2240000000002,1727.626,3612.4480000000003,3455.252
expt-app-43,2,1907.2640000000001,1840.069,3814.5280000000002,3680.138
expt-app-62,7,192.565,105.968,1347.955,741.7760000000001
expt-app-79,10,93.739,15.113,937.3900000000001,151.13
expt-app-38,7,847.391,780.58,5931.737,5464.06
expt-app-46,10,161.803,41.522,1618.03,415.21999999999997
expt-app-65,7,552.191,546.552,3865.3370000000004,3825.864
expt-app-83,9,266.60499999999996,199.66,2399.4449999999997,1796.94
expt-app-11,2,1723.594,1656.388,3447.188,3312.776
expt-app-34,8,441.817,362.94,3534.536,2903.52
expt-app-73,5,284.566,273.009,1422.83,1365.045
expt-app-58,6,785.522,706.455,4713.1320000000005,4238.7300000000005
expt-app-72,5,1457.613,1322.19,7288.0650000000005,6610.950000000001
